AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6441|104985|1|Odaiba Sinks||お台場, 沈む|25|10.07.2009 00:00|7.88|25|0|3
6441|105112|2|Broken World||壊れる, 世界|25|17.07.2009 00:00|8.64|21|0|3
6441|105397|3|Burning Bridge||燃える, 橋|25|24.07.2009 00:00|7.82|21|0|3
6441|105568|4|A Promise by the Three||三人の, 約束|25|31.07.2009 00:00|5.80|21|0|3
6441|105934|5|Schoolhouse of Lamentation||慟哭の, 学び舎|25|07.08.2009 00:00|7.08|20|0|3
6441|106341|6|Abandoned Choice||見捨てる, 選択|25|14.08.2009 00:00|5.44|20|0|3
6441|106340|7|Summer Sunset||夏の夕暮れ|25|21.08.2009 00:00|3.69|20|0|3
6441|106339|8|A Pure White Morning||まっしろな朝|25|28.08.2009 00:00|5.30|20|0|3
6441|106338|9|Farewell for Today||今日, さよなら|25|04.09.2009 00:00|6.50|20|0|3
6441|108327|10|Sis, Listen...||おねえちゃん, あのね|25|11.09.2009 00:00|8.53|24|0|3
6441|108440|11|Dear Yuuki...||悠貴へ...|25|18.09.2009 00:00|8.29|22|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6441|104985|8106|613243|366274790|b6150a49d5422a4d86087f57667d2a96|2ea2aa01edbe9829c6ca89a1353285a8|810d5c6abf6c8af9c5d75ac09953bbbc007226f5|e5c69941|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|105112|8106|615599|366267160|734fc1b3467b34904213c6bd01ddb977|1b6dc247e7c2a0eb154b00efa6ba2e07|1ee8ce11c870f677907df06131902571cccd9703|c527d655|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|105397|8106|617748|366247807|cb0032866820f72c12e11904b97def3a|13697bc9f7a0eb99537f80f800018976|0c79c5498709917d18bbca4d917fbf85c6017369|74f4fec9|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|105568|8106|623636|366277755|9714d57fc4c896ec54e859463bd69e50|2ac231493ca34380ae53b7e0eb9b3732|ddcba09f2767411f30d85d1e572522284e16178f|0dcd1e0d|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|105934|8106|627344|366237447|168d032083dade99b8eeb3df6f857ef2|31a91eeaf73407049bcb52f74a8442d6|5a250f5a67e8456b5a286260f7ec2c3d31e1c799|1c649c22|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|106341|8106|630874|366277470|9fb53fb232ef8742f63109696ec59b2c|13cbf7358245c1d1855974fe06b07f56|e361f80fd5362f07e140a1ddd1d31dd7f07a6ced|93e5e4b5|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|106340|8106|633973|366277001|96301e437584e3c9eef88a170f23f37c|752447938ea844b1bcc9dae4a6434e45|9165a9312f8fdad8a12a00e1c096e36c445d1bb4|c330273f|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|106339|8106|644270|366299255|db952d7ac05f136895f2c25021188e33|65f7c7b1ec3ff1c041b2046c4128ce30|7719ad8e29042ec030823784c15a7f6f12220fda|1201299d|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|106338|8106|644271|366273490|ca30faf2e816694398acbb637121f75c|efcb915e729a82f92a6a95043fc4c20f|410a805f898f51df768752ed5c2ff86ea24db0ea|4cf1d5e8|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|108327|8106|644272|366254718|47fcd46d2f3a5f4da8d5e45178310e7d|2c803a916690c340f5da7866e455d4c6|93a5841337c329674508bf930e10acbe478979b6|3ae2bec3|1355|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6441|108440|8106|655520|364944218|5a7632ff3cda965c18de02902ea98853|af3bbdc25bb4ee601c7c3ca8ad32e708|9a9954ffcf9a62fd4cf64b6e43c6579b54bd6048|7815d81a|1350|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8106|43381|ANBU &amp; Frostii|ANBU-Frostii|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|300
22|Asia|0|600
330|Coming of Age|0|400
236|Daily Life|0|400
289|Earth|0|600
468|Earthquake|0|400
12|Future|0|200
23|Japan|0|600
275|New|0|600
118|Piloted Robot|0|100
233|Plot Continuity|0|600
11|Present|0|600
121|Robot Helper|0|200
79|Seinen|0|600
235|Tragedy|0|600


