AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
647|7043|1|Episode 1||エピソード1|40|29.10.1999 00:00|4.15|3|0|2
647|7045|2|Episode 2||エピソード2|35|14.01.2000 00:00|5.09|3|0|2
647|7044|3|Episode 3||エピソード3|35|11.08.2000 00:00|5.70|3|0|2
647|7046|4|Episode 4||エピソード4|35|19.01.2001 00:00|6.60|3|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
647|7043|92|10305|258824192|e6a0ccdb4686eaaa5f94addce8312b14|853942bb4653ac16903a7e318b50c2b2|235d10f2cf2ccfc15f46d71c2c1da96b588e2390|3ad5f902|2147|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|64|2|avi
647|7045|92|10307|289058816|cbefc841be88438719a544b269c54a2a|1875421c63071f8d9d63f1061078c156|0597cd7fe02b405a39d125ec090705ef9218603f|ddcf36b4|2115|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|64|2|avi
647|7044|92|10306|237438976|3ec9fe76aec07fa50e984e8c76b197bd|0d423bb50708acc511244460adf170f5|f0a76219cfeaabc67fbd760de85da625b07f1dea|3072bf00|1996|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|64|2|avi
647|7046|92|10304|243552256|19a2e24c884786c386bfc6b8ae5c50c9|3a2c5c3e6554df930b17e4bf4c75d5db|642b01345ab36f743b3741716ef72d5c77a1c887|9d1b8cec|1914|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|64|2|avi
GROUPS
GID|AGID|Name|ShortName|State
92|2662|Hentai-Heaven|HH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
306|Adventure|0|600
70|Anal|1|100
17|Comedy|0|300
65|Dildos - Vibrators|1|400
221|Elf|0|400
271|Erotic Game|0|600
15|Fantasy|0|400
291|Fantasy World|0|600
88|Nudity|0|500
151|Parody|0|200
10|Past|0|600
86|Sex|0|500
153|Slapstick|0|200
173|Swordplay|0|400
47|Torture|0|200
480|Uncensored Version Available|1|600
295|Underworld|0|100
84|Violence|0|300
61|Virginity|1|200
64|Whip|0|400


