AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6503|105731|1|Complete Movie|||95|01.08.2009 00:00|3.50|4|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6503|105731|1412|730340|734003200|565594cdda9289403dbd4bb1d89af2bc|03c0e4510301afac06969e95c135ae32|ae76e7a204b825fc694f3b216941eef853970d6a|bcc77c3b|5742|10|high|768x432|H264/AVC|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
1412|53679|Dattebayo|DB|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
486|Calling Your Attacks|0|300
291|Fantasy World|0|600
497|Friendship|0|300
472|General Lack of Common Sense|0|300
273|Manga|0|600
20|Martial Arts|0|600
29|Ninja|0|600
5|Shounen|0|600
516|Summoning|0|300
18|Super Power|0|400


