AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6564|116758|1|Departure||Departure|25|03.04.2010 00:00|5.44|50|0|3
6564|117408|2|Guild||Guild|25|10.04.2010 00:00|5.88|42|0|3
6564|117407|3|My Song||My Song|25|17.04.2010 00:00|7.36|43|0|3
6564|117406|4|Day Game||Day Game|25|24.04.2010 00:00|5.96|36|0|3
6564|117405|5|Favorite Flavor||Favorite Flavor|25|01.05.2010 00:00|8.33|36|0|3
6564|117404|6|Family Affair||Family Affair|25|08.05.2010 00:00|6.40|34|0|3
6564|117403|7|Alive||Alive|25|15.05.2010 00:00|7.38|33|0|3
6564|117402|8|Dancer in the Dark||Dancer in the Dark|25|22.05.2010 00:00|7.70|34|0|3
6564|117401|9|In Your Memory||In Your Memory|25|29.05.2010 00:00|9.61|38|0|3
6564|117400|10|Goodbye Days||Goodbye Days|25|05.06.2010 00:00|8.46|40|0|3
6564|117399|11|Change the World||Change the World|25|12.06.2010 00:00|6.76|32|0|3
6564|117398|12|Knockin` on Heaven`s Door||Knockin` on heaven`s door|25|19.06.2010 00:00|8.16|34|0|3
6564|117397|13|Graduation||Graduation|25|26.06.2010 00:00|9.08|43|0|3
6564|126387|S1|Another Epilogue||ANOTHER EPILOGUE|3|22.12.2010 00:00|4.62|31|0|3
6564|126311|S2|Stairway to Heaven||Stairway to Heaven|25|04.12.2010 00:00|5.60|30|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6564|116758|7854|723149|378886323|299469f9673bd1fd0a3b2dc7121edfa6|69a1a19c37850f3d979db97c79165df3|5cf837a961eacdb9546ea3167ee93a243f1ddb3f|b1437c35|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|5|3|mkv
6564|117408|7854|725218|452222831|249d3c13ac4efea67f81bfcc71cec09e|7ec4deaa4b39e1f9f2ec34faf45f0e81|0f8da53c9130665e0742e0d6bd5c7c1a600bb034|b658e512|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117407|7854|728226|425966362|555855683e77a39b05646930eb8b26a4|b12773e402a30dddaea589d05e9ecad0|b2ad680ffe57a52f0476566da2f7c1e7ad45b799|da85310f|1469|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117406|7854|731076|359086269|7e3c616d9e38490f39c463c63b1d3268|d134f78a6c85a5f9115c8ad4fb48eca0|40b242b0d39f44bc2c0a83fc007a296d46b7a784|104c26f1|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117405|7854|733662|307811588|aaebd92074ea75f1a20ff302d9035ae8|0ca74e0a81f6b9b6b13da4d1892b5bae|697ffaf5191afcc852351795a8b15cd3c5bc476a|3667fe9a|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117404|7854|735414|328555316|36b0fb3876f055ded3a2d59cd09125b4|f9df36cea0d0f2c6d11e9fa06ddb1f13|104d01faef7f3380b194502c4f603f4f7f4d5f99|6960ba3c|1470|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
6564|117403|7854|738279|320764702|f7319190ac60653d3830ab2cb26c50fe|ca3160fa4f8ad5f22899b8cc07a9ee06|d239dd52686d04efd283d75df9211294b1733dd5|a3dd1eb5|1470|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117402|7854|740524|337305348|0abdb9df4f3556dcdcb53df59c90dd99|2e9b82b3b1681716bf6d73d02cfec4ed|c82188b634be3620d69bb4119e0560f94359e197|7788f256|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117401|7854|742731|402512597|59764995bb572fe20d8601e665ebf37d|ac950b76064d18d0c0b179b41a806793|e8e2543ae64b0f3567a9367c2e8aea2bbdb62d7e|f337c583|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
6564|117400|7854|744597|402647591|5a93b5580670c2ef1118a7638ed5ca87|fca5d854cd23851799b5e8eeb05399cc|c95a8ff28b2a806ed0eac9b6870d794a494a3a17|8620a891|1470|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117399|7854|746570|310690461|4d5500987e836216c827b00d16c1530a|2b2477c43c44e706398f81808c3cd8df|71a196bf02e23fc59ce0f1a6e40db744e7efe9d7|0bb1404f|1470|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117398|7854|748369|299646479|a9572da7612f8de710af84b7c5c4d572|eb6f88ca58c01d3d7b31c40dffe84b08|a2d5363533c473553c64c8937c8f7df8154a1ee1|234f6a36|1470|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|117397|7854|750638|294541700|9736f3cc714f3a671eb92fc0eb5a0073|ac672ab48204204ac377fff0e5d27a69|98115bcd3984578dfb8eadf288d64e32e8273965|22f46e66|1455|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|126387|7854|841172|32497369|5fcf93b0f69c6cac6fcb416840abb091|de5531349e03a6505bf560e1956b9248|d8c8114da1ec79a69674f89063a7a408060e48dd|c230789a|152|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
6564|126311|7854|845619|398390911|a65cf3f0a622114f639110a7fed6c123|ba10df4da2e2ddf98fd0be8cd43dec61|cafc19e1ef5d03d5bf1b9813036adf016fe8aeb3|c59c34f5|1481|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7854|53176|Mazui|Mazui|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
226|Band|0|100
137|Baseball|0|100
486|Calling Your Attacks|0|300
471|Christmas|0|200
454|Collateral Damage|0|300
17|Comedy|0|400
183|Contemporary Fantasy|0|600
15|Fantasy|0|500
291|Fantasy World|0|600
517|Fishing|0|200
497|Friendship|0|300
263|Gunfights|0|400
406|Mahjong|0|100
20|Martial Arts|0|100
171|Military|0|200
225|Music|0|100
275|New|0|600
487|Parental Abandonment|0|300
233|Plot Continuity|0|400
11|Present|0|600
421|Reverse Harem|0|100
198|Romance|0|200
21|School Life|0|200
79|Seinen|0|600
153|Slapstick|0|300
220|Stereotypes|0|200
173|Swordplay|0|100
235|Tragedy|0|400
244|Twisted|0|200
84|Violence|0|300
479|Zettai Ryouiki|0|200


