AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6636|110548|1|Complete Movie|||85|28.11.2009 00:00|7.02|14|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6636|110548|8972|720621|2936589436|c538720ea8dc9495d70ec0b4299a62e8|c856902551412b0994fbbfc0b4966c15|8aa0e9b8cb74eee241ad4136ba3b84fada7e8a1c|0747d19a|4892|10|high|1920x1080|H264/AVC|MP3 CBR|english|japanese|1|1|3|avi
GROUPS
GID|AGID|Name|ShortName|State
8972|53050|Dattebayo &amp; gg|DB-gg|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
127|Alternative Present|0|600
512|Battle Royale|0|400
17|Comedy|0|200
160|Conspiracy|0|300
161|Detective|0|200
289|Earth|0|600
23|Japan|0|200
286|Josei|0|600
275|New|0|600
445|New York|0|500
11|Present|0|600
198|Romance|0|400
8|Sci-Fi|0|200
172|Thriller|0|600
24|United States of America|0|500


