AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6662|108793|1|The Fairy Tail||妖精の尻尾|25|12.10.2009 00:00|4.33|28|0|3
6662|108792|2|Fire Dragon, Monkey, and Bull||火竜と猿と牛|25|19.10.2009 00:00|5.40|19|0|3
6662|108791|3|Infiltrate the Everlue Mansion||潜入せよ! エバルー屋敷!|25|26.10.2009 00:00|5.05|15|0|3
6662|108842|4|Dear Kaby||DEAR KABY[親愛なるカービィへ]|25|02.11.2009 00:00|4.51|17|0|3
6662|108836|5|The Wizard in Armor||鎧の魔導士|25|09.11.2009 00:00|5.13|15|0|3
6662|108837|6|Fairies in the Wind||妖精たちは風の中|25|16.11.2009 00:00|5.62|12|0|3
6662|108838|7|Flame and Wind||炎と風|25|23.11.2009 00:00|5.55|13|0|3
6662|108839|8|The Strongest Team!!!||最強チーム!!!|25|30.11.2009 00:00|5.53|12|0|3
6662|108840|9|Natsu Devours a Village||ナツ, 村を食う|25|07.12.2009 00:00|3.41|13|0|3
6662|108841|10|Natsu vs. Erza||ナツVSエルザ|25|14.12.2009 00:00|5.93|13|0|3
6662|110729|11|The Cursed Island||呪われた島|25|21.12.2009 00:00|6.25|11|0|3
6662|110728|12|Moon Drip||月の雫[ムーンドリップ]|25|04.01.2010 00:00|5.33|11|0|3
6662|110727|13|Natsu vs. Yuka the Wave User||ナツVS.波動のユウカ|25|11.01.2010 00:00|5.78|10|0|3
6662|112185|14|Just Do Whatever!!||勝手にしやがれ!!|25|18.01.2010 00:00|5.03|11|0|3
6662|112184|15|Eternal Magic||永遠の魔法|25|25.01.2010 00:00|7.55|11|0|3
6662|112982|16|The Final Showdown on Galuna Island||ガルナ島 最終決戦|25|01.02.2010 00:00|5.90|10|0|3
6662|112981|17|Burst||BURST|25|08.02.2010 00:00|5.62|11|0|3
6662|116144|18|Reach the Sky Above||届け あの空に|25|15.02.2010 00:00|6.21|11|0|3
6662|116145|19|Changeling||チェンジリング|25|22.02.2010 00:00|5.87|12|0|3
6662|116334|20|Natsu and the Dragon Egg||ナツとドラゴンの卵|25|01.03.2010 00:00|5.91|13|0|3
6662|116333|21|The Phantom Lord||幽鬼の支配者|25|08.03.2010 00:00|6.45|11|0|3
6662|116332|22|Lucy Heartfilia||ルーシィ・ハートフィリア|25|15.03.2010 00:00|6.93|13|0|3
6662|116331|23|15 Minutes||15分|25|22.03.2010 00:00|5.90|13|0|3
6662|116763|24|To Keep from Seeing Those Tears||その涙を見ない為に|25|29.03.2010 00:00|7.14|11|0|3
6662|117088|25|A Flower Blooms in the Rain||雨の中に咲く花|25|12.04.2010 00:00|7.32|12|0|3
6662|117089|26|Wings of Flame||炎の翼|25|19.04.2010 00:00|6.91|10|0|3
6662|117090|27|The Two Dragon Slayers||二人の滅竜魔導士[ドラゴンスレイヤー]|25|26.04.2010 00:00|7.61|12|0|3
6662|117985|28|Fairy Law||フェアリーロウ|25|03.05.2010 00:00|8.53|11|0|3
6662|118135|29|My Resolve||あたしの決意|25|10.05.2010 00:00|7.94|13|0|3
6662|118136|30|Next Generation||NEXT GENERATION|25|17.05.2010 00:00|6.16|13|0|3
6662|118137|31|A Star Removed from the Sky||空に戻れない星|25|24.05.2010 00:00|6.88|13|0|3
6662|118138|32|Celestial Spirit King||星霊王|25|31.05.2010 00:00|6.41|12|0|3
6662|118369|33|The Tower of Heaven||楽園の塔|25|07.06.2010 00:00|4.81|10|0|3
6662|118714|34|Jellal||ジェラール|25|21.06.2010 00:00|5.83|10|0|3
6662|118718|35|Voice of Darkness||闇の声|25|28.06.2010 00:00|5.67|9|0|3
6662|118858|36|Heaven`s Game||楽園ゲーム|25|05.07.2010 00:00|5.45|10|0|3
6662|119539|37|Armor of the Heart||心の鎧|25|12.07.2010 00:00|5.47|10|0|3
6662|119883|38|Destiny||運命[デスティニー]|25|19.07.2010 00:00|6.11|10|0|3
6662|119882|39|Give Our Prayers to the Sacred Light||聖なる光に祈りを|25|26.07.2010 00:00|7.03|9|0|3
6662|119881|40|Titania Falls||妖精女王[ティターニア], 散る|25|14.07.2010 00:00|6.43|9|0|3
6662|120031|41|Home||HOME|25|09.08.2010 00:00|7.40|11|0|3
6662|120030|42|Battle of Fairy Tail||バトル・オブ・フェアリーテイル|25|16.08.2010 00:00|5.88|11|0|3
6662|120029|43|Defeat Your Friends to Save Your Friends||友の為に友を討て|25|23.08.2010 00:00|6.87|11|0|3
6662|121397|44|Thunder Palace||神鳴殿|25|30.08.2010 00:00|7.52|11|0|3
6662|121587|45|Advent of Satan||サタン降臨|25|06.09.2010 00:00|7.94|11|0|3
6662|121586|46|Clash at Kardia Cathedral!||激突! カルディア大聖堂|25|13.09.2010 00:00|7.97|11|0|3
6662|121585|47|Triple Dragons||トリプル ドラゴン|25|20.09.2010 00:00|6.92|11|0|3
6662|121584|48|Fantasia||幻想曲[ファンタジア]|25|27.09.2010 00:00|7.08|13|0|3
6662|122757|49|The Day of the Fateful Encounter||運命の出会いの日|25|11.10.2010 00:00|5.48|10|0|3
6662|124063|50|Special Request: Watch Out for the Guy You Like!||特別依頼. 気になる彼に注意せよ!|25|18.10.2010 00:00|6.01|9|0|3
6662|124062|51|Love & Lucky||LOVE&LUCKY|25|25.10.2010 00:00|4.32|10|0|3
6662|124061|52|Allied Forces, Assemble!||連合軍, 集結!|25|01.11.2010 00:00|6.45|9|0|3
6662|124060|53|Enter the Oracion Seis!||六魔将軍[オラシオンセイス]現る!|25|08.11.2010 00:00|6.31|8|0|3
6662|125059|54|Maiden of the Sky||天空の巫女|25|15.11.2010 00:00|5.36|10|0|3
6662|125168|55|The Girl and the Ghost||少女と亡霊|25|22.11.2010 00:00|6.38|9|0|3
6662|125167|56|Dead Grand Prix||デッドGP[グランプリ]|25|29.11.2010 00:00|5.16|9|0|3
6662|125166|57|Darkness||闇|25|06.12.2010 00:00|6.97|8|0|3
6662|125827|58|Celestial Skirmish||星霊合戦|25|13.12.2010 00:00|7.92|9|0|3
6662|126063|59|Jellal of Days Gone By||追憶のジェラール|25|20.12.2010 00:00|6.24|10|0|3
6662|126062|60|March of Destruction||破滅の行進|25|27.12.2010 00:00|5.80|8|0|3
6662|126440|61|Super Aerial Battle: Natsu vs. Cobra!||超空中戦! ナツvs. コブラ|25|10.01.2011 00:00|5.66|8|0|3
6662|126711|62|Wizard Saint Jura||聖十[せいてん]のジュラ|25|17.01.2011 00:00|6.68|9|0|3
6662|126710|63|Your Words||君の言葉こそ|25|24.01.2011 00:00|6.49|9|0|3
6662|126709|64|Zero||ゼロ|25|31.01.2011 00:00|7.29|9|0|3
6662|126708|65|From Pegasus to Fairies||天馬から妖精たちへ|25|07.02.2011 00:00|7.54|9|0|3
6662|127960|66|The Power of Feelings||想いの力|25|14.02.2011 00:00|8.97|9|0|3
6662|127959|67|I`m with You||私がついている|25|21.02.2011 00:00|7.90|10|0|3
6662|127958|68|A Guild for One||たった一人の為のギルド|25|28.02.2011 00:00|8.12|11|0|3
6662|128123|69|Call of the Dragon||竜の誘い|25|07.03.2011 00:00|3.15|10|0|3
6662|128518|70|Natsu vs. Gray!!||ナツvs.グレイ!!|25|14.03.2011 00:00|3.54|13|0|3
6662|128517|71|Friendship Overcomes the Dead||友は屍[しかばね]を越えて|25|21.03.2011 00:00|4.53|11|0|3
6662|128516|72|A Fairy Tail Wizard||フェアリーテイルの魔導士|25|28.03.2011 00:00|3.58|11|0|3
6662|128660|73|Rainbow Cherry Blossoms||虹[にじ]のさくら|25|02.04.2011 00:00|4.68|13|0|3
6662|128659|74|Wendy`s First Big Job!?||ウェンディ, 初めての大仕事!?|25|09.04.2011 00:00|2.53|12|0|3
6662|129191|75|24-Hour Endurance Road Race||24時間耐久ロードレース|25|16.04.2011 00:00|5.59|10|0|3
6662|129190|76|Gildarts||ギルダーツ|25|23.04.2011 00:00|6.25|9|0|3
6662|129189|77|Earth Land||アースランド|25|30.04.2011 00:00|7.04|8|0|3
6662|129188|78|Edolas||エドラス|25|07.05.2011 00:00|6.40|8|0|3
6662|129673|79|Fairy Hunter||妖精狩り|25|14.05.2011 00:00|7.23|8|0|3
6662|129672|80|Key of Hope||希望の鍵|25|21.05.2011 00:00|7.32|9|0|3
6662|129671|81|Fireball||ファイアボール|25|28.05.2011 00:00|5.79|8|0|3
6662|129787|82|Welcome Home||おかえりなさいませ|25|04.06.2011 00:00|4.93|9|0|3
6662|129786|83|Extalia||エクスタリア|25|11.06.2011 00:00|8.47|9|0|3
6662|129785|84|Fly, to Our Friends!||飛べ! 友のもとに!|25|18.06.2011 00:00|8.57|9|0|3
6662|129784|85|Code ETD||コードETD|25|25.06.2011 00:00|9.16|9|0|3
6662|130723|86|Erza vs. Erza||エルザ vs. エルザ|25|02.07.2011 00:00|7.00|8|0|3
6662|130722|87|We`re Talking About Lives Here!!!!||命だろーか!!!!|25|09.07.2011 00:00|7.23|8|0|3
6662|131038|88|For Pride`s Sake, the River of Stars||星の大河は誇りの為に|25|16.07.2011 00:00|7.98|9|0|3
6662|131037|89|The Apocalyptic Dragon Chain Cannon||終焉の竜鎖砲|25|23.07.2011 00:00|8.61|8|0|3
6662|131036|90|The Boy Back Then||あの時の少年|25|30.07.2011 00:00|8.97|11|0|3
6662|131040|91|Dragon Sense||DRAGON SENSE|25|06.08.2011 00:00|8.34|9|0|3
6662|131039|92|O Living Ones||生きる者たちよ|25|13.08.2011 00:00|8.82|9|0|3
6662|131042|93|I`m Standing Right Here||オレはここに立っている|25|20.08.2011 00:00|7.59|7|0|3
6662|131041|94|Bye-Bye Edolas||バイバイ エドラス|25|27.08.2011 00:00|8.09|9|0|3
6662|131247|95|Lisanna||リサーナ|25|03.09.2011 00:00|8.42|12|0|3
6662|131246|96|He Who Extinguishes Life||生命[いのち]を消す者|25|10.09.2011 00:00|7.93|8|0|3
6662|131245|97|Best Partners||ベストパートナー|25|17.09.2011 00:00|5.80|8|0|3
6662|131244|98|Who`s the Lucky One?||運がいいのは誰?|25|24.09.2011 00:00|6.19|9|0|3
6662|132997|99|Natsu Vs. Gildarts||ナツ vs. ギルダーツ|25|01.10.2011 00:00|8.49|9|0|3
6662|132996|100|Mest||メスト|25|08.10.2011 00:00|6.94|8|0|3
6662|133148|101|Black Wizard||黒魔導士|25|15.10.2011 00:00|6.72|9|0|3
6662|133709|102|Iron Soul||鉄の魂|25|22.10.2011 00:00|7.37|8|0|3
6662|133852|103|Makarov Charges||進撃のマカロフ|25|29.10.2011 00:00|8.01|8|0|3
6662|133851|104|Lost Magic||失われた魔法[ロストマジック]|25|05.11.2011 00:00|7.52|8|0|3
6662|134618|105|Fire Dragon vs. Flame God||火竜 vs. 炎神|25|12.11.2011 00:00|9.71|8|0|3
6662|134617|106|Grand Magic World||大魔法世界|25|19.11.2011 00:00|7.56|7|0|3
6662|134616|107|Arc of Embodiment||具現のアーク|25|26.11.2011 00:00|5.71|7|0|3
6662|134790|108|Human Gate||人間の扉|25|03.12.2011 00:00|9.55|7|0|3
6662|134789|109|Lucy Fire||ルーシィファイア|25|10.12.2011 00:00|7.77|8|0|3
6662|134788|110|Dead-End of Despair||絶望の袋小路|25|17.12.2011 00:00|7.17|7|0|3
6662|134787|111|Tears of Love and Vitality||愛と活力の涙|25|24.12.2011 00:00|8.17|7|0|3
6662|135471|112|The One Thing I Couldn`t Say||言えなかった一言|25|07.01.2012 00:00|8.98|8|0|3
6662|135801|113|Tenrou Tree||天狼樹|25|14.01.2012 00:00|8.97|7|0|3
6662|135800|114|Erza vs. Azuma||エルザvs.アズマ|25|21.01.2012 00:00|9.55|9|0|3
6662|135799|115|Freezing Fighting Spirit||凍える闘志|25|28.01.2012 00:00|8.94|7|0|3
6662|135798|116|Power of Life||生なる力|25|04.02.2012 00:00|9.89|7|0|3
6662|135797|117|Rolling Thunder||雷鳴響く|25|11.02.2012 00:00|8.65|6|0|3
6662|135796|118|The Man Without an Emblem||紋章を刻まぬ男|25|18.02.2012 00:00|9.49|6|0|3
6662|135795|119|Realm of the Abyss||深淵の領域|25|25.02.2012 00:00|9.10|8|0|3
6662|135802|120|Daybreak on Tenrou Island||暁の天狼島|25|03.03.2012 00:00|10.00|6|0|3
6662|135809|121|The Right to Love||愛する資格|25|10.03.2012 00:00|8.19|5|0|3
6662|135808|122|Let`s Hold Hands||手をつなごう|25|17.03.2012 00:00|8.85|11|0|3
6662|135807|123|Fairy Tail, Year X791||X791年・妖精の尻尾[フェアリーテイル]|25|24.03.2012 00:00|8.65|12|0|3
6662|138134|124|The Seven Year Gap||空白の7年|25|31.03.2012 00:00|8.73|10|0|3
6662|138294|125|The Magic Ball||魔法舞踏会|25|07.04.2012 00:00|3.39|9|0|3
6662|138353|126|True Scoundrels: The Butt Jiggle Gang||真の悪ケツプリ団|25|14.04.2012 00:00|1.34|12|0|3
6662|138352|127|The Terror of Invisible Lucy!||透明ルーシィの恐怖!|25|21.04.2012 00:00|2.35|8|0|3
6662|138351|128|Father`s Memento||父の遺品|25|28.04.2012 00:00|4.49|7|0|3
6662|138350|129|Turbulent Showdown! Natsu vs. Laxus||怒涛の対決! ナツvs.ラクサス|25|05.05.2012 00:00|4.02|8|0|3
6662|138349|130|Target: Lucy||狙われたルーシィ|25|12.05.2012 00:00|3.62|6|0|3
6662|138348|131|The Fury of Legion||レギオンの猛威|25|19.05.2012 00:00|4.46|6|0|3
6662|138347|132|Key of the Starry Heavens||星空の鍵|25|26.05.2012 00:00|4.90|6|0|3
6662|138346|133|Travel Companions||旅の仲間たち|25|02.06.2012 00:00|3.01|6|0|3
6662|138345|134|Labyrinth Capriccio||迷宮狂想曲|25|09.06.2012 00:00|3.83|6|0|3
6662|138344|135|Footprints of the Myth||神話の足跡|25|16.06.2012 00:00|2.51|6|0|3
6662|138343|136|True Scoundrels, Once Again||真の悪, ふたたび|25|23.06.2012 00:00|2.14|6|0|3
6662|138342|137|Defying Calculation||計算をこえるもの|25|30.06.2012 00:00|4.34|5|0|3
6662|140568|138|The Course of the Holy War||聖戦のゆくえ|25|07.07.2012 00:00|3.23|6|0|3
6662|140728|139|Time Begins to Tick||動き始めた刻|25|14.07.2012 00:00|4.13|7|0|3
