AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
679|7319|1|Complete Movie|||75|20.07.2002 00:00|5.52|14|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
679|7319|8201|1106410|2842579423|1e31e6b25612cb04f8205578d03e3e05|3cd94a1c489ebb3eb0552190555c0814|326b52c6e4c58b6952193939dbc7451681c2f4e0|0cdc2145|4500|10|very high|1280x692|H264/AVC|DTS|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8201|58250|High Quality Releases|HQR|complete
GENREN
GenID|GenName|isHentai|Weight 
306|Adventure|0|100
314|Anthropomorphism|0|300
256|Art|0|100
22|Asia|0|400
202|Catgirl|0|400
17|Comedy|0|400
330|Coming of Age|0|200
183|Contemporary Fantasy|0|600
289|Earth|0|400
15|Fantasy|0|600
291|Fantasy World|0|400
485|Henshin|0|300
239|High School|0|600
23|Japan|0|400
201|Juujin|0|200
76|Kodomo|0|100
20|Martial Arts|0|100
78|Mina|0|500
321|Performance|0|100
198|Romance|0|100
153|Slapstick|0|100
244|Twisted|0|300


