AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
6820|117083|1|OVA|||50|24.07.2010 00:00|2.49|11|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
6820|117083|7854|764598|559048152|20f97298498026e362f970f66bab982f|6698bf4e87fa82301ef52c2252de2598|92ad7391b7daddfa026d8f33496ba1f9431da007|2022d8ae|3143|10|very high|720x480|H264/AVC|Vorbis (Ogg Vorbis)|english|japanese|1|5|2|mkv
GROUPS
GID|AGID|Name|ShortName|State
7854|55674|Mazui|Mazui|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
475|All-girls School|0|400
138|Basketball|0|100
242|Clubs|0|100
183|Contemporary Fantasy|0|200
236|Daily Life|0|200
265|Dark Fantasy|0|400
15|Fantasy|0|400
497|Friendship|0|300
23|Japan|0|400
238|Middle School|0|100
275|New|0|600
209|Parallel Universe|0|400
11|Present|0|400
21|School Life|0|300
79|Seinen|0|600
374|Skimpy Clothing|0|300
113|Sports|0|100
173|Swordplay|0|200
235|Tragedy|0|300
147|Volleyball|0|100


