AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7034|108579|1|The Rumoured Erotic Massage||ウワサのエッチなマッサージ|30|18.12.2009 00:00|4.20|5|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7034|108579|9830|953343|488605272|74a89f9f3615b22179dcfa5ecf9efa1c|6a65d1b8fdc93c9eb773f2a08a352b49|dd386df5837c4a011ff817d8219b0a15ee5e2841|323339e2|1903|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4225|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|65501|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
22|Asia|0|600
489|Dark-skinned Girl|0|300
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
271|Erotic Game|0|600
269|Game|0|600
23|Japan|0|600
52|Large Breasts|0|600
88|Nudity|0|600
11|Present|0|600
86|Sex|0|600
113|Sports|0|200
362|Threesome|1|300
147|Volleyball|0|200
37|Yuri|1|100


