AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7070|108733|1|Tomoe||ともえ|30|25.12.2009 00:00|3.50|5|0|3
7070|112236|2|Funeral Flowers for Winter Insects||冬虫花葬|30|26.03.2010 00:00|3.27|5|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7070|108733|9830|857901|191852011|7ba10324fd988723f804b8d5dbe5159e|129c6aad441c799fee6ba4a5f024bd1e|70130a5a34b6f385099ad9e43a52484b1fc2bf03|570bdc2b|1787|10|high|720x480|H264/AVC|AC3|english|japanese|1|129|3|mkv
7070|112236|9830|860035|172939104|9310d912a07fe8151fb2929d7c7bd26e|b21414526008b04d1e0f13864fd412d7|3b3d06985364dc04be781d63216c6020f0b16879|4270690c|1703|10|high|704x396|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|60243|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|100
229|Chikan|1|600
60|Female Student|0|600
333|Gangbang|1|200
23|Japan|0|600
73|Lolicon|0|600
273|Manga|0|600
88|Nudity|0|600
377|Pantyjob|0|400
11|Present|0|600
33|Rape|1|400
86|Sex|0|600
51|Small Breasts|0|600
351|Urination|1|100
479|Zettai Ryouiki|0|200


