AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
73|432|1|The Man of the Slashing Sword||斬る男|30|20.02.1999 00:00|8.65|73|0|2
73|1396|2|The Lost Cat||迷い猫|30|21.04.1999 00:00|8.21|59|0|2
73|1395|3|The Previous Night at the Mountain Home||宵里山|30|19.06.1999 00:00|8.85|59|0|2
73|1397|4|The Cross-Shaped Wound||十字傷|30|22.09.1999 00:00|9.52|66|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
73|432|108|175212|38363|1e1ed1c235749355ef8c10394f509c96|c7c9ecad1d9a101deeae39bc36128875|840489fca7ba84e3828587844377ceed780b1801|fc3dbfaa|0|20|very high|0x0|||english||1|1|2|ssa
73|432|108|35983|314400927|bbb1452fbf926dbe773264d75e2d3c40|5bf60b97713d1d0e3f3198477eba0b92|5b9ce0ea7c442084c33a9e170aa543fbbe4d95fd|8fbc555f|1707|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|4097|2|ogm
73|1396|108|175211|48203|aff748d8582663903c32c89eb6579d82|deb6cc3889f544745fa0be10c581aab9|90fde497c0a9af1b00221a764397c46fbfc57760|7785bb5e|0|20|very high|0x0|||english||1|1|2|ssa
73|1396|108|35982|303571879|c2d160a0bbdae8b8e18b5eca72387a4a|2b03e6851a1cb3018529e0c9efeed9e9|f516819a3af322e358052b5daaab6bac1c7c08a9|24c8eeef|1743|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
73|1395|108|175213|34030|36f7ecd650fb41bede0f6181f5830023|890426f17bab4de43030b6768a9a6ce9|8ced9748806460e1d4502829eb0e062bdfb56544|747f7e0f|0|20|very high|0x0|||english||1|1|2|ssa
73|1395|108|35984|333531851|0ed39bfbc3cd3570f7d9c485574d37a1|76b38b3129a123025073b5006f41579d|3dd70d75501a82b2d26e911e644493d4004e00d8|cb35db52|1844|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
73|1397|108|175214|24828|401372fe117c5b3a0410d6f2c8121dec|1859dd373d45e14def7191bdfb08786e|a2abe995fb04a134925e7e78102dd9e5a8f6ca3f|9b1adbcd|0|20|very high|0x0|||english||1|1|2|ssa
73|1397|108|35985|356505179|689b053e57de997f52c431a702c2753f|f0e4f32f57a21126201ce4810d4bea46|f4a9e98fa210a28835c32525fe7a7bee2e791e0a|69d8205b|1845|10|very high|640x480|XviD|Vorbis (Ogg Vorbis)||japanese|1|1|2|ogm
GROUPS
GID|AGID|Name|ShortName|State
108|3395|Anime HQ|AHQ|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
22|Asia|0|600
194|Bakumatsu - Meiji Period|0|600
160|Conspiracy|0|200
25|Historical|0|600
23|Japan|0|600
273|Manga|0|400
20|Martial Arts|0|400
10|Past|0|600
533|Revenge|0|200
198|Romance|0|600
28|Samurai|0|600
86|Sex|0|100
5|Shounen|0|600
173|Swordplay|0|600
235|Tragedy|0|600
84|Violence|0|300


