AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7382|118642|1|Spring of the Dead||Spring of the DEAD|25|27.06.2010 00:00|8.13|44|0|3
7382|118641|2|Escape from the Dead||Escape from the DEAD|25|12.07.2010 00:00|6.39|37|0|3
7382|118640|3|Democracy Under the Dead||Democracy under the DEAD|25|19.07.2010 00:00|6.84|34|0|3
7382|118639|4|Running in the Dead||Running in the DEAD|25|26.07.2010 00:00|3.65|33|0|3
7382|119746|5|Streets of the Dead||Streets of the DEAD|25|02.08.2010 00:00|5.88|33|0|3
7382|119745|6|In the Dead of the Night||In the DEAD of the night|25|09.08.2010 00:00|4.21|32|0|3
7382|119744|7|Dead Night and the Dead Ruck||DEAD night and the DEAD ruck|25|16.08.2010 00:00|5.80|30|0|3
7382|119743|8|The Dead Way Home||The DEAD Way Home|25|23.08.2010 00:00|4.22|31|0|3
7382|119742|9|The Sword and Dead||The sword and DEAD|25|30.08.2010 00:00|6.61|33|0|3
7382|119741|10|The Dead`s House Rules||The DEAD`S house rules|25|06.09.2010 00:00|3.83|26|0|3
7382|119740|11|Dead Storm Rising||DEAD storm rising|25|13.09.2010 00:00|5.00|25|0|3
7382|119739|12|All Dead`s Attack||All DEAD`S attack.|25|20.09.2010 00:00|7.58|23|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7382|118642|7172|754374|494711340|f98b5bb5a86ccd3f2413792d8d0a4859|d3c7c3e32e937dd87ff1f67687ab7d03|3898004c0e3ecf943981739acb278d9395dbc41a|595cce92|1513|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|118641|7172|757599|501540991|ad03eb06c51297123fa314dd07cbe882|0de45aa32c641d5696d587ed2ee8ba3b|8ce86b09439bfbc3ce3a4c46fab3fb011943d0be|115b62fe|1512|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|118640|7172|760698|496243795|fd6fe6c1e220c5eb9c87d43997a7e36c|cc5f014b26b5baa653f0c4b0cf0f2093|65ef8ee1261d43a590a4584c77a0364795d10a98|40beb8db|1517|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|118639|7172|764550|494010233|349e086066771b026689cf1b9ee201f1|91b07bcb85b5d812e7b4798a964ada95|664820312f94b61bb9f1db9e93a23ab6df99cf89|33bb1cc2|1510|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119746|7172|767656|494635954|03de7bd7a3afcdd7b7024c5186625d50|8f24573700e9c474bf0de74eda76dfe1|1f7a3313376bf6ddddb4b3e4d57f7ad0fed4f899|eeeffa13|1512|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119745|7172|771346|489585217|ec3054f81a00880af94074cda0672d06|a4624e259a3a793330e48dd626d8f915|5fa9e6dd2514d020c539f4ed2ac8f734b237fc63|b906b742|1512|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119744|7172|775204|495569915|29ac4810a15ee0f4922d2e0948bfb2ac|acca1ced42f8d1e43af6be525e212833|65c1627a709645dd7e75ef7e2cc1e12d5c7d79d8|05d35e57|1514|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119743|7172|779613|494735810|a8c754467967927b95b7d3e87d6277a4|d6779715e38ac671bb7ab0ccf1eb453a|7e150814689b3029d177c84c6b0be13d23777c41|384b144d|1512|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119742|7172|785259|491542328|148d2ad892cef16e06f194e7fa67e728|577f852754609775f34b60c7caec0630|bbfecd5bf9554497dcf0dd1bd18665a4f1047a30|43a5d208|1513|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119741|7172|788202|484646848|d1b80a1f02234288b9cff98281e92688|0c2e4bed4c0c3a30f6d70f515e875e9d|4980f47e9dad021089e74cbe3f86dbe0cc6b8b7d|74cafb4c|1513|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119740|7172|792445|485120456|31be5bd002237e2a802984d767afea94|55ed01cc0053281e2078042638d97d81|0f193dc1bedee132f7f098c907a58f0c7b537195|60fef37b|1481|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
7382|119739|7172|796340|484905160|13090643013c5d5aef70801b30452e7f|8af5519649304ea29cbdf8bc31050565|d84e025762b707804db37cd628744515eca61c5f|8164b88f|1514|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|55077|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
252|Angst|0|400
284|Boing|0|600
378|Boobs in Your Face|0|300
504|Breaking the Fourth Wall|0|200
369|Breast Fondling|0|300
511|Bullet Time|0|200
330|Coming of Age|0|400
282|Ecchi|0|500
60|Female Student|0|300
336|Female Teacher|0|100
498|Furo Scene|0|200
263|Gunfights|0|400
241|Harem|0|500
239|High School|0|100
154|Horror|0|600
23|Japan|0|600
52|Large Breasts|0|500
411|Lingerie|0|300
230|Love Polygon|0|200
273|Manga|0|600
404|Naked Apron|0|300
458|Nosebleed|0|200
88|Nudity|0|100
283|Pantsu|0|600
233|Plot Continuity|0|400
26|Post-apocalypse|0|600
11|Present|0|600
198|Romance|0|200
86|Sex|0|100
5|Shounen|0|600
374|Skimpy Clothing|0|300
173|Swordplay|0|400
235|Tragedy|0|200
84|Violence|0|500
479|Zettai Ryouiki|0|200
476|Zombie|0|600


