AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7478|124721|1|Complete Movie|||100|01.10.2011 00:00|6.16|2|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7478|124721|11030|1041443|7518527190|1190ff285423467ddfea5b6945afc3ff|f072dfaa4c80bf1279a68f9d8c437b6b|16b0e6ab56de977243b9e567a44fe87c7a2b453e|1adeec8b|5977|10|very high|1920x1038|H264/AVC|FLAC|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
11030|70837|TakaFansubs &amp; THORAnime|Taka-THORA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|400
259|Air Force|0|600
252|Angst|0|200
17|Comedy|0|100
330|Coming of Age|0|200
236|Daily Life|0|100
291|Fantasy World|0|600
263|Gunfights|0|200
171|Military|0|600
274|Novel|0|600
10|Past|0|600
427|Racism|0|200
198|Romance|0|400
8|Sci-Fi|0|300
79|Seinen|0|500
235|Tragedy|0|100
467|War|0|400


