AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7525|122243|1|There`s No Way I Could Love My Sister||俺が妹と恋をするわけがない|25|03.10.2010 00:00|6.51|28|0|3
7525|122242|2|There`s No Way I`d Go to an IRL Meetup with My Sister||俺が妹とオフ会に行くわけがない|25|10.10.2010 00:00|6.55|26|0|3
7525|122241|3|There`s No Way My Little Sister Can Be This Cute||俺の妹がこんなに可愛いわけがない|25|17.10.2010 00:00|7.73|28|0|3
7525|122240|4|There`s No Way My Little Sister Would Go To Summer Comiket||俺の妹が夏コミとか行くわけがない|25|24.10.2010 00:00|6.55|26|0|3
7525|124582|5|There`s No Way My Little Sister`s Friend Can Be This XX||俺の妹の親友がこんなに××なわけがない|25|31.10.2010 00:00|6.33|29|0|3
7525|124809|6|There`s No Way My Childhood Friend Can Be This Cute||俺の幼馴染がこんなに可愛いわけがない|25|07.11.2010 00:00|8.31|31|0|3
7525|125047|7|There`s No Way My Little Sister Can Write a Novel||俺の妹がこんなに小説家なわけがない|25|14.11.2010 00:00|4.78|24|0|3
7525|125212|8|There`s No Way My Little Sister Could Get an Anime||俺の妹がこんなにアニメ化なわけがない|25|21.11.2010 00:00|4.45|26|0|3
7525|125389|9|There`s No Way My Little Sister Can Play Eroge Like This||俺の妹がこんなにエロゲー三昧なわけがない|25|28.11.2010 00:00|4.83|24|0|3
7525|125546|10|There`s No Way My Little Sister Can Cosplay Like This||俺の妹がこんなにコスプレなわけがない|25|05.12.2010 00:00|6.66|24|0|3
7525|125547|11|There`s No Way My Little Sister Can Be a Maid||俺の妹がこんなにメイドなわけがない|25|12.12.2010 00:00|8.52|28|0|3
7525|125548|12|There`s No Way My Little Sister`s Life Advice Can End Like This (Good End)||俺の妹の人生相談がこれで終わるわけがない GOOD END♡|25|19.12.2010 00:00|5.81|22|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7525|122243|7854|800442|301434873|5464a6ebb0adbf743e192563c89845f9|b5ad6d65b0872958afdbb0b980ecb0a0|b5b84736b44bcd74e94d81fe9554c10f1284ecc6|9c50f426|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|122242|7854|804209|310023435|1ded2030419fb749e5788e0ee7775b6f|9ead4f39a4537d3bd7e0ad82d3ef6e24|fd3c33ab31c721d6fc17c695b51e2ed6d654d077|8530f9db|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
7525|122241|7854|807273|363309569|d74d528acc5d0bf70134d9d3b2c12a56|9d71a8c8ddcca16c29cacd2eb245cc75|77853f69fb988163e266dc1d13f6bb1b4cd03c4f|df6f1d89|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|122240|7854|811238|464544683|86d935e8bd932efd383313dd697034f8|f9432a27f3aa293429a98ecf1fc10a83|ca4cfb568e4b9ac06d4a154c6dd4703f785cfbd8|73464065|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|124582|7854|813582|403282035|d88cb14333a5c33905f4a3b4bd0dd1ec|fb24d3e1497950f8a1d444e989a480f9|34d3b67b9ef47eb4d04019ec8b874eba2cac8b65|80842a68|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|124809|7854|816387|368608889|60c346f36cb6e383df452da73b1c0a71|2d049d001ef64dff9d58bb97693c4ad7|a7748215593465a35e2bfb1e5d2437a404f72303|c72ba58e|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|125047|7854|819737|350930909|01d85a0094e2399275cdab1860e94b77|a2a794fb0240bfd2d7177d912bff948e|4fb4327b0a471bb1ddddc09bf2075631f7dfe949|978e8fe7|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|125212|7854|824090|277186721|4bf5a8101f09b335ac8dbad9bfa73977|8ce59371ed2efabb86a76d21336e4cd7|ef47b80a3602d360d00d575a3ff1936cd2a78b05|9c2ab414|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|125389|7854|827826|318064065|eea7594ecdf0d2c95576821fddcae422|c0b06d87be29e5792306bcd1182bf13e|eb96449052fd7565422781174ea96c5ba401a55d|a38affe2|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|125546|7854|832199|422526674|b72f70460638f4cbc372cc7309048538|8483582ad9767cd0249d86c967636685|a3e2fa5a2ab552e65705875314479d289053a499|9d348a69|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
7525|125547|7854|835480|337551748|b64873c382cb0dad38c6c54454def3f5|a655fee4772654a5c38ccaed26f8b8e8|f3997c15081bffe6641ac9889da58d225175a09f|8c8d660e|1449|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7525|125548|7854|838307|213271573|7bd3a8c1267e45b592000be159ff0cfb|74a4f7e83b59e8ec8665a3be2609eba0|5d55568ddebf1544125ab222ec2c98422289e4d3|37bf0908|1460|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7854|57231|Mazui|Mazui|complete
GENREN
GenID|GenName|isHentai|Weight 
515|Akihabara|0|300
22|Asia|0|600
17|Comedy|0|400
470|Cosplay|0|200
289|Earth|0|600
282|Ecchi|0|200
241|Harem|0|300
23|Japan|0|600
274|Novel|0|600
283|Pantsu|0|100
11|Present|0|600
198|Romance|0|300
79|Seinen|0|600
479|Zettai Ryouiki|0|200


