AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7565|140637|1|Complete Movie|||95|17.11.2012 00:00|6.89|10|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7565|140637|9153|1233132|9243682082|4d6547d80e3d57fe47deb8d9cc5485cd|e3aadaee066224de6cc406f48c03f113|9da3cf44dec8e323dd896a9ed9ef0e81941a416f|f2060cf5|5731|10|very high|1920x814|H264/AVC|FLAC|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9153|81858|Unlimited Translation Works &amp; THORAnime|UTW-THORA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
184|Alien|0|600
252|Angst|0|600
497|Friendship|0|200
12|Future|0|600
328|Human Enhancement|0|400
23|Japan|0|600
13|Mecha|0|600
171|Military|0|300
275|New|0|600
118|Piloted Robot|0|600
26|Post-apocalypse|0|600
8|Sci-Fi|0|400
5|Shounen|0|600
235|Tragedy|0|400


