AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7622|125379|11|The Lost Memory||失われたメモリー|25|11.12.2010 00:00|5.11|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7622|125379|8693|834099|236777191|23100ccefe01ffec3ae2456a8870edcb|1a5c671cbeda3e71ae145e9270b5f6dd|ef9d084a83fced29afcfdd4ba624957f4dbce8ee|3ee795d8|1440|10|high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8693|57170|Ryuumaru|Ryuumaru|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
252|Angst|0|200
22|Asia|0|600
137|Baseball|0|100
327|BDSM|0|200
284|Boing|0|300
378|Boobs in Your Face|0|300
139|Boxing|0|100
369|Breast Fondling|0|300
471|Christmas|0|200
17|Comedy|0|500
330|Coming of Age|0|200
470|Cosplay|0|200
542|Cross-dressing|0|300
289|Earth|0|600
282|Ecchi|0|300
241|Harem|0|300
239|High School|0|400
548|Indirect Kiss|0|200
23|Japan|0|600
52|Large Breasts|0|400
73|Lolicon|0|200
230|Love Polygon|0|200
13|Mecha|0|200
404|Naked Apron|0|300
274|Novel|0|600
283|Pantsu|0|200
151|Parody|0|200
118|Piloted Robot|0|200
11|Present|0|600
198|Romance|0|300
457|School Festival|0|200
21|School Life|0|400
79|Seinen|0|600
278|Shoujo Ai|0|100
277|Shounen Ai|0|100
374|Skimpy Clothing|0|300
153|Slapstick|0|500
51|Small Breasts|0|300
220|Stereotypes|0|400
481|Summer Festival|0|200
342|Super Deformed|0|400
18|Super Power|0|300
235|Tragedy|0|200
340|Trap|0|200
244|Twisted|0|200
84|Violence|0|300
285|Violent Retribution for Accidental Infringement|0|400
479|Zettai Ryouiki|0|200


