AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7725|126256|1|Dream & Reality||夢現|25|07.01.2011 00:00|5.02|13|0|3
7725|126255|2|Dream & Hope||夢もキボーも|25|14.01.2011 00:00|5.80|12|0|3
7725|126254|3|From Beyond the Dream||夢の向こうから|25|21.01.2011 00:00|6.01|12|0|3
7725|126253|4|Dream Eater Merry||夢喰いメリー|25|28.01.2011 00:00|7.15|12|0|3
7725|127735|5|Bewildered by Dreams||夢に惑って|25|04.02.2011 00:00|6.16|11|0|3
7725|127942|6|Encounter with Dreams||夢邂逅|25|11.02.2011 00:00|8.60|14|0|3
7725|128151|7|Dreams, Swimsuits & the Color of the Ocean||夢と水着と海の色|25|18.02.2011 00:00|3.68|9|0|3
7725|128150|8|Dream Gallery||夢回廊|25|25.02.2011 00:00|6.30|9|0|3
7725|128149|9|Disturbed Dream||夢乱れて|25|04.03.2011 00:00|7.29|8|0|3
7725|128249|10|Without Waking Up from the Dream||夢から覚めずに|25|11.03.2011 00:00|5.34|9|0|3
7725|128248|11|Guardian of the Dream||夢の守り人|25|25.03.2011 00:00|4.42|8|0|3
7725|128247|12|Bad Dream||夢魘|25|01.04.2011 00:00|7.19|8|0|3
7725|128763|13|Dream Again||夢, ふたたび|25|08.04.2011 00:00|3.80|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7725|126256|2812|849397|355218858|3a12774598b6a146ae546497568c0a1d|a63875b2e9154994c82fb86696aee44c|e075fb600cc27806f564c4534804f1ce62aada13|fd877ddc|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|126255|2812|853511|183747736|5aba8a75843a23a5e979b38a8582d96b|86ac1de4235cba70ed4b4f4d2c6b28e3|f88378adb6fcc55c62f5199cfa284ea389b18b68|3da5cbef|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
7725|126254|2812|857047|432749554|6cb08fa67181849abcc9ba3f6fba0614|b74123c33f0ad645ad09279f7dbf5879|1c89bf767dd0f62cb0e1144373ade63a81086aeb|d1746eb4|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|126253|2812|860698|386193432|8adb7d47531a6b39f63ef6d67a33e404|56e59e1d69e052526c49397fe1d8bedf|cc845f4e7ba98dcdaba0f03090c51c81c8831c46|f2574ac7|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|127735|2812|863724|410059253|c634e682b314e3068663adc4a520592e|b33e0dc1115856cc293f9ec1e5837094|005260edf8d99a6dda8c681dfd93a69c4becb51a|fc96b5e4|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|127942|2812|866964|344747154|60d40bdcbd87da742278a248899b91f3|e736e303b19a8e8eec054d9b8a7e49e1|1ab87b92e21b82d2e57d3afc85ce7a83a4232371|fd1776e7|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128151|2812|870842|460489864|33581accfc3a806c2f509b35d3723cf3|0e408c772d3cca7ac772f07d4e145849|84642575a6d0a7075d1e39c9698e0bf295818d81|35f7aa0f|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128150|2812|874434|335708061|d794ac9156860a4528e7364c1b087cf4|4844ac3e9ac4cf1af01e19b177b856b4|4542ccb1bf931e9a3d1af0d5c878b3356d29457a|221f02a5|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128149|2812|877343|298448380|b128e9f8fa74915416620976ee934565|b7b8ec1b3f0fd98eec24f70a72b22014|1de37036e29a618db1da972aabdc7288786bdff6|2987543e|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128249|2812|879725|269221340|cb192a6df001fbd374a2f455ddac8ff6|10582075b22a0e0df32af745d577b72e|782c1833cc763cd8fb5eade65ad01ef35a6a327c|3b0ded73|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128248|2812|884604|295592419|e271dbdde41f09e70c3664048a8f02f3|c0074a44019d7f2ee3ba6c7c74106436|bef589514a31274cc9cf4da9823b7d9158b713cd|353d4a9c|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128247|2812|887889|366543866|f85ef9c1b7597d8c7c2c7387d88da64b|ec6a471218103d34d6d6a690691f76c2|de70854cd68bf375506bb5589678758832c587a7|c2ce8ea5|1451|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7725|128763|2812|892399|430972309|e100d76aee5fbae29eaab06fada52139|5bed002bf6e9acd4140777c89e22c932|be516988a5d63fb2ad51a6021ee927c0b0c2bc45|8ce290ee|1418|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
2812|59769|gg|gg|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
252|Angst|0|300
256|Art|0|200
22|Asia|0|600
17|Comedy|0|200
330|Coming of Age|0|200
183|Contemporary Fantasy|0|400
236|Daily Life|0|200
167|Demons|0|400
289|Earth|0|600
282|Ecchi|0|100
15|Fantasy|0|500
498|Furo Scene|0|200
241|Harem|0|200
239|High School|0|200
23|Japan|0|600
534|Karaoke|0|200
273|Manga|0|600
20|Martial Arts|0|200
88|Nudity|0|200
209|Parallel Universe|0|600
487|Parental Abandonment|0|300
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|100
21|School Life|0|200
79|Seinen|0|600
153|Slapstick|0|200
220|Stereotypes|0|200
342|Super Deformed|0|200
18|Super Power|0|400
173|Swordplay|0|300
235|Tragedy|0|200
513|Transfer Student|0|200
244|Twisted|0|300
500|Under One Roof|0|300
84|Violence|0|200
479|Zettai Ryouiki|0|200


