AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7727|126008|1|All My Classmates Are Female||クラスメイトは全員女|25|07.01.2011 00:00|6.10|15|0|3
7727|126634|2|Class Representative Selection Match!||クラス代表決定戦!|25|14.01.2011 00:00|6.21|12|0|3
7727|126633|3|The Transfer Student Is the Second Childhood Friend||転校生はセカンド幼なじみ|25|21.01.2011 00:00|5.20|9|0|3
7727|126632|4|Showdown! The Class League Match!||決戦! クラス対抗戦(リーグマッチ)|25|28.01.2011 00:00|5.92|8|0|3
7727|126818|5|Boy Meets Boy||ボーイ・ミーツ・ボーイ|25|04.02.2011 00:00|6.35|6|0|3
7727|127911|6|My Roommate Is a Young, Blond Nobleman||ルームメイトはブロンド貴公子(ジェントル)|25|11.02.2011 00:00|6.93|5|0|3
7727|128059|7|Blue Days / Red Switch||ブルー・デイズ / レッド・スイッチ|25|18.02.2011 00:00|5.53|5|0|3
7727|128058|8|Find Out My Mind||ファインド・アウト・マイ・マインド|25|25.02.2011 00:00|8.23|6|0|3
7727|128057|9|Ocean`s Eleven!||海に着いたら十一時(オーシャンズ・イレブン)!|25|04.03.2011 00:00|6.04|7|0|3
7727|128495|10|Thin Red Line||その境界線の上に立ち(シン・レッド・ライン)|25|11.03.2011 00:00|3.86|6|0|3
7727|128513|11|Get Ready||ゲット・レディ|25|25.03.2011 00:00|3.73|6|0|3
7727|128512|12|Your Name Is||君の名は(ユア・ネーム・イズ)|25|01.04.2011 00:00|4.75|5|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7727|126008|3938|855714|368716889|c8ee649e552cef332e937e4688dcb3e1|83a45e1fe96a38e0be73bff2734355ad|075bff5820e4e865287cdbb16f2b6cb7b0382ea9|4b45ef48|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4101|3|mkv
7727|126008|3938|849358|369446860|48e454672433262cb5a7a6992e6fbe25|8056a0e16b5aba17bc25075b608a0006|67a1dff4759ef68aa12aed9c9ab3d33358902dbb|d764a3ec|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|126634|3938|853531|368502091|8e451ea0c43fc94b51a8b638425d95ba|8ca8d315922922ec01728cb3bbfcd74f|cda0c687a55695549068e736c197140d156d43f3|05c376a9|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|126633|3938|857068|368785368|05135124d99ad49b06d61660dadfa979|cf349bb9a799ebfc96fac04a116a089d|844a20bf95beffd8b3c2f8df4c34232584801811|87e1fabe|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|126632|3938|860685|368534867|e1e0506b9b15d4a88cae9f99c8b79326|adbbdde615c9008efe32958d20db6fcd|dd6256620071fdc6c74ff87bfa2b5d19791df279|192428ab|1449|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|126818|3938|863721|369033027|e317511f342f86962edd018a8b348a00|bcb38291f2954d7f76fd969d76e268bd|7c01078db412177b8b15b60906efb5c842f0dd92|1fa14d41|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|127911|3938|866938|365556928|916c45aaa45a563cfc99d7268bd41fdb|d80341b6162d62fbe73999e2729519e5|c0c096cc61b39f356bf8ec2bccb1036aadf96788|99299389|1450|10|high|1280x720|H264/AVC|MP3 VBR|english|japanese|1|4097|3|mkv
7727|128059|3938|871220|370542534|fa4fc69290620abd86a62d899b3a44ed|684adc4836a747bf4cfaf89332fee067|a6948a9c717bcf773fd6cd68717e9aa7dbcd43c2|eb7838fc|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|128059|3938|880028|370543467|d1649d57e936559af60357d68b24c461|9aabcbc8980b97f8bda1a8cfc70f87d4|48ade6025d10c2c9e2f486a30b1d9b3042e448f5|44419534|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4101|3|mkv
7727|128058|3938|874430|368901279|0239971ccb5911620191d71d97775dba|704a3d6a7e01b907ccd20bbd8611ddb4|0fee65b41eef16e508e321f1c4987576fa656921|c48be631|1449|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|128057|3938|877490|369094795|4be5d3d734f375c020d338287239a65c|2f533c209e820f4eb503c929df9ceb64|69e0e1a6b997b9f13bed999faa5a498a55f46dd5|0d13b92c|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|128495|3938|879899|368987826|4733e7ee39b48e92d347570cbf2f04ef|bc8cb1312cc6bc52da867c66af33c755|94f6162840a9d3175891aaafa14490dde8323a75|0c074a1f|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|128513|3938|884551|369003295|ee6b57553d05c40a58857264c59d10ce|3532aa2132f16bcff26dff8bb8bbc3ef|5dcdf6dca797de009143c7a7be570cddcef17f8e|276fc82f|1450|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
7727|128512|3938|888044|361053507|9b49eb7c6664f35c8a4f400242e1a261|a620bf503acdfb01b5d76694196c07ba|f5a0bc7b623d137514be242b3987444b0940dd88|660b00bb|1419|10|high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
3938|59462|Ayako-Fansubs|Ayako|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
475|All-girls School|0|400
22|Asia|0|600
17|Comedy|0|400
289|Earth|0|600
282|Ecchi|0|300
12|Future|0|600
241|Harem|0|600
239|High School|0|600
23|Japan|0|600
495|Lethal Cooking|0|200
411|Lingerie|0|300
230|Love Polygon|0|200
13|Mecha|0|400
274|Novel|0|600
117|Power Suit|0|500
459|Reverse Trap|0|200
198|Romance|0|200
21|School Life|0|600
8|Sci-Fi|0|400
79|Seinen|0|600
496|Shower Scene|0|200
220|Stereotypes|0|500
513|Transfer Student|0|200
500|Under One Roof|0|300
479|Zettai Ryouiki|0|200


