AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7873|126867|1|Encounter||出会い|25|14.01.2011 00:00|6.29|13|0|3
7873|126870|2|Nessa||ネッサ|25|21.01.2011 00:00|7.58|11|0|3
7873|126869|3|The Village of Granites||グラニッツの村|25|28.01.2011 00:00|6.97|11|0|3
7873|126868|4|Departure||出発|25|04.02.2011 00:00|6.26|9|0|3
7873|127732|5|Journey||旅路|25|18.02.2011 00:00|4.88|10|0|3
7873|127733|6|The Farthest Town||最果ての町|25|25.02.2011 00:00|7.19|10|0|3
7873|128124|7|Veneer Town||虚飾の街|25|04.03.2011 00:00|7.74|9|0|3
7873|128359|8|Secret of the Underground||地下の秘密|25|11.03.2011 00:00|8.46|8|0|3
7873|128360|9|No Way Out||追いつめられて|25|18.03.2011 00:00|3.88|8|0|3
7873|128639|10|To the Temple||僧院へ|25|25.03.2011 00:00|4.49|8|0|3
7873|128638|11|Paradise||楽園|25|01.04.2011 00:00|5.96|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7873|126867|8931|853526|447873758|bd965d432274a86f3e1897497e22180b|24b41392a88deb95d5f5c8c6f274aa89|17cac04c43801d904a154808aae5b6467df9d551|96d3f1bf|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|126870|8931|857031|501125769|e74c25dac96b81e40097a3673ee45f4d|8c082b20a1b2703ca0a3a5d2f51ec4bb|fbd292f320251bb5d13ce70fefe5a99d58206e59|d7961156|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|126869|8931|860695|506145772|2eaa070eb00c3d17680da5891d62f16c|a4a8c7442607728814e153a582a47789|f137828b36eeb23419618d46657e61320bd1dd1a|fae7890a|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|126868|8931|863722|549611836|1f71fe166643fcb7ed95eeb7e780b0bd|459f6455329cd08f662624d8314bee3d|3c89a536e48f677558bff3eb9b180bbf70b5c9b5|be4b9022|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|127732|8931|870814|443751566|3a6c35cf002d6807e83e79137802a1da|62cf86133a8ce7ae8fc1827f8c1ee89e|d1d1d7f0eb61eaa3a42127ebea836e9f771ed2ca|64fd8a59|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|127733|8931|874436|451984820|f04bc6dc9a441b5a28618387c29dd588|0d63462d81b9ad9dc5ad6708751999a4|8845dbc4e1d29a087dffed80bed05a9e7f87f53b|f8da9f24|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|128124|8931|877338|519428637|5687ae041268f43c9e252f8681021e5e|3c7cc2e86004053b54e7eb4b2955b4f7|3716ed9af078ab2030a082a4fa83ce7aed1cd9e4|5be422f3|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|128359|8931|879681|610657595|f6d49d64621aaeab8b821140e76f46ab|35a9293959c4b2b4c654e5d2013b80a5|dd7fa6199dd269bd9514cfe5a8bda1e7defca21a|e70fea3e|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|128360|8931|882437|450798599|378605b9067df59fdb6b284e4847f27c|4df2b5d11953d8cf09d5934f111ff3d4|ef74af080b2cf16fd5167f85464467cbc806e9b2|93abaa98|1369|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|128639|8931|885423|552857751|db1c491053e23211b1f886dbf72e6d23|eee4cb33c7331dec29d3f0c57eb1c3a1|ac53e6430c91fc5fc78ca8b5ab7109d634ebd579|0581a036|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
7873|128638|8931|888026|564641921|7a56deaac54595c1e07ef029b8c3330d|914361777b9ee6a2145dbb68204d5ea4|f172d0b8115b267c757770717fc7bcc8fb3d2377|9961bd43|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8931|60034|Unlimited Translation Works|UTW|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|100
306|Adventure|0|500
252|Angst|0|300
284|Boing|0|100
17|Comedy|0|100
330|Coming of Age|0|300
473|Confession|0|200
160|Conspiracy|0|200
542|Cross-dressing|0|300
253|Cyberpunk|0|300
236|Daily Life|0|200
186|Dystopia|0|500
282|Ecchi|0|100
15|Fantasy|0|400
291|Fantasy World|0|500
12|Future|0|100
263|Gunfights|0|100
154|Horror|0|100
328|Human Enhancement|0|400
52|Large Breasts|0|100
230|Love Polygon|0|100
275|New|0|600
88|Nudity|0|100
487|Parental Abandonment|0|300
233|Plot Continuity|0|600
198|Romance|0|300
8|Sci-Fi|0|200
79|Seinen|0|600
331|Sexual Abuse|0|200
153|Slapstick|0|100
19|Space|0|100
235|Tragedy|0|100
244|Twisted|0|300
84|Violence|0|300
285|Violent Retribution for Accidental Infringement|0|200
130|Virtual Reality|0|400


