AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
7975|122530|1|OVA|||35|26.09.2010 00:00|4.64|13|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
7975|122530|9686|812724|586124932|ec1360c597139d519ed7d979462a266a|e87ad2bb5d9d546e8fb1cbdb0444923d|77fdc75d2e565e8b8773d5b1037e0cc532c55d8c|179bccc6|2046|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9686|58128|Unlimited Translation Works &amp; Mazui|UTW-Mazui|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
127|Alternative Present|0|600
252|Angst|0|300
22|Asia|0|600
17|Comedy|0|200
289|Earth|0|600
282|Ecchi|0|200
23|Japan|0|600
273|Manga|0|600
88|Nudity|0|100
283|Pantsu|0|100
8|Sci-Fi|0|600
79|Seinen|0|600
496|Shower Scene|0|200
553|Skirt Flipping|0|200
153|Slapstick|0|300
18|Super Power|0|500
244|Twisted|0|200
285|Violent Retribution for Accidental Infringement|0|200


