AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8029|124288|1|OVA|||20|17.11.2010 00:00|5.59|5|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8029|124288|9830|899750|135933201|49a0b84661f3a94acc609d725a140e9f|275d0e94ee198d5891565be02376bcde|4a968a2e9c93e2be4973e44680bf07b8d675086f|204ae3ca|1153|10|high|720x480|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|62308|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
532|Alcohol|0|100
22|Asia|0|600
57|Bondage|0|200
360|Cream Pie|1|100
373|Doggy Style|1|200
289|Earth|0|600
353|Fellatio|1|100
498|Furo Scene|0|200
23|Japan|0|600
52|Large Breasts|0|300
275|New|0|600
88|Nudity|0|600
354|Paizuri|1|300
431|Point of View|1|600
11|Present|0|600
86|Sex|0|600
361|Throat Fucking|1|200


