AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8062|128672|1|The Exclamation of Our Meeting||出会いのエクスクラメーション|25|11.04.2011 00:00|3.03|12|0|3
8062|129281|2|The First Semicolon||初めてのセミコロン|25|17.04.2011 00:00|3.12|10|0|3
8062|129319|3|Parentheses of Passing By||すれ違いのパーレン|25|24.04.2011 00:00|3.87|9|0|3
8062|129318|4|Ampersand of the Party||パーティーのアンパサンド|25|01.05.2011 00:00|5.12|7|0|3
8062|129317|5|Quotation of Crossing||交差のクォーテーション|25|08.05.2011 00:00|5.91|7|0|3
8062|129899|6|Caret of Being Lost||戸惑いのカレット|25|15.05.2011 00:00|4.13|7|0|3
8062|130037|7|Secret Apostrophe||内緒のアポストロフィ|25|23.05.2011 00:00|3.17|7|0|3
8062|130036|8|Strong Comma||強気のカンマ|25|29.05.2011 00:00|3.09|7|0|3
8062|130035|9|Backslash Fever||微熱のバックスラッシュ|25|06.06.2011 00:00|4.82|8|0|3
8062|130694|10|Adjacent Fist||隣同士のフィスト|25|12.06.2011 00:00|2.16|7|0|3
8062|130725|11|A Full Stop for the Two of Us||二人っきりのフルストップ|25|19.06.2011 00:00|3.71|7|0|3
8062|130724|12|The Asterisk Over the Air||空越しのアスタリスク|25|26.06.2011 00:00|3.01|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8062|128672|7172|893508|289959550|2007e2abab7ae81ef40843113f2dd9b7|79119cfd37c7a4d80a769d91d1ebf109|31d6ed0b8adbf5809327247577509f55360f13b1|162bfb4d|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|129281|7172|896612|290199060|6e44da1ed2703aa6aa554684c5a8aded|469de33f97fd544c0773f3c326255de6|55fb11131c701282514bc860be8d59f19615ae6a|dbae889c|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|129319|7172|901079|289283597|e72811fcc471b99f6e32d520e0cc8594|48942ae95424f8172194211e54d4b1ea|a843b3975ffde039cfa712089fe1bed9f2a93123|aca4702c|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|129318|7172|904806|289526449|68f80af7d663d7869eea15a8e972b004|86f4df2e590c04a736f1d59048cbbc2c|fe93e685d80e29988c571d01e627db6ae1591608|c056516d|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|129317|7172|908570|289616500|23ba8d6e4964cf6d42e09ee8a49f89e7|4df757d856068ab8d8584e5bf368c60c|877d5feb2fe22259e73801c92b1157087515420e|06933d2d|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|129899|7172|911705|289723119|630765eea002c110351292047b368a3b|254acf16d1bc6eeaa3b61556d6f7d367|f3912ce503bcf2725bd7fa3ac47c1e47a921a5df|7ecf82b8|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|130037|7172|914598|289615031|7eac8869ce2b13dd687fb4db01960d90|5dbc4c659682c9c1bb02d94ce708ac7c|573c0b99b599c332f1232d31102def1e05239828|bc2ca843|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|130036|7172|918445|289055983|4fd8e3ae7247bde062d4602e0146d52c|6e3bdc5fda017f90bfe887d88014d54b|21716e4e926752c4366d3ab056f7a0c5a904c604|9d74cd8c|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|130035|7172|922346|289494297|dfa2d1c78fe16a7ff0f4e63505cb1b76|aa4b0dfbfdb142543ca19991d225039f|66ad200dae79fba5d779845c924991b6f3376a5d|61bb9562|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|130694|7172|924966|289947326|ef579a59bea2edf6ab2790dd3cbb2ef8|afab3f525c21d556489f2ed5f1806070|25774905003dd6cb6bba973778d51ebc2261e137|fab2ef56|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|130725|7172|927141|289037198|548341a98ad7c19330dfc4e3c21096fd|22e8431ac42f970f45603bcc061285d5|c537f39ea54997a41b39d3a357f5cf8ad862dfe3|2f462c09|1426|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8062|130724|7172|929825|285913622|27cf741c7b5811bbcdb48f4a09151c7f|db2da93397a3a17fc0a8a3b0e2ddff9a|81a88837a59b5cc934dd650bde417388a219adc3|37576b6c|1411|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|61891|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
17|Comedy|0|400
282|Ecchi|0|400
15|Fantasy|0|400
291|Fantasy World|0|500
241|Harem|0|300
341|Lactation|0|300
52|Large Breasts|0|100
73|Lolicon|0|600
273|Manga|0|600
414|Nopan|0|500
88|Nudity|0|400
283|Pantsu|0|300
79|Seinen|0|600
51|Small Breasts|0|300
460|Succubus|0|300


