AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8069|126545|1|As If I Met Her in My Dream...||夢の中で会った, ような.....|25|07.01.2011 00:00|6.45|53|0|3
8069|126544|2|That Would Be Really Nice||それはとっても嬉しいなって|25|14.01.2011 00:00|6.45|47|0|3
8069|126963|3|I`m Not Afraid Anymore||もう何も恐くない|25|21.01.2011 00:00|8.98|58|0|3
8069|127600|4|There Are Miracles and Magic||奇跡も, 魔法も, あるんだよ|25|28.01.2011 00:00|7.15|40|0|3
8069|127759|5|There`s No Way I Would Regret It||後悔なんて, あるわけない|25|04.02.2011 00:00|7.03|39|0|3
8069|127938|6|This Just Isn`t Right||こんなの絶対おかしいよ|25|11.02.2011 00:00|8.62|40|0|3
8069|128178|7|Can I Face My True Feelings?||本当の気持ちと向き合えますか?|25|18.02.2011 00:00|7.84|39|0|3
8069|128265|8|I`m Such a Fool||あたしって, ほんとバカ|25|25.02.2011 00:00|9.32|41|0|3
8069|128355|9|I Can`t Forgive That Kind of Thing||そんなの, あたしが許さない|25|04.03.2011 00:00|8.53|38|0|3
8069|128508|10|I Can`t Depend on Anyone Anymore||もう誰にも頼らない|25|11.03.2011 00:00|9.98|70|0|3
8069|128585|11|The Final Sign Left||最後に残った道しるべ|25|22.04.2011 00:00|8.58|44|0|3
8069|128584|12|My Best Friend||わたしの, 最高の友達|25|22.04.2011 00:00|7.64|47|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8069|126545|1829|854385|470466871|c5d49fe75ddebf43a78bf7b0080e1593|09fd84fa8769c71fd1830d2074676313|d88c7d264f62ac9e1c51fb2f426096f19ce208ba|794f520d|1469|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|126544|1829|855727|471583322|3d5f5a2e28358902ad5701fbbcd8cc4d|3ba2cf1dcc61734a7ddbfa14ab96795d|93f23bb2f2264d8ff5ffdfdf5c5070f80124f8a6|fb1e440d|1469|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|126963|1829|861345|471443350|beb1760cfbc5d215c063aa3f391c45b8|49f295cbbe239285eda0509b617efe83|79129d93332350c2bbbd7c8e6c9b225bf900857a|1e87a706|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|127600|1829|865568|470476445|087739babf91cdace66a72c29f724b58|174f4c0ed850e003824ede1583aca11a|d088cfc6c9e8156489274afa1cc1022699bd30a0|88c6401c|1515|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|127759|1829|866819|471426089|34c79f4bbbe410682246a63d47718566|54a8300d722b63d0cdf578016a6fd387|1cbaa5160954ffead06566780bb9d8fae9cb01bb|905f573f|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|127938|1829|872547|471728457|e0f4fe4db96fb0d14cd6ae6619e634d2|d95eb9503b90b80db772a11ed3c3ee21|ec3a52573b2fd2758cfdaf0050e4add541669fc3|acc327f4|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|128178|1829|874155|471295810|839b5d4201356e33a128a86f14bfb560|383132d53ff16573a8191b9191e11676|07ae35089048c76c3b597dd50414810710f035f6|9e235816|1470|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8069|128265|1829|874499|393937505|6db0b8f5eba7b1a6901040b5fb4e4fa5|4fa4bcfacd0debbf48f4b2a72542bb0b|e411adf3816dc55fd64f60a79fcb877b4113fc6b|b9d65324|1455|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8069|128355|1829|878836|410148676|55857f3cd884bdb277743999fe2c0a8a|e1d919d35d7cb2ec4ca078e8f38b5c70|c5ffeac0cd68da37f352796eadcbfd89036693b2|c0345e28|1454|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8069|128508|1829|880659|487794104|6bcfdd024e38447dbfb1c6b93ec339fc|b98b396c963007b5703d0fd261e1b015|c6c99ba3d2cdcc4af67fc30ea85fa45bfee227a1|53220588|1455|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8069|128585|2812|898560|674671911|c5cf9ba135387f2361920e6f4c85d81a|28fc2f964c03d2cb65f0020c3e22bbfc|329fa1be2cb0c178c626598b2a1eef6a3e09a13b|44209da8|1449|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8069|128585|1829|909446|676188843|f714695f946b0dd1cae4cdb85292720f|e9e7bf90233bce60c918427926bd8b24|4713661c4483aa3fba8585c5b65778b22c7bcdf1|8e06989f|1454|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8069|128584|2812|898562|589652560|027f0f4f3626c073c3d65a1c3509e365|a3a2f148b75a3155209b2e24a217ab2d|cb8a78709810c9a1d82faee0a94574213b5c664a|1a2f25c0|1434|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8069|128584|1829|909447|598273824|42cb5c3a4b85f2f27254b2069dc5b3a1|a92b27063ddb1428c64a27d144239c82|f12e3e26a94363c24c857d2f19f9e4a2a5a7dc37|226648e3|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
2812|59764|gg|gg|complete
1829|60024|Yesy Fansubs|yesy|complete
GENREN
GenID|GenName|isHentai|Weight 
532|Alcohol|0|200
184|Alien|0|300
252|Angst|0|400
22|Asia|0|600
486|Calling Your Attacks|0|300
454|Collateral Damage|0|300
330|Coming of Age|0|300
183|Contemporary Fantasy|0|600
265|Dark Fantasy|0|300
167|Demons|0|100
289|Earth|0|600
15|Fantasy|0|600
497|Friendship|0|300
12|Future|0|200
263|Gunfights|0|200
485|Henshin|0|300
154|Horror|0|500
328|Human Enhancement|0|300
23|Japan|0|600
175|Magic|0|600
482|Magic Circles|0|200
247|Mahou Shoujo|0|600
238|Middle School|0|400
275|New|0|600
88|Nudity|0|100
11|Present|0|600
432|Running with Food in Mouth|0|100
21|School Life|0|400
8|Sci-Fi|0|300
79|Seinen|0|600
18|Super Power|0|400
173|Swordplay|0|200
163|Time Travel|0|200
235|Tragedy|0|600
513|Transfer Student|0|200
244|Twisted|0|400
84|Violence|0|300
509|Witch|0|400
334|Yakuza|0|100
479|Zettai Ryouiki|0|200


