AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8109|128554|1|La Bambina||La Bambina|25|15.04.2011 00:00|4.22|22|0|3
8109|128553|2|Aria the Quadra||双剣双銃(カドラ)のアリア|25|22.04.2011 00:00|4.31|15|0|3
8109|128552|3|First Mission||ファースト・ミッション|25|29.04.2011 00:00|6.56|13|0|3
8109|128551|4|Butei Killer||武偵殺し|25|06.05.2011 00:00|6.07|11|0|3
8109|129428|5|Butei Charter Article 1||武偵憲章1条|25|13.05.2011 00:00|6.18|11|0|3
8109|129992|6|Maiden of Hotogi Shrine||星伽(ほとぎ)の巫女(みこ)|25|20.05.2011 00:00|4.94|10|0|3
8109|129991|7|Caged Bird||かごのとり|25|27.05.2011 00:00|4.56|9|0|3
8109|129990|8|Durandal||魔剣(デュランダル)|25|03.06.2011 00:00|7.35|10|0|3
8109|129989|9|Honey Trap||蜂蜜色の罠|25|10.06.2011 00:00|3.91|11|0|3
8109|129988|10|Special Training||特訓|25|17.06.2011 00:00|4.44|10|0|3
8109|129987|11|Infiltration||潜入|25|01.07.2011 00:00|4.65|10|0|3
8109|129986|12|Vlad||ブラド|25|01.07.2011 00:00|3.60|11|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8109|128554|8931|895409|437637534|0fe899c1cdad5dd0111a49a8684434ac|35ee92fd703f66ac0e4796820c64b341|24ec224f3a751e30b02e5864f50dc7ae46b7b0bf|c0289efa|1449|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128554|2812|895429|565957869|c21517226f0d0d7f102886f8dccd10e9|23e09e1a7f11452e0bb24d3c10e5d535|bf169c45603da4cea893fe0c14331d04410ea689|50d65275|1449|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128553|8931|898483|304670530|33615589a834bf9c36c2ecd2545646ac|daff005f0c8419f7d15f40924b46f088|ca8d2a995e4b49342f94005527beb5460965c0e2|bc57f04d|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128553|2812|898383|352509989|10ad27ac55b8022518b5bb7ec949b6cb|724ed07128954af5d0320cde979e1566|44965c2eee382b63b984778772e5b2f1f8bf23d3|df338a62|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128552|8931|902827|350374458|879c6d44e4807d72518ce3e83aa2fb64|18eea756446a90b1a01b76984519f228|e9ebb4222da9b2afa25bec0f9e11a6cc9dc6c2ae|35c98ae2|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128552|2812|902818|351422501|49c70e271b70dfef9ac7dfd2c90855c0|9f883f60933e96f0005bfd05fccec37c|251868988e5362f04d0c9328b8d91fa1cf1d545d|cdbdcb4a|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128551|8931|907689|328498628|cc94c2bcc6895bf87d74c0d72594c217|634350a8829f29b709f9fe3c4275bfce|911821ec2d684414984a385d22d6340db6f96b23|bdce69d2|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|128551|2812|907471|482956971|3eab5f48bce5adca0a5da3b1f2ac7bab|9259213f5999eb56af6555c0577f7a7b|a3766d2441dd4b37e6019ced57ad9828dc09dd88|7d47431d|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129428|8931|910478|325796040|b69114b1335e999b56599460bd247216|047c1f6388c7411d95883260c4ffade3|a5b2252d839e27a3f164bd3c4e721f4c3be47f29|e7724b68|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129428|2812|910612|488131542|cb3dfc7e25c294e75979bcad3db2d1b6|0db17b0d98cdd9d610a48d07d56837a3|d043c9cc5d137598375e82447dddcb792272ff52|b2aa0d31|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129992|2812|913754|413130288|407ffdcfd86cf78f25ad8bc6f2c893b9|e35eda58ef7f28bfa46afef96750ee95|f6c6b2b5b299f889a1bf0ef63a875ebee29034eb|ef71258e|1470|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
8109|129992|8931|913613|479757058|0003cfc8fa11bf1cd6fe70c4aabd8cff|977516c83257eee2e12912df064d96f1|b70d3258a5bb5dab16a7d8d8bceb2ee10b2dc3c6|a01ebf63|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129991|8931|917708|347523083|4c140cbf2b0504897c43d563f735734d|31b1a67726ed4f89ccb3de1b45bde5e0|1efb19e2226bbc6f15bf0a9315d529df3e98131e|610f991f|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129991|2812|916810|505321421|7d4984d6477170eed8bcef79f051ef90|714b3ac2aa83e57788e7e9f409ad0cbf|f9824e431084d8a484d824c512d7c02c6dcbcfc7|d88dc126|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129990|8931|920717|386973897|108e20fb051a591df034e7b6513681ec|2308b40f4d7e84a1acec94c139d4acd8|8bbda94618e3caf948beb8bf01b142a2f406dcf6|d62b01b5|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129990|2812|920712|537722555|8de0d6b4d3c3703a0e3c7aa34e5bdba8|f00095b6d18019f01629fb16afd5554d|179bdcccbe9a404dba7d6d8dc76cbb921bdc3129|39382d13|1449|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129989|8931|924491|337510041|0a67b99241665c540550309502be4b86|4b66c068b09c9a3f178a93ec49c4580f|17a70b3737e0e82e6c389d38d0e0b098ea176f79|55b50132|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129988|8931|926643|350442162|ebf4761d296217b5015583a09b6fd1d4|31fec59189e44757e748d256d7717a84|7115cc8f8ad50cac8f98c1d039337d4ed465b881|82e07ba2|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129987|8931|931788|337396711|f636ac521ffa154d9c31b00e5c736f80|8d1cc439b2c45dd3ac5f370aa5b822bc|a32d412a8d0c7ec630e008a65b5419ad8e8d9116|40c3ca0f|1450|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8109|129986|8931|931854|366431956|80a0a90b21a8cac02d9eaee07c7ada8a|df72fac306a59cbc7e89244d6655618c|46e9cf3fd147586f87d5eaa5ace82e02ace7b0af|ad3164b5|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8931|62010|Unlimited Translation Works|UTW|complete
2812|62016|gg|gg|finished
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|600
22|Asia|0|600
284|Boing|0|100
378|Boobs in Your Face|0|300
511|Bullet Time|0|200
17|Comedy|0|200
289|Earth|0|600
282|Ecchi|0|300
60|Female Student|0|300
456|First Kiss|0|200
263|Gunfights|0|300
241|Harem|0|400
239|High School|0|300
548|Indirect Kiss|0|200
23|Japan|0|600
52|Large Breasts|0|200
323|Law and Order|0|600
411|Lingerie|0|300
73|Lolicon|0|200
274|Novel|0|600
487|Parental Abandonment|0|300
233|Plot Continuity|0|400
11|Present|0|600
198|Romance|0|400
21|School Life|0|500
79|Seinen|0|600
553|Skirt Flipping|0|200
153|Slapstick|0|300
51|Small Breasts|0|200
203|Special Squads|0|600
220|Stereotypes|0|500
255|Sudden Girlfriend Appearance|0|300
342|Super Deformed|0|200
500|Under One Roof|0|300
84|Violence|0|300
285|Violent Retribution for Accidental Infringement|0|200
479|Zettai Ryouiki|0|200


