AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8149|128689|1|Complication||COMPLICATION 複雑|25|15.04.2011 00:00|5.82|16|0|3
8149|129364|2|Coincidence||COINCIDENCE 暗合|25|22.04.2011 00:00|6.14|14|0|3
8149|129363|3|Conspiracy||CONSPIRACY 陰謀|25|29.04.2011 00:00|7.09|11|0|3
8149|129362|4|Conversion||CONVERSION 転換|25|06.05.2011 00:00|6.11|11|0|3
8149|129701|5|Cultivation||CULTIVATION 修練|25|13.05.2011 00:00|4.53|11|0|3
8149|129700|6|Conflict||CONFLICT 葛藤|25|20.05.2011 00:00|6.03|11|0|3
8149|129699|7|Composition||COMPOSITION 組成|25|27.05.2011 00:00|4.61|10|0|3
8149|129698|8|Confidence||CONFIDENCE 信用|25|03.06.2011 00:00|4.20|11|0|3
8149|129697|9|Collapse||COLLAPSE 破綻|25|10.06.2011 00:00|5.34|13|0|3
8149|129696|10|Collision||COLLISION 衝突|25|17.06.2011 00:00|5.97|12|0|3
8149|129695|11|Control (Future)||CONTROL 未来|25|24.06.2011 00:00|2.53|14|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8149|128689|2812|895407|587715714|e1413abeb64751c8e090f0459b36935b|80218be252565d34c7fcaba2618bdfd5|3284f4bce0a21ebd8dbe6bb251b44290ada8d40c|7b880013|1385|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129364|2812|898559|608787779|b2e10971ed4a9b6bf776058c004778bb|49f14461da3926374e17377163687123|737e26920066bbbe9ce8f58a7b6f5ecd957d10e2|d51046b2|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129363|2812|902829|618499750|7558943e38b96b2b712a90037200e2da|48d4f359695de50f29db26e1c0f7ccc0|6d6b083fac6374bf09730f2c444b09a2261ec2e6|14e45d0f|1385|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129362|2812|906925|673961092|01969baae39d6fc5e336fc070ecb63b0|78c7e52ab1db5ea18b689eb6d9e21318|c79212eb86aa5a4f3c9ec71d0ec88b58b889b493|fd9c7e80|1385|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129701|2812|910477|574140043|ccaa86befee1dc345e78fc94b6802d6e|afd59eae20913249e54003096a769ad8|9e065a3914ca654b5d0b284bc759a3852d6c03be|8515845a|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129700|2812|913656|567496308|e36a8a500b06a438136a00d30f54ff19|2d0beb79e1c51984eb4c9e19c3cf36c0|967ed8e2b514f97695897dbf3c27874253e80280|e223bd8b|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129699|2812|916829|552715120|5e05fab02f09479a7670f95c5cb63ac6|338af5569d00a627e87c094e5be4d516|55e1664f2ec030df5756e30d23ca7f4d7b30f0d8|5b7cc7d7|1385|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129698|2812|920842|570067619|c69d3bec06b89d2f009ce5a5aa64f605|1d4f1ba05f7a3b9de027fce78a8d6922|5ed2814e8ab2270880901bcaa28962f264478651|cb7dbc17|1400|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129697|2812|923961|602462612|bd71091374753634cadb04890cde7fdd|f40bed5b0e4c11fa98bc1f2c31a4481f|3567f9d097cf6e03b44ba893ad4f5d642913375e|2ec2af60|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
8149|129696|2812|926580|622344311|3ff654632aa1a438f30b50e7651e6f45|f01aef3aed8d598f2da9428e0d53d13f|f31a6b493af9e7ee758aae06f1fa984033afac70|6700489e|1385|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8149|129695|2812|929159|941544593|dfbe67ad3a3844dcff824a621b27c692|7894475bde105f85dc8c5d6b48c12450|595c73a245d3d3172c2923ed6c47b15642d4a927|16b3091d|1385|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
2812|62006|gg|gg|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
252|Angst|0|400
22|Asia|0|600
486|Calling Your Attacks|0|300
240|College|0|200
330|Coming of Age|0|200
160|Conspiracy|0|400
186|Dystopia|0|600
289|Earth|0|600
12|Future|0|600
23|Japan|0|600
275|New|0|600
487|Parental Abandonment|0|300
249|Proxy Battles|0|300
198|Romance|0|100
18|Super Power|0|400
244|Twisted|0|200


