AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8160|132918|1|The Summoning of Heroes||英霊召喚|50|02.10.2011 00:00|8.27|50|0|3
8160|133615|2|The Fake First Shot||偽りの戦端|25|09.10.2011 00:00|8.19|39|0|3
8160|133614|3|Fuyuki City||冬木の地|25|16.10.2011 00:00|7.89|35|0|3
8160|133613|4|Spearhead||魔槍[まそう]の刃[やいば]|25|23.10.2011 00:00|8.81|31|0|3
8160|133612|5|A Wicked Beast`s Roar||凶獣咆吼[きょうじゅうほうこう]|25|30.10.2011 00:00|9.60|33|0|3
8160|133910|6|A Night of Schemes||謀略の夜|25|06.11.2011 00:00|6.60|29|0|3
8160|134479|7|Dark Forest||魔境の森|25|13.11.2011 00:00|9.01|27|0|3
8160|134478|8|The Mage-Slayer||魔術師殺し|25|20.11.2011 00:00|8.69|26|0|3
8160|134477|9|Master and Servant||主[あるじ]と従者|25|27.11.2011 00:00|7.40|27|0|3
8160|134476|10|Rin`s Adventure||凛[りん]の冒険|25|04.12.2011 00:00|7.20|29|0|3
8160|134475|11|Discussing the Grail||聖杯問答|25|11.12.2011 00:00|7.93|30|0|3
8160|134474|12|The Grail Beckons||聖杯の招き|25|18.12.2011 00:00|6.96|26|0|3
8160|134473|13|The Forbidden Feast of Madness||禁断の狂宴|25|25.12.2011 00:00|7.43|25|0|3
8160|138002|S1|Please! Einzbern Consultation Room: Part 1||お願い! アインツベルン相談室 その1|10|07.03.2012 00:00|4.59|11|0|3
8160|138001|S2|Please! Einzbern Consultation Room: Part 2||お願い! アインツベルン相談室 その2|10|07.03.2012 00:00|3.68|12|0|3
8160|138000|S3|Please! Einzbern Consultation Room: Part 3||お願い! アインツベルン相談室 その3|15|07.03.2012 00:00|4.82|11|0|3
8160|133610|C1|Opening|||2|02.10.2011 00:00|8.79|3|0|3
8160|133778|C2|Ending|||2|09.10.2011 00:00|5.13|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8160|132918|8931|1050637|873930323|686175eee232d2479efc792621a8d804|4b96a3762e17bd49dc8077a182f81d63|58d507e2b8eb17ceae682c100d14ec2f5aba8dcd|02a0491d|2864|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|133615|8931|1050638|649293434|2fbe65b093cc9ad181f3fcb0556ec07f|11fcb461ccf54fe12a44c4389de8fa5f|ecf3047cbdff1d30cd74b02517dbc84eaaee7471|8ab2bf54|1502|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|133614|8931|1050639|629202014|7accd9e6227cbee799ea8479fb683ce1|57398f69b6166f199cac241d10cc6d23|fc91759b4c89d33cb67089f705802478f37f5e74|c9aeddfb|1474|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|133613|8931|1050640|779336501|aea08419ad7c779e1bac6e78a8cddba2|d693445a3fe28bf9d68eb24f5c91945f|e86053791eb94b6b38d826fece415b687c61b7d2|a21da50a|1420|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|133612|8931|1053338|798374772|978fd62d7e9cd02c67dc118738be2d72|df31a9c06a6257e80ffe64d1f626cfbd|aa91472d25cd5061b73cd6002abace6b0e27c51e|f82b7255|1421|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|133910|8931|1053339|566711480|cbd5445322c68bb17e82ba6121e40c24|7d509b4793a8cde4ae8e34cc334a87f9|2927b9184050edae5ab9e2385f1fdd6a3bd74744|d45be4a6|1473|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134479|8931|1053340|706391240|9acaadc12a407a7028f74119cfb4bd6a|8aa5bc24393ab75dbc945e2201da5675|306e92945d978f48a94194d5f7d7b480fe114496|2382a6d6|1474|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134478|8931|1053341|728249197|dca8c7eb152a0867cd7d142b3149d7e9|4003c9792eaeea0bb0c586d20bebba6c|2dc53deba49a099fdeff6609e9ee0b8b017a406c|cc730259|1421|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134477|8931|1053342|613356848|9fae5c1a29e319aff84d4dc6cd37f455|33386a33edb97063fa1561c80e7b5cab|a6b64ab774a3ac50d12168c250f7f3e5062cf966|ffd3a087|1575|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134476|8931|1058197|665865111|15cf43f932b4bd251879afead74303a6|5073213b9ced34dfac53ca167c10584f|27f90449d8165b8bb3980f08250dfe4eb47d99a9|434c0f7f|1420|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134475|8931|1058198|696200904|a7be9b906be41ecc17858e0d4d0164a9|481ad0f8538c20cb241bb0d2060d48d0|3bee62149953efa31e7be8e899445cfd77a08c85|5d482629|1771|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134474|8931|1058199|620231259|53cb139b4a05c5adb8f9078eb816dad2|e5663532c5a9fca83f61eaec5d604fd5|992f2b9e957bf887f45afef2b3a5799ccfe5b510|be2243f3|1709|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|134473|8931|1058200|674303799|e72675b24a6ce41cd092437690abbd13|dd1683cdc97b931a4a48e5679f97dabf|e42c29ed15f28d33c7ec57551b69cad27cad7842|6b89f389|1605|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|138002|8931|1049902|215104484|3f127d6df68d99f9f9557eef6b75ad71|e5e15101d7d2b17cea51720f697aee95|ea0d01eb662b7f32799bc1cfca656ca495d622e1|6a781142|602|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|1|3|mkv
8160|138001|8931|1053349|217237521|67690407792579c9a007f0ad9e1c92fe|d0a442ccc3b739e73021b64bdccfb506|59208a0417b0dee13828fa905e9623b24bdee668|950e179c|626|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|1|3|mkv
8160|138000|8931|1058109|351253501|6cff9551519f079b6a9528478f845b8e|92370a6d559b056e076e784fca463d1f|2dbd630f06484f07ab0b1007b81ef89aa4a0487d|750d52c9|828|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4097|3|mkv
8160|133610|8931|1058202|101689818|bf950866489b1f4093bb35be22327ca3|09b93981c187f1145bafc416aa8cd4aa|5a9529effe6bc1ce6b2f59e8f33f10ca39a3851d|5a52c763|90|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|1|3|mkv
8160|133778|8931|1058201|71579669|090d685b0d598c2a55d092d36518060e|7100ec2d96999fa1ad55a48e2c12d6ec|a7bb45ef4e56fed718828adb948157cfbb22bdc2|03280235|90|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8931|66505|Unlimited Translation Works|UTW|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
127|Alternative Present|0|500
22|Asia|0|400
512|Battle Royale|0|600
486|Calling Your Attacks|0|300
183|Contemporary Fantasy|0|600
542|Cross-dressing|0|300
265|Dark Fantasy|0|500
289|Earth|0|400
15|Fantasy|0|600
23|Japan|0|400
175|Magic|0|500
482|Magic Circles|0|200
274|Novel|0|600
11|Present|0|600
79|Seinen|0|600
516|Summoning|0|300
173|Swordplay|0|400
235|Tragedy|0|600
84|Violence|0|300


