AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8163|127826|1|Versuchung: The End Run||Versuchung 抜け駆け|25|06.03.2011 00:00|7.44|5|0|3
8163|128203|2|Jeden Tag Leben: I`d Like to See the Kampfer`s Good Points||Jeden Tag Leben けんぷファーのちょっといいとこ見てみたい|25|06.03.2011 00:00|5.57|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8163|127826|8931|918936|537197432|70698a0f5646e11a8abd2e19a0703564|994e50a67fe0b0a616a0e2d27fb89540|390049e0a4d21cefc5fcd6afc5fba90de9fd81e6|1be824e4|1451|10|high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8163|128203|8931|892447|443825841|a464207fa7d31b4055f01d229edd72c8|6aec67942944e178a247b5cb9bb1bf67|840b4e3d9f5c584f890e1e5d5a0158dbaf729231|db9c442e|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8931|61826|Unlimited Translation Works|UTW|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|500
22|Asia|0|600
378|Boobs in Your Face|0|300
17|Comedy|0|400
183|Contemporary Fantasy|0|500
470|Cosplay|0|200
289|Earth|0|600
282|Ecchi|0|300
498|Furo Scene|0|200
241|Harem|0|300
485|Henshin|0|300
239|High School|0|400
23|Japan|0|600
52|Large Breasts|0|300
230|Love Polygon|0|600
175|Magic|0|200
247|Mahou Shoujo|0|600
404|Naked Apron|0|300
274|Novel|0|600
487|Parental Abandonment|0|300
79|Seinen|0|600
374|Skimpy Clothing|0|300
479|Zettai Ryouiki|0|200


