AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8166|128733|1|If It`s a Bear, Then It`s Over||クマなら, ここで終わってた|25|11.04.2011 00:00|4.56|8|0|3
8166|129292|2|This Shouldn`t Taste Like Cheese||チーズの味はしないはず|25|18.04.2011 00:00|5.29|7|0|3
8166|129656|3|Acorns Are Surprisingly Painful||ドングリは意外と痛い|25|25.04.2011 00:00|4.59|6|0|3
8166|129679|4|I Met a Bear and We Talked||クマと出会って, 話してた|25|02.05.2011 00:00|4.99|6|0|3
8166|129790|5|Red Bean Soup, Eel, and Wedding Dresses||しることウナギとウエディングドレス|25|09.05.2011 00:00|6.43|6|0|3
8166|129807|6|When the Bucket Falls||桶が落ちるとき|25|16.05.2011 00:00|4.76|6|0|3
8166|129806|7|The Pink Nyanbobo||ピンクのにゃんぼぼ|25|23.05.2011 00:00|5.38|6|0|3
8166|129805|8|Butt in with OO (Blank)!||ツッコミは○○(マルマル)で!|25|30.05.2011 00:00|5.38|6|0|3
8166|129804|9|Wasps Are Diurnal||スズメバチは昼行性|25|06.06.2011 00:00|8.65|6|0|3
8166|129803|10|Ring, Drifted Away...||指輪, 流れて......|25|13.06.2011 00:00|6.23|6|0|3
8166|129802|11|Rejected in the Rain||雨にふられて|25|20.06.2011 00:00|6.06|7|0|3
8166|129801|12|A Bridge of Stars to the Night Sky||夜空に架かる星の橋|25|27.06.2011 00:00|2.45|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8166|128733|7172|896993|296714559|7e032fcd02ddbc0069c8b0690ceae23b|1f679bd1c50d1a47467886477d5b306a|858f3cfb29d5e404034e450d094adad9671182e4|76922c6b|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|128733|6371|894512|370011171|779e0763eadc5f6a27771a1bda326f47|36c97a9ac01ca026e1685caf49206cb5|4e2aa7f3ec9b01df121b301eac5efc7fb00319e0|0e391803|1501|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
8166|128733|6371|899242|370050075|70c2a2dd47c775bff90a6ef40fe5cc77|51c5b7f4e73c0c09d000301684d5b787|4503a99a9ffcf7c65e6a4d6d25dcdc9e5ad9b79e|a38ff2df|1501|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8166|129292|7172|898250|296684117|4b162b28076e66025a236f7d660b4c65|3e1df2ab65fc4ba24dcbc3347f925bc9|9578f4691b55a08258977df22281d1428674c3b5|7eb6de9f|1466|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129292|6371|898073|370165493|c89c5dd23545f1a037462cdbab60d7e2|c8ba94f2bb6e83973534849f1a04da9b|2e4e84a4738b6b6988da466151e649a155e79287|6b13f606|1500|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8166|129656|7172|902842|297985743|75ab100324718a48ff737841dd1dc917|792fd65ae3be12ef1c9199ed6cec9b82|4c1a4d5632b9746c1497d17e8ddce1d25f21fb69|e4c8bc16|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129656|6371|903251|370126291|805794450408df3fae397f3e742cfc67|d55dfb7f346f534d64ba29445f69e7f1|5d2b58056bd50da9ddc3fb0b9f06b62f8dd7a7b8|76162238|1500|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8166|129679|7172|907607|297238307|f0b5bc0b7eceda7fe3826328d84283ca|49af25d592ee9b9cb413b205ab3023a7|9aa0a7fb24b08a5a116f797ca64632a4164f17ea|42a5b2c3|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129790|7172|910395|297522433|31d6015056e524aa1ce1d5a27c31d8d2|1f1f359a21efae93e43c99675a30d01b|7ebe21bc3fa844edd32b3802d442187b9407fbfa|31462572|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129807|7172|915248|297013561|bfd8e8c1a9e76d44d7d3728099010e32|e6de2a428aeb700081ffe0dc4ba5e4a0|7fdde0d215b9ecd6871d395ecb30f560094ccac6|565c4199|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4|3|mkv
8166|129806|7172|916671|297479117|7add6d67b3f350dc5804fdd39441483c|8a3f09f4c159fc3e075f9fa873e7d1a0|924019f21eab7f6ab8a1423136e42c4fbdc32e68|1c14b88a|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129805|7172|920615|297700084|ffd78e8cf75f4ad422e3cdd3d0f3ad9f|a5e4227d8445324596c5e2620b36df11|c61b2a510c2404f0483a4673539a289efacbdf38|027069d8|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129804|7172|923943|297150842|0db9e25ee42d0a747dffd61dc60d96eb|129ab96b3f31c71805f6fdbd8b9e7d39|b8ff19d090443b6b2dc201906f70aedf17536e8e|1b305775|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129803|7172|926166|297798589|668a44d21f3da106f17c035f3b138ad1|b11b8200ee0dbabd50d1daf56d9a6756|69a9d913e36c2b16edc1ae08fa677214a503c30f|7d5c5f8a|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129802|7172|928970|298093904|8172619d415a3c68dafa712dfdded52a|30c64c14508bccaa18a78dbee18b50b1|01acea1fac47500bea2d45164185da0004962e1a|a4b5be72|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8166|129801|7172|931293|298207748|4d274c6e4309a71400324d3895f12d21|85bfec6f1bf01a98c43b77a7b9868592|863ec77b8323a698d2ac2b716eef4ad3929c7b67|9905a1ad|1465|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|62072|HorribleSubs|HorribleSubs|complete
6371|61952|Hatsuyuki Fansubs|Hatsuyuki|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
284|Boing|0|300
378|Boobs in Your Face|0|300
17|Comedy|0|400
470|Cosplay|0|200
535|Countryside|0|400
236|Daily Life|0|100
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
282|Ecchi|0|500
271|Erotic Game|0|600
456|First Kiss|0|200
498|Furo Scene|0|200
269|Game|0|600
241|Harem|0|600
239|High School|0|500
548|Indirect Kiss|0|200
23|Japan|0|600
534|Karaoke|0|200
52|Large Breasts|0|200
411|Lingerie|0|300
458|Nosebleed|0|200
88|Nudity|0|300
283|Pantsu|0|300
198|Romance|0|400
457|School Festival|0|200
21|School Life|0|500
492|School Sports Festival|0|200
79|Seinen|0|600
338|Shotacon|0|400
153|Slapstick|0|300
51|Small Breasts|0|100
342|Super Deformed|0|300
513|Transfer Student|0|200
285|Violent Retribution for Accidental Infringement|0|200
479|Zettai Ryouiki|0|200


