AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8181|128598|1|Super Peace Busters||超平和バスターズ|25|15.04.2011 00:00|8.32|48|0|3
8181|129074|2|Menma the Hero||ゆうしゃめんま|25|22.04.2011 00:00|8.05|40|0|3
8181|129073|3|The Search for Menma Association||めんまを探そうの会|25|29.04.2011 00:00|7.95|39|0|3
8181|129072|4|White Ribbon Dress||白いリボンのワンピース|25|06.05.2011 00:00|7.65|36|0|3
8181|129071|5|Tunnel||トンネル|25|13.05.2011 00:00|7.93|36|0|3
8181|129070|6|Forget It, Don`t Forget||わすれてわすれないで|25|20.05.2011 00:00|6.92|34|0|3
8181|129069|7|The Real Plea||ほんとのお願い|25|27.05.2011 00:00|7.22|33|0|3
8181|129068|8|I Wonder||I wonder|25|03.06.2011 00:00|9.11|37|0|3
8181|129067|9|Everyone and Menma||みんなとめんま|25|10.06.2011 00:00|8.15|31|0|3
8181|129066|10|Fireworks||花火|25|17.06.2011 00:00|9.33|33|0|3
8181|129065|11|The Blooming Flower of That Summer||あの夏に咲く花|25|24.06.2011 00:00|9.63|43|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8181|128598|2812|895432|322902601|8dcd15b37d016653e97460304a958b80|131da242945a395538cb934df4d57fe1|a2a3c05f62392a722714e05716d71c8e0bcd9461|4ab675d1|1405|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129074|2812|898561|418049769|51953578347454e2d41fc01625f0cc08|00608f3080da7c873954fcc76f394a80|71058a7968e6f5643f7a3f2ea6db8b68c9364157|e1f68269|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129073|2812|902826|395903873|a5f442d13f98bdb09b726598af01cf56|baeef5e809ddf0dfa705b4450c164ab2|27f98754e3f683551c8aa496879ee4d0e562e666|78f1a893|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129072|2812|907554|402895582|ffa7201685532e77f4ec58126f7941cc|af85e3d4f6ea55f32c9a7b3f9fc133d7|a3b8f2ab81119ddc8a28817f08c50d4e3ad1ac03|e4236632|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129071|2812|910655|398586677|4cdcf6a60514e59db78f9ed8e319882a|c27bffac4aa647668d9a70e867e9a3cc|b5db1808e7696f143f14b55aae21e87c70c59624|18cae84f|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129070|2812|913692|368477820|96e8dfa327b3c2e62ef5d778dacf5191|2ff32a019c4acb45d237cc50d039b4d6|604b33ba57ae4b1f83e376f29aec22f8825c285e|dba309ac|1380|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
8181|129069|2812|916643|406442028|1846865907dc594ca6717f0ea0a09f07|a084c14715b807ffb7cf79724e79b67d|8961de4535fe15dd7555a5e690eed56c159e6bac|df4fe748|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129068|2812|920795|383267316|c116f250dd6e1425bb0d345b9befa9ed|e1e48fbfb6bd6cd7ee8022901ab08353|9ba902510a8d5edc42d66c1a1a7c931c15ef6ebd|60f4e539|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129067|2812|924142|431586652|0dcae6d692d02a55db417d43a1b5a791|782e4a390ec9dcd2e8a9ff3f5e5e00f7|25bfe6825df6536701776f6ec89a4a2b0b6e22e7|e53227dd|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8181|129066|2812|926667|458496070|321f930bcd6fe23304efc9977013d221|018aa9b8be08a32316373e1256bede07|086492b6e190f2f2673744157398f1a48c45b3af|f831656d|1370|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8181|129065|2812|929203|335644936|a3d12cf9861e93e495e8fa96bee612b8|f8e15c6742795de94dd6741ea53e2a51|d89d828bcb6a65edd6b0a3d24d2b6d99c3b8366d|35d3fbf4|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
2812|62017|gg|gg|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|200
22|Asia|0|600
17|Comedy|0|200
330|Coming of Age|0|400
542|Cross-dressing|0|300
236|Daily Life|0|400
245|Delinquents|0|200
289|Earth|0|600
282|Ecchi|0|100
497|Friendship|0|300
507|Ghost|0|400
23|Japan|0|600
230|Love Polygon|0|200
275|New|0|600
233|Plot Continuity|0|600
11|Present|0|600
198|Romance|0|400
79|Seinen|0|600
505|Slow When It Comes to Love|0|300
235|Tragedy|0|400
536|Unrequited Love|0|200


