AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8206|128738|1|Birthday Hero!||勇者誕生!|25|02.04.2011 00:00|3.38|11|0|3
8206|129121|2|My First Battle!||はじめての戦!|25|09.04.2011 00:00|5.73|8|0|3
8206|129120|3|I Want to Go Home! I Can`t Go Home? Hero in Flognarde!||帰りたい! 帰れない? 勇者inフロニャルド!|25|16.04.2011 00:00|3.92|8|0|3
8206|129119|4|Charge! Princess Recovery Battle!!||突撃!姫様奪還戦!!|25|23.04.2011 00:00|4.39|7|0|3
8206|129118|5|Severe Battle! Mion Fortress!||激闘! ミオン砦!|25|30.04.2011 00:00|3.93|7|0|3
8206|129741|6|The Fortune Telling Princess||星詠みの姫|25|07.05.2011 00:00|4.18|7|0|3
8206|129740|7|Declaration of War||宣戦布告|25|14.05.2011 00:00|4.78|7|0|3
8206|129739|8|The Day of War||開戦の日|25|21.05.2011 00:00|6.38|6|0|3
8206|129738|9|Battle at Grana Fortress||グラナ砦攻防戦|25|28.05.2011 00:00|6.33|8|0|3
8206|129925|10|The Hero, Princess and the Light of Hope||勇者と姫と希望の光|25|04.06.2011 00:00|7.55|8|0|3
8206|129924|11|Like Flower Petals Dancing in the Night Sky||夜空に花が舞うように|25|11.06.2011 00:00|6.55|8|0|3
8206|129923|12|The 4 Conditions||4つの条件|25|18.06.2011 00:00|5.07|8|0|3
8206|131012|13|Promise||約束|25|25.06.2011 00:00|5.87|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8206|128738|10156|892118|651285840|afe4d17ea7a946a69abf4695df67bd77|2828e9387441842c1ab9b2eb4142532d|13d15dde025bebf545dc12e3c71ed4dce7ac713c|f0e86e3a|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|128738|10156|892401|651317680|9f24f5b01605cf1186190249997feeeb|393996a83618dbf4481f21249cf29a1d|0067b606fe3548fcc1f1466e5b6c0266c2a783ad|057238d0|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8206|129121|10156|894734|547552709|a13860841c7b6cd7c4564d18213180a4|7779d9cb3a23d621b98828cc3ac6267d|8ee343b90523b013383efe299dec005452f5c9ac|0ca82b6c|1440|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129121|10156|902850|710358085|7d04ebc63e77b0f10bad47358c33b010|2c0ea716bde66b23e19a2edb1a0c9467|681cd18b269f4f9c32c8fbbbc17548ee557d1eec|399106db|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8206|129120|10156|897426|484511180|15c15eddce6da4d73f176d2f9b511645|1f82a1cf7c14f7c0e1a047cfa93e62c8|02aa9e9c7c9bc997ae8b2ad9dde46e8ce877d3dd|303ec37b|1440|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129119|10156|901794|530715204|1e3bcb008376485b8140050a3a67ee4f|fc873083505db6e80beb539764e3aa87|2575a2a9bb93766b367f2a587225298392040abc|773f88a3|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129118|10156|905619|610472732|52911395d58f4b8c904d9c942e0f3874|fa2c5d4f5f4c55a0dcad64b8b9783380|6f23bf1765038417c9b0427560a6dccdc5ff221f|be644fc8|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8206|129741|10156|909285|524923263|77c1278a5bff039ac3886177dd504f30|d4325f6874d5f598b3cf87df7bf76712|cf46b7f658efe5390531c26ed1e03d9d169ab416|601ea7dd|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129740|10156|912310|613420733|25b163f7a9e7745545e9e4eb1d3321a8|1e0ab89a41147b359426d37138727f16|404f7bfb04a3edbfcdfc76a59806934090c7361f|f3a41b1e|1440|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129739|10156|915636|655342835|5959e15bb5465b44779e2de2c15ed7f6|10056705801569caeb40528a305a2e9f|f6c52aa8f016b3839bafc519403657fcd72aacd7|268c466e|1440|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129738|10156|919199|698382851|78a71a85cffae66385f16f60c7273c67|d47096c8837cb839a8f861728f545544|fee12c808e81348946438003d274962dc3aa3c86|d095f00d|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129925|10156|923234|190100510|5633e25c0439071d1a9ccffd4a90288f|ff7a33f7c43581184a00426804919a9a|faf0b6770c834959581a4bb3afebe0fc649b1c9f|94c9d778|1439|10|med|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129925|10156|923103|562257759|99476ef26851db29224786953e0afb56|66981250b9edc6a1232b6b72efcbaf7b|7435d62c2e9922e5647bcf2b8410bc63316fc2a2|d1a36484|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129924|10156|925753|502233566|7e837a835c6c3703934b058f247a3e56|2b00221366b1db052be400c4d6b82c37|183fd01cf0f4841363048be4a586d1210dc8bfb2|b19ea51f|1440|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|129923|10156|927411|537934942|415b2025a9a8e29dceab88540b89afa8|394b82eed52356afa21d598b6264932d|be51e3647a058364243962e968bf945fd5d03431|2efb6576|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8206|131012|10156|930544|583657953|1ecd648650a1e4bc120529963f3fb2eb|3863cfd055374cb64663c5b44f1a77b6|ec784a03b92f2965f7d1f7930b4f4213970f33a1|c81ad324|1439|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
10156|61790|Hiryuu Fansubs &amp; HiNA-subs|Hiryuu-HiNA|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|400
284|Boing|0|200
378|Boobs in Your Face|0|100
369|Breast Fondling|0|100
202|Catgirl|0|300
17|Comedy|0|400
473|Confession|0|200
282|Ecchi|0|300
15|Fantasy|0|300
291|Fantasy World|0|600
241|Harem|0|100
23|Japan|0|200
201|Juujin|0|600
411|Lingerie|0|100
482|Magic Circles|0|200
225|Music|0|100
275|New|0|600
283|Pantsu|0|100
370|Paper Clothes|0|300
79|Seinen|0|600
374|Skimpy Clothing|0|200
505|Slow When It Comes to Love|0|300
51|Small Breasts|0|500
516|Summoning|0|300
173|Swordplay|0|200
285|Violent Retribution for Accidental Infringement|0|200
426|Wardrobe Malfunction|0|200


