AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8211|130729|1|The Bellflower Girl||りんどうの女の子|25|08.07.2011 00:00|8.54|43|0|3
8211|131660|2|Pinky Promise||ゆび切りげんまん|25|15.07.2011 00:00|8.74|36|0|3
8211|131659|3|Daikichi`s Decision||ダイキチの決めたこと|25|22.07.2011 00:00|8.55|32|0|3
8211|131658|4|Letter||てがみ|25|29.07.2011 00:00|8.84|31|0|3
8211|131657|5|Daikichi is my Daikichi||ダイキチはダイキチでいい|25|05.08.2011 00:00|8.88|31|0|3
8211|131656|6|My Tree||わたしの木|25|12.08.2011 00:00|8.25|30|0|3
8211|132292|7|Secretly Running Away From Home||ないしょで家出|25|19.08.2011 00:00|8.14|29|0|3
8211|132291|8|Grandpa`s Precious Thing||おじいちゃんのだいじ|25|26.08.2011 00:00|8.23|26|0|3
8211|132290|9|A Typhoon Came!||たいふうがきた!|25|02.09.2011 00:00|8.65|27|0|3
8211|132289|10|Stomach Flu||おなかのかぜ|25|09.09.2011 00:00|8.83|28|0|3
8211|132715|11|The First Step||はじめの一歩|25|16.09.2011 00:00|9.19|26|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8211|130729|8697|934530|280853681|1e109d7467810c51c24c30e626a53f7d|223acc33e47b81cab4a4278607db4621|921d389bbf2aecd8b836a97a3653624ec53e4976|654eb35f|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|131660|8697|937364|279083953|bd301e035ac3b427d18b0d92308f3711|6d851d1cee11735df915b13a47c9516e|ced496487b0d76ca502b49a88c54aea8ce851083|c929f4a4|1374|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|131659|8697|940286|259349124|22b145913cb2d0ffb8b2a5a724f0df14|ad7d394c51c87c88b006d0ea4208e1aa|222509888736ca251394f9ea01f7f7b2148f6736|c2c6d8d4|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|131658|8697|943034|286650691|09d6e6de775d409c76f9d034b89b5170|15d2714c2396ea5f2bfb1fadaf1517ba|13e4c7cd2bce3ee8cbc092faa4b80753528ddcdb|a8083f5d|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|131657|8697|945769|265814408|02a2036c005db695d0b3ef77baee93e6|3f7dc0320293f802201f34fe83ef3d32|056e20170de0b5e7808ed68c060595eec0628b63|ca9b8995|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|131656|8697|950089|293132226|fc206f27741971a82463fb775f8e9ea5|4b546dbeb77e5291afef8cd80d791e78|24ba0bf707d632cd3e078f4f0a3db8c1e4190785|549d4c84|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|132292|8697|953351|264642957|3a34a8b1bfbebd57b7e8441a2c9b395d|4777cbf0d38c60bf88b4632225df89fa|fe70120458ba962dfec0a2465d0f702115732d28|2f9020db|1374|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|132291|8697|954995|268105403|e4e3e822d4eee1ae8d007e305906eb08|f32c034d2fe2bd00bffc5e9e7543661c|39e3168413328bbf992b594e7cb66c095e234750|537294ba|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|132290|8697|958028|308846521|6f783c178743b9dd02d8b7c89eebb865|1921884b6475ac893406ae07d1615b62|8e0c205f2e3d8b7c28a3d1f4f762c2166142ce1d|1b7e4943|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|132289|8697|962194|252892536|a387fd69ac1898a3e0d5e766f7925a4b|06609463dd174ec9772880d7f7696e90|89be94459d5761c75bc35fd18a2fa661217d62aa|1c64d9df|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8211|132715|8697|964764|276017777|a3da00aed5146b314e854a8a9edfbcae|ca2847d4ca30000c0010e94bedf10420|af1b54b7ad4a0b3f65630c10c45e72fc647b7a8d|cb268ab7|1374|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8697|64279|Commie|Commie|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|300
22|Asia|0|600
17|Comedy|0|200
330|Coming of Age|0|400
257|Cooking|0|200
236|Daily Life|0|600
289|Earth|0|600
237|Elementary School|0|200
497|Friendship|0|400
23|Japan|0|600
286|Josei|0|600
273|Manga|0|600
487|Parental Abandonment|0|300
11|Present|0|600
198|Romance|0|200
21|School Life|0|200
481|Summer Festival|0|100
235|Tragedy|0|300
351|Urination|1|200


