AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8262|128007|1|OVA|||15|11.03.2011 00:00|5.26|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8262|128007|9830|881561|103250342|e7f9b06b6cf53995bc73dfcb35bbe98b|ffaa4f0a38693c09c008f70e220b5f23|c66389dc7fe8c48c663ef5e2d9e1a7fc7c733c01|395cf6f3|955|10|high|720x480|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|61282|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
22|Asia|0|600
542|Cross-dressing|0|300
289|Earth|0|600
23|Japan|0|600
52|Large Breasts|0|400
275|New|0|600
88|Nudity|0|600
354|Paizuri|1|300
11|Present|0|600
86|Sex|0|600
338|Shotacon|0|600
340|Trap|0|600


