AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8270|132178|1|Complete Movie|||120|10.09.2011 00:00|8.12|5|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8270|132178|8697|1158282|3533518868|833b7a379ba813bdbb6a32dc15a69ddc|25994cffbf3eaa61ee1b9585ea9d0127|38aef86c188f74730aaa527355451b90d95dd8f2|5e0cbe93|7218|10|high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8697|77618|Commie|Commie|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|100
306|Adventure|0|300
314|Anthropomorphism|0|400
22|Asia|0|600
17|Comedy|0|400
183|Contemporary Fantasy|0|600
535|Countryside|0|400
236|Daily Life|0|300
289|Earth|0|600
15|Fantasy|0|600
497|Friendship|0|300
498|Furo Scene|0|100
541|Island|0|300
23|Japan|0|600
78|Mina|0|600
275|New|0|600
88|Nudity|0|100
11|Present|0|600
474|Thief|0|100
477|Toilet Humour|0|100
235|Tragedy|0|200
84|Violence|0|100


