AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
829|8583|1|Black Brand||黒の刻印|30|25.05.2002 00:00|6.72|18|0|3
829|8584|2|Black Altar||黒の祭壇|30|25.08.2002 00:00|6.11|14|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
829|8583|203|34267|242947996|5a87c2f2f4e92ee9019f1348280d271c|9009e112d340e3c47fb7d83b0abe93b7|d602fa74b13a37851ad6ea3b06b84f266caa5572|1b4a67a3|1651|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|4161|3|ogm
829|8584|203|34268|257541990|e9d1a2ec265137c65a2acafb795797c8|a8f6d53ffe72d1dbd42424caacab92b1|abd9096908168d55fe9ba559ecfc17395aa09f34|75c4520b|1784|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|4161|3|ogm
GROUPS
GID|AGID|Name|ShortName|State
203|3062|Hentai-Legacy|HL|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|200
22|Asia|0|600
57|Bondage|0|200
358|Bukkake|1|100
242|Clubs|0|200
360|Cream Pie|1|200
357|Cunnilingus|1|200
265|Dark Fantasy|0|600
167|Demons|0|200
373|Doggy Style|1|200
359|Double Penetration|1|300
289|Earth|0|600
271|Erotic Game|0|600
352|Exhibitionism|0|200
15|Fantasy|0|300
353|Fellatio|1|300
60|Female Student|0|600
269|Game|0|600
333|Gangbang|1|200
239|High School|0|400
23|Japan|0|600
52|Large Breasts|0|500
175|Magic|0|200
482|Magic Circles|0|300
34|Masturbation|0|200
88|Nudity|0|600
11|Present|0|600
435|Prostitution|0|200
33|Rape|1|500
21|School Life|0|400
371|Scissoring|1|300
86|Sex|0|600
397|Shibari|0|200
546|Squirting|0|300
510|Student Council|0|200
516|Summoning|0|200
56|Tentacle|0|200
361|Throat Fucking|1|100
513|Transfer Student|0|200
480|Uncensored Version Available|1|600
84|Violence|0|200
61|Virginity|1|300
509|Witch|0|600
37|Yuri|1|300
479|Zettai Ryouiki|0|500


