AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8434|130203|1|Volume 1|||30|25.11.2011 00:00|6.31|6|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8434|130203|9830|996791|337351357|9377811e3e694beb36a6c2a58c88926b|caf72e2b1ccb64e9b799e459f262396a|5c65906a7437abaf5c2fcea45a96b0ae483126dd|4012ef08|1620|10|high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|68180|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|400
22|Asia|0|600
357|Cunnilingus|1|300
373|Doggy Style|1|300
289|Earth|0|600
353|Fellatio|1|300
60|Female Student|0|500
336|Female Teacher|0|400
356|Foot Fetish|0|200
355|Footjob|1|300
241|Harem|0|400
23|Japan|0|600
275|New|0|200
88|Nudity|0|600
354|Paizuri|1|300
11|Present|0|600
21|School Life|0|300
86|Sex|0|600
425|Teacher x Student|0|300
388|Window Fuck|1|300


