AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8463|130417|1|OVA|||25|26.08.2011 00:00|2.83|4|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8463|130417|9830|959390|195468702|df22d799272945994f19758bb0818e20|441a1d46a8770539f21430b9eb156af2|bba3aea3c3c46a4aeec50e5cdf6e44e43f7d7a73|54d8d988|1473|10|high|720x480|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|65852|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|300
489|Dark-skinned Girl|0|600
293|Dating Sim - Visual Novel|0|600
271|Erotic Game|0|600
291|Fantasy World|0|600
269|Game|0|600
48|Incest|0|200
341|Lactation|0|100
52|Large Breasts|0|600
34|Masturbation|0|100
529|Mother-Son Incest|0|200
88|Nudity|0|600
10|Past|0|600
33|Rape|1|200
86|Sex|0|600
338|Shotacon|0|400
37|Yuri|1|100


