AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8473|130593|1|Himeno Kisara Love, Has Begun Chapter||姫乃きさら 恋, 始めました 編|30|26.08.2011 00:00|8.36|15|0|3
8473|132836|2|Sopping Wet!? Beautiful Girl Creators Chapter||びしょ濡れ!?美少女くりえーたーず編|30|25.11.2011 00:00|8.09|15|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8473|130593|9830|992907|538500192|532a178601b3ae6371a4b430c6a6466e|7dd3aba0c7b5b11b649db1065904970d|8443cca82ff6f1bd3a364b0d4c05acb5ef7017c1|be7af11b|1796|10|very high|1280x720|H264/AVC|AC3|english|japanese|1|4225|3|mkv
8473|132836|9830|997667|419294645|064e4539fb48ebd5a159f1b9a0c18527|71943a98da74c1c1811b8dc53fc19134|e1788a000413554649349ea218918b96d2081439|9313dd54|1780|10|high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|4225|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|65656|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
366|Ahegao|0|300
532|Alcohol|0|200
70|Anal|1|200
22|Asia|0|600
327|BDSM|0|100
57|Bondage|0|100
470|Cosplay|0|100
360|Cream Pie|1|500
357|Cunnilingus|1|300
293|Dating Sim - Visual Novel|0|600
65|Dildos - Vibrators|1|100
373|Doggy Style|1|200
359|Double Penetration|1|100
289|Earth|0|600
271|Erotic Game|0|600
352|Exhibitionism|0|100
353|Fellatio|1|300
356|Foot Fetish|0|200
355|Footjob|1|300
269|Game|0|600
241|Harem|0|500
523|Hidden Vibrator|1|200
545|Internal Shots|0|300
23|Japan|0|600
341|Lactation|0|200
52|Large Breasts|0|500
73|Lolicon|0|100
108|Maid|0|100
34|Masturbation|0|200
88|Nudity|0|600
354|Paizuri|1|300
233|Plot Continuity|0|600
11|Present|0|600
417|Public Sex|0|100
365|Rimming|1|400
46|Scat|1|200
86|Sex|0|600
397|Shibari|0|100
51|Small Breasts|0|100
546|Squirting|0|300
362|Threesome|1|200
351|Urination|1|100
61|Virginity|1|500
544|Voyeurism|0|100
388|Window Fuck|1|300


