AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8482|130713|1|Make A Baby With Me||私と子づくりをしろ|30|24.06.2011 00:00|4.95|4|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8482|130713|0|923499|0|||||0|90|unknown|0x0|||||1|0|3|rl
GROUPS
GID|AGID|Name|ShortName|State
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
366|Ahegao|0|300
70|Anal|1|100
22|Asia|0|600
57|Bondage|0|200
17|Comedy|0|400
360|Cream Pie|1|500
293|Dating Sim - Visual Novel|0|600
289|Earth|0|600
271|Erotic Game|0|600
353|Fellatio|1|300
60|Female Student|0|600
269|Game|0|600
241|Harem|0|400
23|Japan|0|600
88|Nudity|0|600
354|Paizuri|1|300
233|Plot Continuity|0|600
11|Present|0|600
372|Pussy Sandwich|1|300
365|Rimming|1|100
21|School Life|0|200
86|Sex|0|600
362|Threesome|1|300
340|Trap|0|400
61|Virginity|1|200
250|Waitress|0|200
388|Window Fuck|1|300


