AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8508|131074|1|Manaka Nemu: Hell`s Start Chapter||真中合歓 地獄始動編|30|22.12.2011 00:00|4.62|9|0|3
8508|136462|2|Hokari Kanae: Paradise`s Demise Chapter||帆刈叶 楽園終焉編|30|30.03.2012 00:00|4.58|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8508|131074|9830|1025005|289378053|68fe140f046983d663f2d502f6e124b9|12264279cb4bf4cf2db491600f4b10e6|0dde1d05cf3d6ecf965d0fc9db21ac93fea3a625|2d3e1714|1746|10|very high|720x408|H264/AVC|(HE-)AAC|english|japanese|1|4225|3|mkv
8508|136462|9830|1057064|138949531|13d09ff5a1b5c5fd3be693d69d7f3568|94fbb8b0dc021d7a3aef6bafafaf9bbb|e0a08a1b792d2192eb4ab0fbc92661f0a40ac2c7|70159f89|1776|10|med|704x396|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|68967|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
366|Ahegao|0|400
70|Anal|1|200
327|BDSM|0|600
57|Bondage|0|600
360|Cream Pie|1|200
293|Dating Sim - Visual Novel|0|600
65|Dildos - Vibrators|1|100
373|Doggy Style|1|200
359|Double Penetration|1|100
271|Erotic Game|0|600
60|Female Student|0|600
336|Female Teacher|0|100
456|First Kiss|0|100
368|Fisting|1|100
269|Game|0|600
154|Horror|0|400
545|Internal Shots|0|300
52|Large Breasts|0|200
88|Nudity|0|600
370|Paper Clothes|0|100
233|Plot Continuity|0|600
11|Present|0|600
33|Rape|1|200
46|Scat|1|600
86|Sex|0|600
409|Sexual Fantasies|0|200
397|Shibari|0|100
496|Shower Scene|0|100
546|Squirting|0|300
375|Stomach Stretch|1|200
361|Throat Fucking|1|300
47|Torture|0|400
351|Urination|1|200
84|Violence|0|500
61|Virginity|1|500
544|Voyeurism|0|200
64|Whip|0|100


