AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8554|132082|1|Ayane and Her Brother / Yuzu and Her Brother||絢音とお兄ちゃん / 柚とお兄ちゃん|25|28.10.2011 00:00|7.92|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8554|132082|9830|985748|356780340|7c202d8c563155783aaf1a9a5182fb9c|04c727eb9c471dc2e6cf7109e30af170|2a24422fda420e23bfffe9995b0fc97a396e6c8c|ae1961ea|1476|10|high|720x480|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|67368|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
70|Anal|1|200
22|Asia|0|600
357|Cunnilingus|1|300
293|Dating Sim - Visual Novel|0|600
65|Dildos - Vibrators|1|200
289|Earth|0|600
271|Erotic Game|0|600
353|Fellatio|1|200
269|Game|0|600
523|Hidden Vibrator|1|200
48|Incest|0|500
23|Japan|0|600
73|Lolicon|0|600
34|Masturbation|0|400
88|Nudity|0|600
233|Plot Continuity|0|200
11|Present|0|600
417|Public Sex|0|400
86|Sex|0|600
51|Small Breasts|0|600
351|Urination|1|400
61|Virginity|1|600


