AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8584|135482|1|How Much More Do I Have to Scream?||あとどれだけ叫べばいいのだろう|25|28.01.2012 00:00|4.58|10|0|3
8584|135481|2|Dawn Envelopes the Sky||夜明けを抱く空|25|10.02.2012 00:00|6.59|9|0|3
8584|135480|3|Tears Held Back Threaten to Spill Over||こらえた涙があふれそうなの|25|17.02.2012 00:00|4.31|9|0|3
8584|135479|4|The World I Once Dreamt of Closes||いつか夢見た世界が閉じる|25|24.02.2012 00:00|3.64|9|0|3
8584|135478|5|Black Rock Shooter||ブラック★ロックシューター|25|02.03.2012 00:00|4.83|9|0|3
8584|136809|6|Hope That Time There Shouldn`t Have Been Any||あるはずもないあの時の希望|25|09.03.2012 00:00|7.40|9|0|3
8584|136808|7|Make a Wish on a Star Racing Through the Darkness||闇を駆ける星に願いを|25|16.03.2012 00:00|5.86|9|0|3
8584|136807|8|Let`s Go Beyond This World||世界を超えて|25|23.03.2012 00:00|5.82|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8584|135482|8697|1029137|341903969|2aea8fb665ca3d0a3119a7c86b3e9320|4f9b750b1b47bf45441c5543266b068d|a300a60d01116c56fff96b684e923676991d2c0c|eee53efc|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|135481|8697|1032560|377940714|2430cf69cd1c73506a5a816f2596dc65|8638286549fc7d3107bd7d50b8f9cd03|b574b3c30c0ed0002751ddda3cce3ae906c87914|fcba1486|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|135480|8697|1035782|247834541|f8f8f11fff5bbcb67c63cdf9f09ae548|b0f726d66b18496ffe259f87747c6660|9c7cc6d99ea1f061ba749015a7066e996ad77939|35edd254|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|135479|8697|1038191|274532173|811af7acb0ef431da2120142b256d6d0|d2bb37fa95e8aa03ed9595f61b20b1d6|7223c9e50afbf405b5329b17509649f65fbaccbd|9689f22a|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|135478|8697|1042909|323904613|d20b52ca3efae9bd33e82245eadefe54|f90f3bdd2416c3852a8985260d891414|e69935382b786b331dc44593ef583db64fcc3346|017b1517|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|136809|8697|1045209|310513064|ea6dbb58a1028aea2d5fc237679c5bf3|673a711b87b75a8875851187cf92a5de|aa9f7a64ae869da6226dac544add798ce9596730|6101e600|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|136808|8697|1048037|374817996|4837159b48c82cca217aa41a3e8c91e1|b3a00c5a733d781062da00498ffc2daa|0b402967f6b178401c0724086f95deb823adc348|03eab99c|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8584|136807|8697|1050674|380279034|8ac80b032ea332f3c0e32b55fa129342|0e79b6dd6b2c2679bdb3bb095795dc16|4c171f5909a53d62b3d0bd9e712b41c33bb59522|678191c2|1375|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8697|70221|Commie|Commie|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
252|Angst|0|600
22|Asia|0|600
454|Collateral Damage|0|300
473|Confession|0|200
236|Daily Life|0|100
265|Dark Fantasy|0|100
289|Earth|0|600
15|Fantasy|0|400
497|Friendship|0|300
263|Gunfights|0|300
23|Japan|0|400
20|Martial Arts|0|200
238|Middle School|0|100
275|New|0|600
209|Parallel Universe|0|400
11|Present|0|600
432|Running with Food in Mouth|0|100
21|School Life|0|100
79|Seinen|0|600
278|Shoujo Ai|0|100
374|Skimpy Clothing|0|300
481|Summer Festival|0|200
18|Super Power|0|400
173|Swordplay|0|300
244|Twisted|0|400
84|Violence|0|400


