AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8606|133652|1|Complete Movie|||110|21.01.2012 00:00|6.94|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8606|133652|8697|1131085|3087491040|1bcf1c3d04c08ec70b4bf7c207815ff9|8c95819fb20fa1dbdd3b1964d0a2e762|dd3e5ad45a3c3481dc1931bee231c27d9c2d7cee|8e9b72e8|6692|10|high|1920x804|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8697|75861|Commie|Commie|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
252|Angst|0|300
22|Asia|0|400
330|Coming of Age|0|300
473|Confession|0|200
461|Debacle|0|400
289|Earth|0|400
15|Fantasy|0|600
12|Future|0|600
23|Japan|0|400
230|Love Polygon|0|100
198|Romance|0|200
272|RPG|0|600
21|School Life|0|300
505|Slow When It Comes to Love|0|100
220|Stereotypes|0|200
244|Twisted|0|300
130|Virtual Reality|0|600


