AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
862|8867|1|Amulet||amulet|30|25.05.2001 00:00|7.80|2|0|2
862|8869|2|Elixir||elixer|35|24.08.2001 00:00|7.80|2|0|2
862|8868|3|Storm-Bringer||storm-bringer|30|14.12.2001 00:00|4.14|2|0|2
862|8870|4|Legacy||legacy|30|22.02.2002 00:00|3.78|4|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
862|8867|92|33875|192337920|2bb5901506eb353043987d6028d08dd6|6829ac0f6f27a3fb0f129e1cc0b69d35|436e4663de7a58c463f7a2f660c659a291c25552|e4ffaedc|1705|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|65|2|avi
862|8869|92|14708|197033984|a6ffe91322e32a22105920a321797a14|591b4e3c9f898a92273fd0f9ae16cdb3|6bfa9c3c4f19346a5ffba622fcdd63d034a7490c|b3c2b4b4|2039|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|65|2|avi
862|8868|92|14710|210122752|4663de2893d9299da430898d75a30d84|3b84c598664341ffa1a4d82cbe878bc7|53d078897f49db195543fb7d37ebb414f2f81bc2|b347ff93|1783|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|65|2|avi
862|8870|92|15038|205182976|a2bf854c4d4e8e76f2d55d798db520c5|db6e9cd48c9b8ef72fe1382e7bb1fe2a|5d20e9c7b3cf1d3c927e7e6c56ed4bf6c4aea9ea|a5ddb681|1718|10|high|640x480|DivX3|MP3 VBR|english|japanese|1|65|2|avi
GROUPS
GID|AGID|Name|ShortName|State
92|199|Hentai-Heaven|HH|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
4|Action|0|200
306|Adventure|0|300
17|Comedy|0|300
65|Dildos - Vibrators|1|200
271|Erotic Game|0|600
15|Fantasy|0|400
291|Fantasy World|0|600
269|Game|0|600
175|Magic|0|200
88|Nudity|0|400
198|Romance|0|300
86|Sex|0|400
51|Small Breasts|0|400
173|Swordplay|0|200
480|Uncensored Version Available|1|600
84|Violence|0|100


