AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8624|133072|1|The Spring Snow Incident Chapter||春雪異変の章|15|12.08.2011 00:00|6.95|4|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8624|133072|8018|964641|220233513|ac1f823d50ab9b3e7f68578fb6f29581|c6e07ce88782ee03dbc4204bfbf4d8d3|5f88e7ffb215adc6478c7a3de5ce7681b86ad0b9|f9e69bcd|979|10|very high|848x480|H264/AVC|AC3|polish|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8018|66131|Lolipop!|Lolipop!|stalled
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
270|Action Game|0|600
532|Alcohol|0|200
15|Fantasy|0|600
269|Game|0|600
175|Magic|0|500
482|Magic Circles|0|200
488|Spellcasting|0|300


