AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8638|132775|1|What Will You Do Once You Become A Woman?||女体化したらナニをする?|30|25.11.2011 00:00|8.58|3|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8638|132775|9830|997428|396145413|bcd18bc4a2f0d918d223445de5c426b4|b2aa5a89bb7063d27910093c248cc380|d1565cedd15f9d5c93ea6c41a307ed1b41880fbb|293092bc|1689|10|high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|68222|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
366|Ahegao|0|400
70|Anal|1|400
22|Asia|0|600
358|Bukkake|1|200
229|Chikan|1|300
359|Double Penetration|1|300
289|Earth|0|600
60|Female Student|0|600
55|Futanari|1|200
419|Futa x Female|1|300
333|Gangbang|1|400
23|Japan|0|600
52|Large Breasts|0|300
273|Manga|0|600
34|Masturbation|0|200
88|Nudity|0|600
398|Nyotaimori|0|300
233|Plot Continuity|0|600
11|Present|0|600
435|Prostitution|0|400
86|Sex|0|600
351|Urination|1|200
61|Virginity|1|300
521|Wakamezake|0|200
37|Yuri|1|200


