AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8694|140665|1|Complete Movie|||90|23.02.2013 00:00|4.47|9|0|3
8694|153238|S1|A Certain Magical Index-tan The Movie: Miracle of Endymion - Happened, or Maybe Not||劇場版とある魔術の禁書目録たん-エンデュミオンの奇蹟-があったりなかったり|15|28.08.2013 00:00|4.78|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8694|140665|9686|1291657|4199189527|b720d29ed2ac2b4c26e46b32dcc4b3be|4ba23b892fd93a7afaecdc39b4872b26|2afee2305f1a0a07072df458f13e809021a0993c|d77968ae|5406|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8694|153238|9686|1330378|268611391|4fcb20239571b44c5ca31dd1f4d55fa9|be9d60420da3cb5b01bbe1671b9dbb0e|89aaf9eed68bd823ecc10d55065f0fab0d0cd79a|a26d6d00|721|10|very high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9686|85293|Unlimited Translation Works &amp; Mazui|UTW-Mazui|complete
GENREN
GenID|GenName|isHentai|Weight 
127|Alternative Present|0|400
256|Art|0|300
17|Comedy|0|100
15|Fantasy|0|400
329|Genetic Modification|0|400
328|Human Enhancement|0|400
199|Idol|0|300
548|Indirect Kiss|0|200
23|Japan|0|600
175|Magic|0|400
482|Magic Circles|0|200
225|Music|0|300
274|Novel|0|600
321|Performance|0|300
533|Revenge|0|200
8|Sci-Fi|0|400
79|Seinen|0|600
129|Shipboard|0|100
278|Shoujo Ai|0|100
19|Space|0|100
203|Special Squads|0|100
488|Spellcasting|0|200
18|Super Power|0|600
173|Swordplay|0|200
235|Tragedy|0|300
244|Twisted|0|300
84|Violence|0|400
509|Witch|0|200


