AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
87|611|1|The Girl of Legend||伝説の少女|25|06.04.1995 00:00|6.74|14|0|3
87|635|2|The Priestess of Suzaku||朱雀の巫女|25|13.04.1995 00:00|7.38|12|0|3
87|607|3|The Seven Stars of Suzaku||朱雀の七星|25|20.04.1995 00:00|6.73|11|0|3
87|633|4|Missing Love||すれちがう想い|25|27.04.1995 00:00|5.94|11|0|3
87|605|5|Bewildered Heartbeat||とまどう鼓動|25|04.05.1995 00:00|6.38|11|0|3
87|630|6|Even If I Die...||命果てても|25|11.05.1995 00:00|6.19|10|0|3
87|602|7|Going Home||帰りたい...|25|18.05.1995 00:00|5.02|9|0|3
87|626|8|Brief Parting||逢いたい...|25|25.05.1995 00:00|5.76|11|0|3
87|598|9|Enemies Unseen||見えざる敵|25|01.06.1995 00:00|6.08|11|0|3
87|631|10|Looking For Yui||囚われの少女|25|08.06.1995 00:00|5.99|11|0|3
87|603|11|Priestess of Seiryu||青龍の巫女|25|15.06.1995 00:00|7.56|11|0|3
87|627|12|Only You||あなたしかいない|25|22.06.1995 00:00|5.69|10|0|3
87|599|13|For the Sake of Love||愛するがゆえ|25|29.06.1995 00:00|5.47|10|0|3
87|623|14|Wolf in the Fortress||砦の狼|25|06.07.1995 00:00|5.92|10|0|3
87|596|15|The City of Resurrection||蘇りの都|25|13.07.1995 00:00|6.00|9|0|3
87|621|16|Battle of Sorrow||哀しき戦い|25|20.07.1995 00:00|6.45|9|0|3
87|593|17|Magic Flute||めぐり逢いの音|25|27.07.1995 00:00|5.42|9|0|3
87|618|18|Love Trap||恋慕の罠|25|03.08.1995 00:00|4.73|8|0|3
87|590|19|Shattered Love||ひきさかれる愛|25|10.08.1995 00:00|5.41|8|0|3
87|614|20|Unreachable Hope||とどかぬ願い|25|17.08.1995 00:00|6.25|8|0|3
87|638|21|To Protect You||君を護るために|25|24.08.1995 00:00|4.28|8|0|3
87|610|22|I`ll Never Leave You||二度と離れない|25|31.08.1995 00:00|5.03|9|0|3
87|634|23|Shadow of Intrigue||謀略の予兆|25|07.09.1995 00:00|4.80|8|0|3
87|606|24|Resolution||炎の決意|25|14.09.1995 00:00|3.70|8|0|3
87|632|25|Love and Sorrow||愛されて, 悲しくて...|25|21.09.1995 00:00|4.40|9|0|3
87|604|26|Star Festival||星見祭りの夜|25|28.09.1995 00:00|5.75|8|0|3
87|628|27|Tombstone Oath||誓いの墓標|25|05.10.1995 00:00|6.68|9|0|3
87|600|28|Part 1 Digest: The Ancient Path||第一括 総集編~古昔之途[いにしえのみち]|25|12.10.1995 00:00|3.11|5|0|3
87|624|29|Mysteries Afoot||動きだした謎|25|19.10.1995 00:00|5.66|8|0|3
87|594|30|The Flash of Battle||戦いの閃光|25|26.10.1995 00:00|5.28|8|0|3
87|619|31|Whirlpool of Doubt||不安の渦|25|02.11.1995 00:00|5.31|7|0|3
87|591|32|To Die for the Star of Suzaku||朱雀の宿星[ほし]に殉じて|25|10.11.1995 00:00|5.24|8|0|3
87|616|33|Nuriko, Eternal Farewell||柳宿, 永遠[とわ]の別離[わかれ]|25|16.11.1995 00:00|7.36|6|0|3
87|640|34|Guardians of Ice||氷の防人|25|23.11.1995 00:00|5.05|7|0|3
87|615|35|Hell`s Mirage||奈落の蜃気楼|25|30.11.1995 00:00|5.03|7|0|3
87|639|36|Trampled Love||踏みにじられた愛|25|07.12.1995 00:00|4.13|7|0|3
87|612|37|Bewitched Warmth||幻惑のぬくもり|25|14.12.1995 00:00|3.99|7|0|3
87|636|38|Dawn of the Heart||心の夜明け|25|21.12.1995 00:00|4.68|7|0|3
87|608|39|Bewitched Illusions||妖しき幻想|25|25.12.1995 00:00|3.72|6|0|3
87|629|40|Deceptive Love||偽りの恋|25|04.01.1996 00:00|3.56|7|0|3
87|601|41|Sunlight of Rebirth||復活の陽光|25|11.01.1996 00:00|2.37|7|0|3
87|625|42|Unbreachable Wall||越えられぬ壁|25|18.01.1996 00:00|3.66|7|0|3
87|597|43|Farewell Reunion||決別の来同|25|25.01.1996 00:00|5.48|7|0|3
87|622|44|Moment of Battle||刹那の攻防|25|01.02.1996 00:00|5.25|8|0|3
87|595|45|Divergent Light||分岐の光|25|08.02.1996 00:00|4.80|8|0|3
87|620|46|Boy of Fact and Fiction||虚実の少年|25|15.02.1996 00:00|4.38|7|0|3
87|592|47|Repose of the Soul`s Light||鎮魂の空|25|22.02.1996 00:00|4.57|7|0|3
87|617|48|Even Wagering on This Life||この命賭けても|25|29.02.1996 00:00|5.01|7|0|3
87|589|49|Wedding Celebration||華燭の典|25|07.03.1996 00:00|5.74|7|0|3
87|613|50|Atonement||贖罪の瞬間|25|14.03.1996 00:00|4.89|7|0|3
87|637|51|Entrusted Hope||託された希望|25|21.03.1996 00:00|5.36|8|0|3
87|609|52|For My Loved One||いとおしい人のために|25|28.03.1996 00:00|5.64|8|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
87|611|203|14317|266009153|3eda309edd971235df7b3f1ca808c20a|e111819abccfab37d4db3dfdabbca70b|415b2d58f45936a1c549eac7c0aa4377850cc1c7|c7a6e4f6|1419|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|635|203|14318|244523508|3072f2e8225de292d9ad73173b3f9702|7dafdb88af327d69287851c596b9d9df|80506e589227fe8f7ce590601555970631e7d23a|f2c15630|1409|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|607|203|14319|272260841|a90233e6ed9d48c6680dbeb60fdf0f40|1bd54b1a019b1c26a0d50dc155b73e97|98e318713d3297d7c06bb4d8eb6dfca97cc002be|f01f3494|1407|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|633|203|14320|248855501|7c34f475fe3161c11463481bce7df76f|684cd2dfb788f9be7c473c4e08ab3802|b3b16687f278a5c640ba7b7a195ab2d3acba2a45|e782af17|1407|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|605|203|14321|212871828|ec5f131107664e6aac0587afffebb7cc|8cf26c39ddcf34d2bf356779aeefe5ef|36f3cd44851368ed99620491bdf3308b7c2d3dd2|8cb09f7e|1409|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|630|203|14322|222988657|e28851b3aec7e906e807139609f01439|880c6f7f396ec9b45e6505be4ee67d6d|df8f17362eb731b6970a8987c752be4e2b91a173|294dba94|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|602|203|23783|229890291|dc6489aa8a0e2fe6f17ec2bfe8344070|3c58b0eec9606e00b8ea09c00de6efa0|7d1bde851d63dd12f17ff752f95ec2f347e7fedd|55e1dc65|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|626|203|23762|239627675|285fb594558fe0d0e6dc1d195866458e|d470f14ee32aef32458e02112bc01b1f|3ba5f65a028ca8089014fba91049bc94c89b3aaf|735c3d0d|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|598|203|23764|257381135|266a33086bd8c8448a772e2377928fe1|1d8b2ecff4c6c6c92be7a816e2cef2f3|99a53316c4aa0a70ed33fc170da6b9dcef72f8b3|59dadbb3|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|631|203|23763|252996556|38e4eb2b3e13a497cd0793d265e31da5|6a0ec78a81bf169a12b24a7f3f2f0396|c8006eb3c0d0c86ca5b47ce9dc3e2811c6c16860|375dc8c4|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|603|203|23817|224634343|006e2a4c71ccbd112761e8805e1082b4|885f470318b2c8c8b5398e5c4fcc705d|5ace897991c303b32fbc840562fa67c1c820ae1b|003b8f1b|1406|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|627|203|23812|228157009|d91b756059d86b730d535a9665755fc6|4eb7490a778061d51b966cb68cf1c35f|e9bf2d2e87f20a0a60f578f63b7a717e63d0dafd|e8cc2dcb|1410|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|599|203|23790|238896918|980daa13f755da460444280ce9bba2e8|54cae82353400b9d797dcd59785e1b35|207f276e341aa03173019293dfc1ad4b8affbb68|64f16a6e|1407|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|623|203|23784|231824370|54eb98c103f196b76e917073795bcbdd|4c0fb7eda8a4bc002f38796362086666|43f53ff0900752676dcc64f98f5e932149ee5dd9|d69aa368|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|596|203|23824|235438095|e45b73abb64954d27de00561f34406a9|4c1cafca1d6057b185314a6570d4ba28|ec922b978e7638c72a2c7a33ebd384a99007a3d7|0f3d19b3|1407|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|621|203|23825|247240491|b4707d90872cf1e4e35586c30675dc5e|05561411dd3f4a65b22fd119dd912173|dd9a44ac8da7103be6fe6f0220e866280fdb3e9e|b27323b4|1408|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|593|203|23792|230370475|561928389689e4c84806c48b17a1395f|3288d6aeabf71a6fafdf69ecaa392119|a0c7ae565867282d9a6e56fb9bc7a95efebd4370|d504d424|1407|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
87|618|203|23785|244694407|2d0bfba5892142cf24615a871f9337f2|f159c652fee6269821fcc041fa358825|dda2c0412710526318dcf2becedf696d0d797079|59cfff5d|1409|10|high|640x480|DivX3|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
