AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8720|133979|1|Volume 1|||15|16.12.2011 00:00|4.68|2|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8720|133979|9830|1004899|308024779|15dcaff452a768aa10bbf6707dd32f7b|ff6641d4b8c24010875881a10f78fcaa|fec8ea16b2f5afa1674ae8a31f1238b59d3a83ad|50f56a93|999|10|high|1024x576|H264/AVC|(HE-)AAC|english|japanese|1|129|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
9830|68659|SubDesu-H|SubDESU-H|complete
GENREN
GenID|GenName|isHentai|Weight 
80|18 Restricted|1|600
366|Ahegao|0|300
70|Anal|1|400
22|Asia|0|600
327|BDSM|0|300
57|Bondage|0|300
360|Cream Pie|1|200
293|Dating Sim - Visual Novel|0|600
65|Dildos - Vibrators|1|400
373|Doggy Style|1|300
359|Double Penetration|1|400
537|Drugs|0|400
289|Earth|0|600
416|Enjoyable Rape|1|400
271|Erotic Game|0|600
353|Fellatio|1|200
60|Female Student|0|600
269|Game|0|600
333|Gangbang|1|400
23|Japan|0|600
341|Lactation|0|400
52|Large Breasts|0|600
34|Masturbation|0|100
88|Nudity|0|600
354|Paizuri|1|300
11|Present|0|600
33|Rape|1|400
86|Sex|0|600
429|Slavery|0|600
361|Throat Fucking|1|200
47|Torture|0|600


