AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8742|140359|1|A Story That Had Already Begun Before Anyone Realized It||気づいた時には始まっていたという話|25|08.07.2012 00:00|5.35|26|0|3
8742|140479|2|Some Fascinating Humans||なかなか面白い人間達|25|15.07.2012 00:00|7.22|23|0|3
8742|140478|3|Jobber and Low Blow||ジョバーとローブロー|25|22.07.2012 00:00|8.11|26|0|3
8742|140477|4|Twin Feelings||二つの想い|25|29.07.2012 00:00|8.14|26|0|3
8742|141161|5|A Confession and Death......||ある告白, そして死は......|25|05.08.2012 00:00|9.16|30|0|3
8742|141160|6|A Story That Continued Before Anyone Realized It||気づいた時にはまた始まっていたという話|25|12.08.2012 00:00|7.52|23|0|3
8742|141159|7|Falling Apart||バラバラと崩れる|25|19.08.2012 00:00|7.25|21|0|3
8742|141158|8|And Then There Were None||そして誰もいなくなった|25|26.08.2012 00:00|6.57|22|0|3
8742|142062|9|Can`t Stop Can`t Stop Can`t Stop||止まらない止まらない止まらない|25|02.09.2012 00:00|6.78|20|0|3
8742|142061|10|Putting into Words||それを言葉にするということ|25|09.09.2012 00:00|8.22|20|0|3
8742|142060|11|A Story That Began As We Realized It||気づきを与えられて始まったという話|25|16.09.2012 00:00|7.96|19|0|3
8742|142059|12|Into a Snowy City||雪降る街へ|25|23.09.2012 00:00|8.20|18|0|3
8742|143822|13|As Long as the Five of Us Are Together||この五人がいれば|25|30.09.2012 00:00|6.23|17|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8742|140359|7172|1099848|337290781|9a93211984aa0164c603a10e9d1b5231|f69ae7168b593fb77434fd144eeb6908|fe58c128bdf614598d9149324b6f17983331d449|5da2d9d2|1416|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|140479|7172|1102025|337651662|4542dab1f6539bb59b405d480632c692|e6eeb84a127be6117c6081a0c1fa5ef8|6770405c19dad323da49ee1f1a4f76c9bb6c4cff|7c0596d4|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|140478|7172|1104496|337149321|c635516ee8c86b9cb3a5205e28269cde|95395c24fb9365c5ffe10e72bb8fdaf8|cfdad21aa54e87bd28dd4e4cb9db6ad77fb3e6c9|46ecb525|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|140477|7172|1106924|337213999|5a5e0ff55f7bcdae54141245505bd693|c2c0cb0631435427cd888b5e87772071|c390513da4b80359042388a15781c18aebab51fd|a80c5c58|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|141161|7172|1109679|337074850|1542e845d159f8f78c0f30c068f8d2dc|489575bc610d5587b61297cc29b6fbb1|0b79d3bc3ad62abe1e07278214705e52b80c6272|31430baa|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|141160|7172|1113825|337346987|28ebb321ffea242d2465177d8a5ba9f0|7c3e749f72ade29c213dc80a859bf539|67be6dcbd01b00c071a627ad863afb360158869a|c1d3c998|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|141159|7172|1117989|336911360|d3f1b77e546ab61391303465f08f2ca4|8ef5e424b712fac978debf811b30d414|a7672147b534462e3c446802159610bfad4e4405|65037934|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|141158|7172|1124096|337013389|7a99045b8392665493b856c54d2f02af|bdcf571075e95f2d5efb7f3bc4009cac|b37fa5dfa204b60290c4c21ac7a70dd0025d217f|28a24ee5|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|142062|7172|1128055|337351957|d7e8d1c842e9f2c2be17cd75873c110d|a07a989cf66e9e411ee1a2391ca84061|ccc9366b11b8c4fea2e970c5ced5e45c9bee2ba1|c7832051|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|142061|7172|1130869|337432261|b9d90d781355c79a181b0fc30ba310b8|e47b8eb0dbd9d908115ba139bf8c92ec|97e6cb09305672bcde2d31a9cbd6b56fc17c20b3|b407914f|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|142060|7172|1132861|336180755|fd339a1ab821baa04a1bb4b5b667125b|408588febe65867b30391fde81b58d64|4955073f2ee0557f10f42840ba4abbb89df18be8|0f39343b|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|142059|7172|1135308|336216497|c012794d8c1a6d42b0ae00090a2cbc82|3dca3ebb7d56a242ffdcf8cf305957cc|7bd830636b3aedd2bba59584b0ca1dc46e269793|787ab908|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
8742|143822|7172|1138392|335179530|348b6fd2c0bf6700f156d7dfa99af6b4|4ace13e2e087c84badfda23933b6dc78|14f380835f81376ce501eb58fb4a0c9496275a6b|3e4df002|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|74212|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|600
242|Clubs|0|400
17|Comedy|0|400
330|Coming of Age|0|400
15|Fantasy|0|100
60|Female Student|0|300
497|Friendship|0|300
239|High School|0|600
230|Love Polygon|0|600
538|Multiple Couples|0|300
274|Novel|0|600
11|Present|0|600
198|Romance|0|600
21|School Life|0|600
79|Seinen|0|600


