AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
884|9169|1|TV Special|||120|04.07.2001 00:00|6.55|4|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
884|9169|23|16320|733085696|35fddabf448f71ecb2986c510c2ba707|cd634661513e7dee657d61dcb5141789|58587e5a64b205a9a3f7cab0b920a93dd3d0a88f|bead534a|7200|10|very high|512x324|DivX3|MP3 CBR|english|japanese|0|1|2|avi
GROUPS
GID|AGID|Name|ShortName|State
23|2422|Ansatsu Senjutsu Tokushu Butai|ANBU|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
221|Elf|0|400
12|Future|0|300
329|Genetic Modification|0|100
274|Novel|0|600
128|Other Planet|0|300
8|Sci-Fi|0|600
129|Shipboard|0|500
19|Space|0|600
174|Space Travel|0|300
467|War|0|400


