AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8880|137774|1|Bloody Battle on the Mion River||未遠川血戦|25|06.04.2012 00:00|7.80|32|0|3
8880|137775|2|Golden Light||黄金の輝き|25|06.04.2012 00:00|8.18|34|0|3
8880|137776|3|The End of Honor||栄誉の果て|25|22.04.2012 00:00|9.16|31|0|3
8880|139012|4|The Eighth Contract||第八の契約|25|29.04.2012 00:00|8.79|26|0|3
8880|139222|5|Distant Memories||遠い記憶|25|06.05.2012 00:00|8.03|27|0|3
8880|139397|6|Where Justice Dwells||正義の在処|25|13.05.2012 00:00|8.52|29|0|3
8880|139630|7|The Assassin Returns||暗殺者の帰還|25|20.05.2012 00:00|4.75|25|0|3
8880|139734|8|Knight on a Two-Wheeled Steed||双輪の騎士|25|27.05.2012 00:00|6.78|24|0|3
8880|139810|9|All the Evil in the World||この世全ての悪|25|03.06.2012 00:00|5.50|22|0|3
8880|139976|10|The Ocean at the End of the World||最果ての海|25|10.06.2012 00:00|9.01|26|0|3
8880|140057|11|The Final Command Spell||最後の令呪|25|17.06.2012 00:00|9.11|25|0|3
8880|140176|12|Fate/Zero||Fate/Zero|25|24.06.2012 00:00|5.93|29|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8880|137774|8931|1096812|448070760|3a720831e81449af6186ebec959c87fb|526ae8a201790fc46d6007aacab1754f|bce5f4e2f7b05dfe26c5859b98b100fc0aa61e28|ab516053|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8880|137775|8931|1096813|614129920|b1b07ae44bdfb5f8691f77d612ff1e9a|43a56f06f9d68c3c545cd27a00071f3d|7ce24bbc391c45a8666df742364d85930787049e|51ac7cbc|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8880|137776|8931|1066859|361902274|41e9afb816d946c747afa7c42790ee9d|f2951a55b69dc2d864e61a972b257c5d|af99bbd5de8d624377bb94abca9f7db6b3a577d5|02a33212|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8880|139012|8931|1096814|245403964|7b3ac8808c468c3a88de1530a6878a8c|719ae797c44fd0cf3b6802d7c0d38f53|e85d737940bbde00880de2ff7961f351a410d289|e8df551f|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8880|139222|8931|1096815|327581578|7a4b0c8832008b14d3e6184ebd437fcb|512be22d963a642302f09ee44d614857|d9c7c85e40f47ba9776276ec38a81d090acbea7f|3901fc95|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8880|139397|8931|1075890|329283492|bd37ccfe23d8102082fff16c7c0d72ff|a86503fc00da989061e19a100b24d97d|00579e9dc1ac4afc9b928fc06a25a0d9428df0d8|ee7d8586|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8880|139630|8931|1078727|264329105|8f23c4bbfdfa6838c6acb205155ed860|cfdba67c2c5ec9690f76c539521706e4|8901385db14a3eaaddfe38375aee60e6ac1f0171|af35659f|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8880|139734|8931|1081691|368334765|04b4ea13c0179fb130f47465435b8c15|231b02444c6e425de64d737e513499ba|693acb6bd38e0cceaef0052f9e8aac6e3b296d8c|bcb5c808|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8880|139810|8931|1085438|296884529|607664a538c263aa3ebe28cfdc8ab022|61aa4147594fb390578b7b7b22e2b741|73cb6d60108bc2f1172cbd151f319ca04b847c4e|6f59864f|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8880|139976|8931|1096816|375870110|451ee50263a067384dd35e90a8489a7b|7d7c4cc7d72a2ea83bd1a002ada76511|6462884275fef55f84fdb83c42c42bf1970ad179|9d61c8bd|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4101|3|mkv
8880|140057|8931|1090091|387071187|0f51847477e934241ac7074c958fe4b1|15577431e27ff7361eaaf44927491219|f6cd73ce488f5a40c6f7b1c4fc6911099639c32e|583d3dbb|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8880|140176|8931|1092640|285377061|e7bc4ee2687ae74877fd08670c095e2f|e48ab95479acfea5de0df4993b036e17|1880cd39642708315d4103d95ae11594074a8361|deba6f45|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8931|71735|Unlimited Translation Works|UTW|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
127|Alternative Present|0|500
252|Angst|0|200
22|Asia|0|400
512|Battle Royale|0|600
486|Calling Your Attacks|0|300
183|Contemporary Fantasy|0|600
265|Dark Fantasy|0|500
289|Earth|0|400
15|Fantasy|0|600
154|Horror|0|100
23|Japan|0|400
175|Magic|0|600
482|Magic Circles|0|200
274|Novel|0|600
88|Nudity|0|200
11|Present|0|600
79|Seinen|0|600
18|Super Power|0|500
173|Swordplay|0|400
172|Thriller|0|200
235|Tragedy|0|600
295|Underworld|0|500
158|Vampire|0|100
84|Violence|0|500


