AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
8883|144108|1|A Chance Encounter... with Wicked Lord Shingan||邂逅の...邪王真眼|25|04.10.2012 00:00|6.45|32|0|3
8883|144107|2|Priestess... of the Melody||旋律の...聖調理人[プリーステス]|25|11.10.2012 00:00|6.93|30|0|3
8883|144106|3|The Heretical... Pigtailed Girl||異端なる... 双尾娘[ツインテール]|25|18.10.2012 00:00|5.65|30|0|3
8883|144105|4|Regret... of the Mabinogion||痛恨の... 闇聖典[マビノギオン]|25|25.10.2012 00:00|6.55|30|0|3
8883|144936|5|A Binding... Hard Study||束縛の...十字架[ハード・スタディ]|25|01.11.2012 00:00|5.74|26|0|3
8883|144935|6|The Atoned... Innocent||贖罪の...救世主[イノセント]|25|08.11.2012 00:00|5.21|25|0|3
8883|144934|7|Reminiscences... of Paradise Lost||追憶の...楽園喪失[パラダイス・ロスト]|25|15.11.2012 00:00|7.48|28|0|3
8883|144933|8|Exiled... Just the Two of Them||二人だけの...逃避行[エグザイル]|25|22.11.2012 00:00|8.38|27|0|3
8883|145571|9|A Confused... Chaos Heart||混沌の...初恋煩[カオス・ハート]|25|29.11.2012 00:00|8.70|30|0|3
8883|145570|10|Holy Mother`s... Pandora`s Box||聖母の...弁当箱[パンドラズ・ボックス]|25|06.12.2012 00:00|8.68|29|0|3
8883|145569|11|Single-Winged... Fallen Angel||片翼の堕天使[フォーリン・エンジェル]|25|13.12.2012 00:00|7.56|26|0|3
8883|145568|12|Eternal Engage||終天の契約[エターナル・エンゲージ]|25|20.12.2012 00:00|8.30|28|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
8883|144108|11533|1140292|320414997|c39b5d56125d35738ef293f0207fdb85|9cfaeffc08ab5c72744e5a71a77e1dd0|84664f238b56f68605e810f1931666f7fbd5dc73|64775d00|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144107|11533|1142821|324477128|2101afd957462cbb380457d0b7507285|0ad74f712f12689f779e1e2fd1609cf5|239c39a61f0c97742df73395fcbb86aa6fb7da72|eb39c0d3|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144106|11533|1145175|331156098|c05fb45d117d6b94081f7d350b99c57d|e3ec0af6d2b9f9f15879e1b8ec6cade7|9de16d2842991fc26c65dee2788ac5da15666db7|c732893a|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144105|11533|1148128|327910229|077bd44ea7ffce6cc85157219c101790|cb2bfe02f05b92f3a027c68a7f1aa35f|45339040a35afa1196f178c71550cbfcdae5eade|d41e2856|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144936|11533|1150317|304362554|5e273198ef83cf7694b194a850c264ba|b019961aa8fdd797b2a26f73480ff4d5|fd5f576a467ce0e7a44e878cc0c43de3ad1ff148|650467cd|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144935|11533|1355834|321909395|32565c10c3dabfa98f72832ae44b39f1|520b28b079e5ca0ad8a400651f10a12d|79d4e22274dc0543e1b4489b3fb6b4ba6697ada8|7d173283|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144934|11533|1156550|309961300|d398dae5ea2268223744a24df5b5566a|b94256e784689ca121d0962c95079c44|6d906bae9a04c4b33fcffd9d9ae41a61b6fbcf03|492097a4|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|144933|11533|1159123|285081181|87b5f4e6289f256c4908a34ebd343df9|a501573d6b3a172cfd9c51b3b2cb08c2|6a322855fccefd8fc841fa29eea503a83f2f5c77|8eb46d45|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|145571|11533|1162148|303047964|01bdc72059367b41a2b73201083086ea|2193339dd2595607c45d2023dc2c67dc|c5324bae7e44525faa4b3df389126029efc4a8fb|13a22458|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|145570|11533|1164044|284970802|25c0f31d54bd65a167d8adeeb702f3f9|ac0e7f3143226e7f004bc922739bf2de|68a261449f022c17c9b49b0327b8262d319c5137|d505f865|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|145569|11533|1166326|287235716|6c72be7adec07d51293481d8507b98c2|157b601cc220a861f4f84a575e12ec52|764ec6823f01b19e340c9f0e23f8f430d596d93f|c31b6869|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
8883|145568|11533|1168542|278774321|b7c500a1fbd9c9c871f41ff18614171d|2dbf0eeddb503517745fd893a6120858|21f5302d64c2deb9a24f02b4a263b3cdebbdb88f|577ee8e7|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
11533|76423|Unlimited Rori Works|URW|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|400
486|Calling Your Attacks|0|200
242|Clubs|0|400
17|Comedy|0|600
330|Coming of Age|0|400
473|Confession|0|200
289|Earth|0|400
15|Fantasy|0|100
239|High School|0|400
23|Japan|0|400
175|Magic|0|200
482|Magic Circles|0|200
274|Novel|0|600
487|Parental Abandonment|0|200
11|Present|0|600
198|Romance|0|600
457|School Festival|0|200
21|School Life|0|300
79|Seinen|0|600
235|Tragedy|0|200
479|Zettai Ryouiki|0|200


