AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
903|10667|1|Complete Movie|||100|21.12.2002 00:00|6.64|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
903|10667|670|127431|731111271|d6e16cc23c9cb4043b26b035582f34e9|20244674eebeb224bc0b85d5e7a50bf7|24ac255320d81cfaafbdbd7d2e2cab773c3615cb|0c6f9c81|5935|10|very high|592x400|H264/AVC|(HE-)AAC|english|japanese|1|1|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
670|10716|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
17|Comedy|0|400
167|Demons|0|400
15|Fantasy|0|400
456|First Kiss|0|200
175|Magic|0|400
273|Manga|0|600
209|Parallel Universe|0|400
5|Shounen|0|600


