AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9077|140164|1|Running and Inviting||飛び出したり 誘ったり|25|01.07.2012 00:00|7.19|14|0|3
9077|140163|2|Gathering and Struggling||焦ったり あがいたり|25|08.07.2012 00:00|7.57|13|0|3
9077|140162|3|Swinging and Meeting||振ったり 出会ったり|25|15.07.2012 00:00|7.26|8|0|3
9077|140161|4|Getting Angry and Dancing||怒ったり 踊ったり|25|22.07.2012 00:00|6.13|8|0|3
9077|141001|5|Throwing Away and Holding On||捨てたり 捨てられなかったり|25|29.07.2012 00:00|8.91|9|0|3
9077|141000|6|Laughing and Remembering||笑ったり 想ったり|25|05.08.2012 00:00|9.27|11|0|3
9077|140999|7|Spinning in Circles and Losing Sight||空回ったり 見失ったり|25|12.08.2012 00:00|7.02|10|0|3
9077|140998|8|Worrying and Racing Ahead||気にしたり 想いっきり駆け出したり|25|19.08.2012 00:00|7.14|8|0|3
9077|141570|9|Turning White and Turning Red||白くなったり 赤くなったり|25|26.08.2012 00:00|5.95|8|0|3
9077|141569|10|Crushing and Burning||萌えたり 燃えたり|25|02.09.2012 00:00|8.27|6|0|3
9077|141568|11|Waxing and Waning||満ちたり 欠けたり|25|09.09.2012 00:00|7.75|6|0|3
9077|141567|12|Piling Up and Rippling||重ねたり 響いたり|25|16.09.2012 00:00|6.57|5|0|3
9077|141566|13|Sunny Days and Crying and Sometimes Singing||晴れたり 泣いたり あとは時々歌ったり|25|23.09.2012 00:00|7.93|9|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9077|140164|7407|1131566|1520370822|59a11fba9bff4fdc18dabd897a96da5b|88e9875e14bf4f7f4ecea98ba98a9fa3|bb90de4b5be00350ddaf75c8577ffbbfd429dee0|718e1825|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|140163|7407|1131567|1498320808|eeeb50994e03be286a890330cc9626dd|4bca67f4f4c89f4601896c7c2d527880|590a4ea4505c516cfd5bc5e57dd3b1575be4a693|3fa07131|1420|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|140162|7407|1192655|1427974198|d32084468a9bde43285ca58ced985288|c0105eaf7cbfd8c5ca134948f02e2f13|c1a40c98197aac1a28030923fb7992fb653a6eb9|0d7739a3|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|140161|7407|1192656|1464816088|c832901a313082ec8f446beba7048d32|01667781ff555f0b48124f902bebb8d6|bc0e9b16d517b0445ae532a49a37d314f8bfbd99|3d43fc0b|1420|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141001|7407|1192657|1305936629|fa62153a8dc102ceca1015104326ed84|3dd648f389fb9e0bf43ac434d1136c80|25423585a7fb09b43a4c8bc7f7c21a480f172078|e895d663|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141000|7407|1192658|1433706297|2a5871228f4d0d2f4a841b53f3630aae|fd74790972b5c3394e19b09959e0da29|ccd84dce5ed66fb68e997fa411cdb5f28a87bd87|bb1eefe9|1420|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|140999|7407|1192659|1310075217|da09ba369cc9e210ca7b0aab4e43f9de|b56cf95e75501563d21a9352a1bec483|bf8200de8f0a88005052d22e9ce8a07dfb2cb134|a47ccaa0|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|140998|7407|1192660|1322531083|d2cbd5951f7b8e7d7436ccbd1ab74ff7|bcfe306d7011d9a8306cec08826e236a|55d960678966f365188045b0b8ec13d80b8c2e33|72038a62|1420|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141570|7407|1192661|1298833577|7287c668156ba41f2bac75163be8cd69|09aa87c3c28ea9354d4869b871802c0d|e5e3b7e5974a9ee03216b97d7866854ac2575adc|8e0645ba|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141569|7407|1192662|1397043293|d9849e7213e3007061007458525e60c9|5f5102c954b1c56bd26b662415500690|a0847520038ed57a74a5dbc0f8a7d728a79f89b8|9920ab9c|1420|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141568|7407|1210175|1361027381|dbc04b18ce3333fa3a906290c8acaa97|609726b4b8b596a2c40b4b37ec070a14|2e8da480722371d1f650718c9775367fefc4db36|c561dfab|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141567|7407|1210176|1413314827|1279f19b451ae373d43da2dc739d5535|5ea78815b4f004015aaf1c30ca6d838b|1e20427e1c5f419e939431660bea283aee6862c2|12c3cbc1|1422|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
9077|141566|7407|1210177|1490235241|c9de76bb6e6b95fc650febc2a2865e5a|089f75cd132b41dd45482a74b062a2c2|6ce7f1739505b4d1e403753f8a0c0afe9b3877c3|7f450bb4|1410|10|very high|1920x1080|H264/AVC|FLAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7407|75905|Coalgirls|Coalgirls|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|100
380|Badminton|0|200
242|Clubs|0|400
17|Comedy|0|200
330|Coming of Age|0|100
236|Daily Life|0|500
289|Earth|0|100
60|Female Student|0|300
498|Furo Scene|0|200
239|High School|0|500
455|Horse Riding|0|200
23|Japan|0|100
225|Music|0|400
275|New|0|600
321|Performance|0|400
233|Plot Continuity|0|500
11|Present|0|500
21|School Life|0|500
513|Transfer Student|0|300


