AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9134|147748|1|My Little Sister Can`t Come Back Home Again||俺の妹が再び帰ってくるわけがない|25|07.04.2013 00:00|3.22|17|0|3
9134|148205|2|The Onii-san I Trusted and Sent Off Can`t Get This Addicted to a Mobile Dating Sim and Commit Sexual Harassment||信じて送り出したお兄さんが携帯美少女ゲームにドハマリしてセクハラしてくるようになるわけがない|25|14.04.2013 00:00|6.71|18|0|3
9134|148204|3|My Friend Can`t Take Off Her Glasses||俺の友達が眼鏡を外すわけがない|25|21.04.2013 00:00|4.01|17|0|3
9134|148203|4|My Little Sister`s Rival Can`t Come to Japan||俺の妹のライバルが来日するわけがない|25|28.04.2013 00:00|4.67|16|0|3
9134|149617|5|I Can`t Be My Little Sister`s Boyfriend and My Little Sister Can`t Have a Boyfriend||俺が妹の彼氏なわけがないし, 俺の妹に彼氏がいるわけがない|25|05.05.2013 00:00|7.41|14|0|3
9134|149616|6|There`s No Way My Sister Would Bring Her Boyfriend Home!||俺の妹が家に彼氏をつれてくるわけがない|25|12.05.2013 00:00|7.32|16|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9134|147748|7172|1220296|339744470|79f17291dbd9d8233546bc1e1f8b8f3c|c1ad52f65c072520016b8d24fff4ff95|e3896f1b5ed2002843f0290ac02c6f8f8f569e06|003a356c|1430|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9134|148205|7172|1225348|338986904|25de5ad85bd730a4c7ad952f3cf4af19|85da37102def535f9a0eb8d8b1d2a80e|1da46130f13abd6c6ed6e04a6d7dee114a34d5fa|427744b2|1430|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9134|148204|7172|1229708|341013776|e4587946c2f2069b24f568945fdf18ea|44c5949b513625891ce1df1aec3126c6|4e698e9cf6e06d135a29caac9d5a89dc2bc514ea|eca63e2b|1430|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9134|148203|7172|1233281|340002633|3b3cedd7a54f434c147f87da131cc46f|d30606c235bf1e25c162817c9c0a8efe|d57522c43adb0cef6571467800fa999a7d435496|75d7aeb8|1430|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9134|149617|7172|1236650|340255896|962f28eb44ea89344909f92b674cbdac|9a188ba16823f51c56d586feea63208c|9895a44e7d5b1cf02b454c9552d29bf7ed667dc6|0377a3f7|1430|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9134|149616|7172|1239539|340239651|5acf90e36a1d645a8572e097544b8b2c|f805e9b4ffee759fee0c979292fc7dec|71470cdfb0c173a38caba5ab4ebb3d7f9e3fd3ae|01624ab9|1430|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|80849|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
515|Akihabara|0|200
22|Asia|0|300
403|Brother-Sister Incest|0|600
17|Comedy|0|400
470|Cosplay|0|200
289|Earth|0|200
282|Ecchi|0|300
241|Harem|0|300
48|Incest|0|100
23|Japan|0|300
274|Novel|0|400
11|Present|0|200
198|Romance|0|200


