AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9235|143877|1|Sitting Next to Yoshida-kun||となりの吉田くん|25|02.10.2012 00:00|8.26|26|0|3
9235|144119|2|Weird||変|25|09.10.2012 00:00|7.68|21|0|3
9235|144118|3|Nuisance||やっかい|25|16.10.2012 00:00|5.50|19|0|3
9235|144117|4|Summer Break||夏ブレイク|25|23.10.2012 00:00|6.46|17|0|3
9235|144778|5|Yoshida Family Matters||吉田くんちの事情|25|30.10.2012 00:00|6.06|15|0|3
9235|144777|6|Girls Feeling Melancholy||彼女達の憂鬱な日々|25|06.11.2012 00:00|5.91|16|0|3
9235|144776|7|The Distance Between Us||2人の距離|25|13.11.2012 00:00|6.91|15|0|3
9235|144775|8|Come Down to Syoyo Festival!||おいでませ! 松楊祭|25|20.11.2012 00:00|5.36|15|0|3
9235|145201|9|All or Nothing||0と1|25|27.11.2012 00:00|5.56|13|0|3
9235|145202|10|Christmas||クリスマス|25|04.12.2012 00:00|4.18|12|0|3
9235|145203|11|The Yamaguchis` Son, Kenji-kun||山口さんちの賢二くん|25|11.12.2012 00:00|4.56|11|0|3
9235|145204|12|The Year Draws to a Close||年は暮れゆく|25|18.12.2012 00:00|4.46|10|0|3
9235|145703|13|Spring Is Near||春遠からじ|25|25.12.2012 00:00|5.28|10|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9235|143877|8231|1140674|438853476|fa30991d2242cc67c9d6b194c86f11d0|bcd523a740254104e9dddea85532b26d|a02efb94a7e1aa81764466516f6505f941e81820|165ed3ca|1460|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144119|8231|1143315|424960790|63156eeddfc15a9759c2e8b3d33fb63f|7c844456567d1bb35525586d07053395|72c861135760331a0984ff3f605b1b01980be6e0|f99f3b67|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144118|8231|1146034|392178417|85870ef45f1194f3da8365db77c53832|b558acefa39612e353cc7600162ca2d3|b10ac2acbe7927549c2ea1f8feaab690e204da7f|dbcd178f|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144117|8231|1148934|410286538|20b6c369cf0e83893c208e72cef00c63|a0ec8228291edc43ec59f1fc2ddcd09f|c28f7956ae79d2ed46c481174ec32a4a57650a17|ac33634d|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144778|8231|1152499|405573316|34c4bb9c36fee0a3e8f8e90794a44cfb|d04ae4d264ffa0a900cd217147e64514|39347542111607861fb98665cbe375b31817bd92|c5250232|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144777|8231|1155774|399616406|2f35567b26910a57452321abc8b8d17d|c2f58cd66c4ea8d7df50150567ade391|690393439bb29a91332c4031ac24ff6ec1b3a387|579fd82a|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144776|8231|1157641|424013917|8ddd257c6828a9a3437f67d6c5ff4d82|5306d18e8e668fb84c3238e382f28441|d07b0169592511cc48e9a8a7aec99f51f92eb884|621ff8da|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|144775|8231|1159931|428333517|52fd527194395d4df77a7cd16ab6563f|3b6eb6702e8ba2a675bd87316ad6b4ff|86b69853ff50fe3a2b675b6315ffb2536e3587ae|35758a74|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|145201|8231|1163630|407145227|01be348ed585875461a34b241693863e|96ab25601e2c852f9f86fdb0739fb721|57e0314a67a41f8d4d3e1cd6d0fd965bcb74f146|83f66b34|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|145202|8231|1167974|437252247|f131c7e8b140f6339cfe5cac6987cf18|a92d197af06546a580bdfb0792eba414|3d17bb9a790987d0b2ab43ecba9ef3fc9c2d8aac|c6327041|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|145203|8231|1168389|424770074|c15fd98c859d63f238b51bc401d0891e|628a7d8e83d6fb9f661961ca4f2973e1|32dec8fd97c4e01c086cb647ec972d24cfa7582b|0fc35957|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|145204|8231|1168927|393384442|17986614fdf46d4a4add9640a855a535|65fabd68b48e82dfb4b322603ad27937|4d6c7dda9f72b6b24a79c9c87de912eb06f9b5f1|543662b9|1462|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
9235|145703|8231|1177633|404452918|535b62dab2f14119a34a73e0edb376ca|19bac3583ec4c68ad5f4ef340666ba8f|bd696279607a30885befa808903e612d2967ef01|921d4af6|1447|10|high|1280x720|H264/AVC|(HE-)AAC|portuguese|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
8231|76473|Diogo4D Productions|Diogo4D|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
137|Baseball|0|100
343|Bishounen|0|100
471|Christmas|0|200
17|Comedy|0|500
330|Coming of Age|0|300
473|Confession|0|300
236|Daily Life|0|400
245|Delinquents|0|400
289|Earth|0|600
456|First Kiss|0|200
497|Friendship|0|600
239|High School|0|400
23|Japan|0|600
230|Love Polygon|0|400
273|Manga|0|600
491|New Year`s Day|0|100
11|Present|0|400
198|Romance|0|400
21|School Life|0|300
492|School Sports Festival|0|100
77|Shoujo|0|600
505|Slow When It Comes to Love|0|600
220|Stereotypes|0|200
84|Violence|0|100


