AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
959|10407|1|The Man from the South / A Fruitless Lunchtime||南から来た男 / 空回りのランチタイム|25|26.08.2003 00:00|9.01|42|0|3
959|10622|2|Summer Illusion of Steel||鋼鉄のサマー・イリュージョン|25|02.09.2003 00:00|7.20|36|0|3
959|10857|3|The Hamburger Hill of Art / Single Minded Stakeout!||芸術のハンバーガー・ヒル / 一途なステイク・アウト|25|09.09.2003 00:00|8.66|35|0|3
959|11118|4|The Hard Sell Fetish / The Patient of Darkness||押し売りのフェティッシュ / 暗闇のペイシェント|25|16.09.2003 00:00|8.68|32|0|3
959|11663|5|The Pure Yet Impure Grappler / Trespassing on Good Faith||純で不純なグラップラー / 善意のトレスパス|25|07.10.2003 00:00|7.94|30|0|3
959|11814|6|The War Cry of Excessiveness||やりすぎのウォークライ|25|14.10.2003 00:00|9.10|39|0|3
959|11892|7|A Goddess Comes to Japan (Part 1: The Suffering)||女神の来日 (受難編)|25|21.10.2003 00:00|8.33|37|0|3
959|12072|8|A Goddess Comes to Japan (Part 2: The Hot Spring)||女神の来日 (温泉編)|25|28.10.2003 00:00|9.45|37|0|3
959|12345|9|A Fancy Without Honor or Humanity||仁義なきファンシー|25|04.11.2003 00:00|8.74|29|0|3
959|12505|10|Uncontrollable Bluebird||ままならないブルーバード|25|11.11.2003 00:00|7.85|31|0|3
959|12844|11|5th Period Hot Spot||五時間目のホット・スポット|25|18.11.2003 00:00|9.42|43|0|3
959|13090|S1|The Man from the South / A Hostage with No Compromises||南から来た男 / 妥協無用のホステージ|25|27.11.2003 00:00|8.73|22|0|3
959|13112|S2|Hostility Passing-By / A Fruitless Lunchtime||すれ違いのホスティリティ / 空回りのランチタイム|25|27.11.2003 00:00|9.49|21|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
959|10407|670|615053|417067607|c72ef4d2eaec34ce31d3d9abfe100d1d|aac8397d7d36cc928a3e7620c0b5e9ef|7a7a23bdb7dec172b2876644d23357ce768c9d14|3fa8ae86|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|10407|670|615052|489438925|27190edd50e1058277c8875eab4a76a4|dd31d1cde3ef66c8402af31a8ef97819|af9bb6ffc8349584d9d1b83a2c64c400f866e22e|b486fca9|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|10622|670|615051|453689125|442a16a801f56846d4eb425acb7eb286|7128c864afd6b471fd5c4f00fe8da2c2|77120384b3179d8b5ee2ffbd917ddc51b1e74e70|d0a9f596|1416|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|10857|670|615050|423310927|db27dfa82071174fd700176ffc267fb2|e3d8111e2eed5e24901debad7fa4d650|db8b22c77c089b114b80a55083a885ef8270d787|0598f84f|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|11118|670|615048|450035309|e027d98f9faa306efc8d8bab2452aa38|c873ef73798b6263fc7c0230254768e4|5da4b3713f54843d7c35bce6dcb6fcf3e8e3db52|679d2ef0|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|11663|670|615049|415199752|fc0226c02afecc8c8d172fe1eb8ac5a8|3da441ba52c378fc0c77de90c28e0545|047af86629a8e79a87c7c0aa7474be65da50f545|9112c41c|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|11814|670|619922|457124808|cd067384bf9d77fc2a92358e85af6540|099d78e239fbf5118b12b1485a39849e|b7044943a99c0cff591ef3cb98e0d5585a13b41e|d53f5623|1416|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|11892|670|619921|443272995|c3c90d989187167f47d307d72d535f49|ca1b58af71b652fe4744653eec3e3f01|e0e6eb62d23087cccb531365b38622cf294c3d0b|230c4760|1416|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|12072|670|619920|521621286|d1fbba036654f6cd43d7d4b1ccd2bd59|7d100578251b26187986cb3623376456|3e27703b181f2575fb1455e31046bf4d512d219a|145a3b59|1416|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|12345|670|619919|406759409|cb008eef7e9275b81ff7d3d7bbd8a8d5|7ba956a44395d7892ef6611e04152809|c3a63d378ec5d39ac7cca2ba1725860127ee9f99|f8d03446|1416|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|12505|670|619918|392965603|a0d80412859303ab91eee94e7030f533|c151e4896fd6305221b16346a199d707|47393008e4375fe0eb886233260677a9c8d05e88|04fa777e|1416|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|12844|670|619917|416562837|c19e09c3d72bd1a4496ce450faeda316|4b080d69a1e6acda6c1534b99c6a1c95|efd13922888b025b153ed046b5f3c511651c305b|41b059af|1396|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|13090|670|615053|417067607|c72ef4d2eaec34ce31d3d9abfe100d1d|aac8397d7d36cc928a3e7620c0b5e9ef|7a7a23bdb7dec172b2876644d23357ce768c9d14|3fa8ae86|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
959|13112|670|615052|489438925|27190edd50e1058277c8875eab4a76a4|dd31d1cde3ef66c8402af31a8ef97819|af9bb6ffc8349584d9d1b83a2c64c400f866e22e|b486fca9|1417|10|very high|1440x1080|H264/AVC|(HE-)AAC|english|japanese|1|4097|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
670|12182|Anime-Supreme|a-S|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
22|Asia|0|600
511|Bullet Time|0|200
17|Comedy|0|600
245|Delinquents|0|100
289|Earth|0|600
282|Ecchi|0|200
472|General Lack of Common Sense|0|300
263|Gunfights|0|100
239|High School|0|500
23|Japan|0|600
20|Martial Arts|0|200
13|Mecha|0|200
171|Military|0|300
262|Navy|0|100
458|Nosebleed|0|200
274|Novel|0|600
487|Parental Abandonment|0|300
151|Parody|0|200
117|Power Suit|0|300
11|Present|0|600
387|Rugby|0|200
21|School Life|0|500
8|Sci-Fi|0|300
79|Seinen|0|600
153|Slapstick|0|600
220|Stereotypes|0|200
510|Student Council|0|300
84|Violence|0|200
285|Violent Retribution for Accidental Infringement|0|300


