AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9676|151549|1|The Other Side of the Path. The Promised Place.||道の向こう, 約束の場所|25|07.07.2013 00:00|6.24|9|0|3
9676|151548|2|Cross Over My Legs||俺の脚を越えてゆけ|25|14.07.2013 00:00|6.11|7|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9676|151549|7172|1263415|337336514|79c521b95ad6f2be478a659b2f82660c|6d30b676144ad7e79c5938440f78ab4d|e29ac45aedb45afd799e4fe80526823325ab2756|60ee0e71|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9676|151548|7172|1266327|337834478|69bcd02fbee283b98d4182ddc226afba|018a340eda156584d5874c3cc14db3cd|d78a2856919df2cd0f0bea5bd3883269e25098f4|07dc116d|1420|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|83337|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|600
242|Clubs|0|600
240|College|0|600
17|Comedy|0|500
473|Confession|0|300
470|Cosplay|0|400
289|Earth|0|600
282|Ecchi|0|200
241|Harem|0|100
23|Japan|0|600
273|Manga|0|600
11|Present|0|600
198|Romance|0|300
79|Seinen|0|600
277|Shounen Ai|0|300
340|Trap|0|400


