AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9722|154637|1|The Transfer Student Came||転校生が来た|25|08.10.2013 00:00|6.15|23|0|3
9722|154636|2|We Went to the Candy Store||駄菓子屋に行った|25|15.10.2013 00:00|6.70|19|0|3
9722|154635|3|I Ran Away from Home with My Sister||姉ちゃんと家出した|25|22.10.2013 00:00|6.68|18|0|3
9722|154634|4|Summer Vacation Started||夏休みがはじまった|25|29.10.2013 00:00|8.39|22|0|3
9722|155343|5|I Pretended I Forgot My Swimsuit||水着を忘れたふりをした|25|05.11.2013 00:00|7.01|17|0|3
9722|155342|6|I Became a Ghost and Tried Hard||おばけになってがんばった|25|12.11.2013 00:00|6.94|17|0|3
9722|155341|7|My Rice Crackers Turned Into Curry||せんべいがカレーになった|25|19.11.2013 00:00|6.74|15|0|3
9722|155340|8|We Cooked Rice at School||学校でごはんを炊いた|25|26.11.2013 00:00|5.47|15|0|3
9722|156070|9|We Tried Having a Cultural Festival||文化祭をやってみた|25|03.12.2013 00:00|6.60|16|0|3
9722|156069|10|We Watched the First Sunrise of the Year||初日の出を見た|25|10.12.2013 00:00|9.29|20|0|3
9722|156068|11|We Made a Snow House||かまくらをつくった|25|17.12.2013 00:00|6.74|15|0|3
9722|156067|12|Spring Came Again||また春が来た|25|24.12.2013 00:00|6.99|16|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9722|154637|7172|1313424|341924056|6f54f543de86013c1d2fd14412bd39d7|771d48ee1699ba42e73aca66a801bf64|17ad6cbfd8d1e51105b82b5621206ae2f5b01056|e1cd6248|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|154636|7172|1316340|342333158|5634e0692ac789120fa115c51a846674|7e6de8919e2cea8540e5f8004b127507|29fef4479a454bb015cec8fcd8743bd64973738e|579cf962|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|154635|7172|1319615|341787402|6f09009aa43c918e4e74eee9871f6a31|47a8efe917a0462b1094c01253d70b53|b4fc1891ac48c3c26a0373593db543419bbe37cd|3c1ea017|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|154634|7172|1324960|342518792|fdd13e2ffc4eddd3907c07c4b700bd28|cf2cb3f9004c751b7866246dd88cd249|326857c32b38dd184524402f5d760e629e9bacd6|47ad9be3|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|155343|7172|1329607|342903620|985d21f825e5a4016d1062d4f44f727d|8bc9494b3453a1cebddaf816d09c7d60|75ed96b23782579223befa1c5280256f5724c1e1|8fd5bd1f|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|155342|7172|1333141|341783492|44e8c1d0f0294160da8f16158a7b3e74|7e7467f489c101d3402a5bfdaa247c57|dd4274426b55697dc4a0280236fb815ea9ca333a|d53f8a91|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|155341|7172|1336151|341923734|a07e5fc36824c6b62b7dee3b299d0ecd|5ec35644351b63840b3d98ccc6b1ce14|ba38a37114605403278e6d90c3593758f5800549|7617edb2|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|155340|7172|1339745|342771061|88f19e95fa949f3168f171b741e8d25d|381c551411eb8d8d4e4431b8d60c6301|dd8bd6406f022a8f7b79465399a19c4fb5f49939|beb4dee1|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|156070|7172|1343226|342324962|dd0c194f854c3be27cf586a42635e95f|25b96c91f7fc940fc805457981a7dbd7|ba9a1c349cefd417a9d899c3d29b475b36d26be2|5bc6d350|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|156069|7172|1346044|341913018|5d172a701bf34954e5be9fcad9c95136|995f94ac349e124d6b0902fe59e267d5|15bf58b05507a34858798401e5bde4f6b5c8e824|d2dc9ff3|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|156068|7172|1349923|342686036|b93978dc9c0ae043d3467fb4a7b52b6e|09acabe254e481a291e0d672859db01b|08349289abc45580995b6b85edab59a0144f7b86|8b20a714|1437|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9722|156067|7172|1353133|337595464|9213a282e4b1e14b6ceaad4ab3418324|240ed7eb3222e59e1bcf20912fc9a8df|9e9f9c51bf6712e5fcfb33abdfde34da7b7c3533|08e693cb|1422|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|86564|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
22|Asia|0|400
17|Comedy|0|600
535|Countryside|0|400
236|Daily Life|0|600
289|Earth|0|400
497|Friendship|0|200
23|Japan|0|400
273|Manga|0|600
11|Present|0|400
21|School Life|0|500
79|Seinen|0|600
278|Shoujo Ai|0|300
513|Transfer Student|0|200


