AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9749|163041|1|Ordinary Academy Life||普通の学園生活|25|05.10.2014 00:00|6.66|22|0|3
9749|163040|2|School Killer Yumiko||スクールキラー由美子|25|12.10.2014 00:00|5.86|19|0|3
9749|163039|3|Sweet Diet||甘い食生活|25|19.10.2014 00:00|5.82|17|0|3
9749|163038|4|Where to Aim the Silver Bullet||銀の弾丸で狙う場所|25|26.10.2014 00:00|6.71|16|0|3
9749|163625|5|Vox in Box||VOX IN BOX|25|02.11.2014 00:00|7.08|18|0|3
9749|163624|6|Raison d`Etre||レーゾン・デートル|25|09.11.2014 00:00|5.23|16|0|3
9749|163623|7|Letter of Happiness||幸せの手紙|25|16.11.2014 00:00|6.24|16|0|3
9749|163622|8|Seed of the World Tree I||セカイ樹の種I|25|23.11.2014 00:00|6.67|17|0|3
9749|164178|9|Seed of the World Tree II||セカイ樹の種II|25|30.11.2014 00:00|7.80|17|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9749|163041|7172|1492505|568495204|53a4c3b04ad71b7816432799ae806dce|72e639d368d5d229a60591e3232d8714|cde94c58216b848dcbd95167cb7ee1e830a3bd18|7ed77fc1|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163040|7172|1496407|568153285|e1322449fb19569c6f0b28da638b445d|71179209c8b1aec55270a35071ad0c96|9b41128617a09f04695777418fc30eb2d4aa2658|93d35baf|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163039|7172|1499485|568869629|408adb90118aa92674c5a6e6c13b25bc|c3251bcb524e957b2b141102f57f193a|0eae827b3d7cafdeff05c4b024e45f375d2687c6|e4f9577b|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163038|7172|1502093|567123226|1806a37752a5222cf71403e1887fd108|012ff994ca6b00333a7feaa02fc28d3d|e898fef8c090424fb47f53aef277ab1753c961d0|b2f41759|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163625|7172|1505177|565777262|6757bf71acad3c8ec2084f74d43a7304|cf08b15387358228e626d1bf18d7b479|9e815feec088688b4b64398b242e1869e914458d|3ee6c196|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163624|7172|1508511|567892323|4f5310b2f3324dd1ce3bf27e72718088|85877dc0cd7890d0f4277f0af106533e|2ef588edc7e3a7ab828bd938287f48ef29c0c51d|41902777|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163623|7172|1510980|568108079|fcbccdad5696a72cb1616650ba60f9ec|dfbc2fe19bfb5928a73ec2674116f6b0|e90fff90d63f195aed99a869a30536b3bffa3e99|ef906af0|1420|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|163622|7172|1513884|568369631|502fff9c3651428af461c6487c9d3107|59a6b0d20846ea79f7747d1c04b23b15|d6ba8b395bf3166044782b13a631ec40ab8ea01c|454c94f4|1421|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9749|164178|7172|1516346|568668209|d5ebadf8645a027fc9368f3c1cfee866|9bfbcab8e37c5e7fdef87b24a8012e4f|7bbb28d605fbaf134e4b3366ef30d7bb7fc11357|0c1dd125|1422|10|very high|1920x1080|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|96341|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|600
17|Comedy|0|400
160|Conspiracy|0|200
293|Dating Sim - Visual Novel|0|600
271|Erotic Game|0|600
198|Romance|0|600
79|Seinen|0|600
235|Tragedy|0|200
513|Transfer Student|0|600
84|Violence|0|200


