AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
979|11593|1|He Who Would Challenge the Sun||太陽に挑む者|25|04.10.2003 00:00|7.04|128|0|2
979|11597|2|Body of the Sanctioned||禁忌の身体|25|11.10.2003 00:00|7.02|73|0|2
979|11750|3|Mother...||おかあさん......|25|18.10.2003 00:00|7.54|62|0|2
979|11846|4|Transmutation of Love||愛の錬成|25|25.10.2003 00:00|5.80|59|0|2
979|12028|5|Dash! Automail||疾走! 機械鎧[オートメイル]|25|01.11.2003 00:00|6.42|53|0|2
979|12242|6|The State Alchemist Certification Examination||国家錬金術師資格試験|25|08.11.2003 00:00|6.86|48|0|2
979|12437|7|Night of the Chimera`s Cry||合成獣[キメラ]が哭く夜|25|15.11.2003 00:00|8.55|67|0|2
979|12821|8|The Philosopher`s Stone||賢者の石|25|22.11.2003 00:00|7.46|51|0|2
979|12913|9|The Dog of the Military`s Silver Watch||軍の狗(いぬ)の銀時計|25|29.11.2003 00:00|6.47|46|0|2
979|13050|10|The Phantom Thief Psiren||怪盗サイレーン|25|06.12.2003 00:00|5.77|49|0|2
979|13292|11|Earth of Gravel, Part 1||砂礫の大地・前編|25|13.12.2003 00:00|4.97|45|0|2
979|13294|12|Earth of Gravel, Part 2||砂礫の大地・後編|25|20.12.2003 00:00|5.32|46|0|2
979|13507|13|Flame vs. Fullmetal||焰 VS 鋼|25|27.12.2003 00:00|7.85|50|0|2
979|13508|14|The Right Hand of Destruction||破壊の右手|25|10.01.2004 00:00|7.10|46|0|2
979|13817|15|The Ishbal Massacre||イシュヴァール虐殺|25|17.01.2004 00:00|8.51|46|0|2
979|14334|16|That Which Is Lost||失われたもの|25|24.01.2004 00:00|6.09|39|0|2
979|14412|17|House of the Waiting Family||家族の待つ家|25|31.01.2004 00:00|8.26|43|0|2
979|14574|18|Marcoh`s Notes||マルコー・ノート|25|07.02.2004 00:00|6.09|41|0|2
979|14990|19|Behind What Is Behind the Truths||真実の奥の奥|25|14.02.2004 00:00|6.67|38|0|2
979|15383|20|Soul of the Guardian||守護者の魂|25|21.02.2004 00:00|8.24|39|0|2
979|15550|21|Red Glow||紅い輝き|25|28.02.2004 00:00|8.19|40|0|2
979|15691|22|Created People||造られた人間|25|06.03.2004 00:00|8.33|41|0|2
979|15692|23|Fullmetal Heart||鋼のこころ|25|13.03.2004 00:00|7.38|43|0|2
979|16455|24|Bonding of Memories||思い出の定着|25|20.03.2004 00:00|6.82|40|0|2
979|17501|25|Farewell Ceremonies||別れの儀式|25|27.03.2004 00:00|8.82|53|0|2
979|17594|26|Her Reasons||彼女の理由|25|03.04.2004 00:00|4.96|43|0|2
979|17781|27|Sensei||せんせい|25|10.04.2004 00:00|8.31|41|0|2
979|18047|28|One Is All, All Is One||一は全, 全は一|25|17.04.2004 00:00|7.21|38|0|2
979|18192|29|The Undefiled Child||汚れなき子ども|25|24.04.2004 00:00|7.34|38|0|2
979|18762|30|Attack on the Southern Command Center||南方司令部襲撃|25|01.05.2004 00:00|7.51|41|0|2
979|19042|31|Sin||罪|25|08.05.2004 00:00|7.68|38|0|2
979|19055|32|Dante of the Deep Forest||深い森のダンテ|25|15.05.2004 00:00|5.96|34|0|2
979|19405|33|Al Taken Prisoner||囚われたアル|25|29.05.2004 00:00|6.62|35|0|2
979|19775|34|The Theory of Avarice||強欲の理論|25|05.06.2004 00:00|8.66|41|0|2
979|19914|35|Reunion of Fools||愚者の再会|25|12.06.2004 00:00|5.99|35|0|2
979|21034|36|The Sinner Within||我が内なる科人[トガビト]|25|19.06.2004 00:00|5.20|32|0|2
979|21188|37|The Flame Alchemist, the Fighting Lieutenant, and the Mystery of Warehouse 13||焔の錬金術師, 戦う少尉さん, 第十三倉庫の怪|25|26.06.2004 00:00|6.24|51|0|2
979|21579|38|With the River`s Flow||川の流れに|25|03.07.2004 00:00|6.24|35|0|2
979|21946|39|Civil War in the East||東方内戦|25|10.07.2004 00:00|7.00|35|0|2
979|22032|40|Scars||傷痕|25|17.07.2004 00:00|8.92|37|0|2
979|22406|41|Holy Mother||聖母|25|24.07.2004 00:00|8.82|32|0|2
979|22407|42|His Name Is Unknown||彼の名を知らず|25|24.07.2004 00:00|8.64|37|0|2
979|22408|43|The Stray Dog Han Run Away||野良犬は逃げ出した|25|31.07.2004 00:00|7.08|32|0|2
979|22409|44|Hohenheim of Light||光のホーエンハイム|25|07.08.2004 00:00|8.22|31|0|2
979|22410|45|That Which Degrades the Heart||心を劣化させるもの|25|21.08.2004 00:00|7.57|34|0|2
979|22411|46|Human Transmutation||人体練成|25|28.08.2004 00:00|7.83|33|0|2
979|22412|47|Sealing the Homunculus||ホムンクルス封印|25|04.09.2004 00:00|8.59|36|0|2
979|22413|48|Goodbye||さようなら|25|11.09.2004 00:00|7.17|34|0|2
979|22414|49|To the Other Side of the Gate||扉の向こうへ|25|18.09.2004 00:00|8.62|35|0|2
979|22415|50|Death||死|25|25.09.2004 00:00|9.39|44|0|2
979|22416|51|Laws and Promises||ミュンヘン1921|25|02.10.2004 00:00|7.93|59|0|2
979|35250|S1|Reflections Special||旅の始まり / 賢者の石 / 焔 / ホムンクルス / 旅は続く|60|19.03.2005 00:00|6.90|12|0|2
979|50369|S6|Banquet version||宴会篇|6|29.03.2006 00:00|6.78|14|0|2
979|50781|S7|State Alchemists VS Seven Homunculi||国家錬金術師軍団VS七大ホムンクルス|15|29.03.2006 00:00|5.86|15|0|2
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
979|11593|374|66804|283364024|4aa5d03c14bd202291bf0cfde31aa8e1|2b5fffe4d314cc46975caf065a3a2437|9c2739ae88f7287f0b99252231681d7af997c396|bb60f687|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|5|2|avi
979|11597|374|67445|283474210|78374fda73ae36bd765d79b0936a9815|ed89812d446f337b60eb8606cc21335a|d386911c76b832cd71982ab1a23a1d678bec98da|00effdd6|1437|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|5|2|avi
979|11750|374|68387|282929860|73765f4671ca33738ac55c0adb14bab1|cf9825d98f260df6d6ec680990dc505b|73a431d99b97468616e779fcd36b5467b82c873e|87a242c5|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|5|2|avi
979|11846|374|68465|282918440|0e7e17c93c2871e9f94752b3815bdfdb|c172e3c78fd17cbf4edf786e04765ae7|c4320c3afe84c37f897d33b7eb752d01a4c5fb50|891315ce|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|5|2|avi
979|12028|374|57720|236151594|3def292a44828a891950a8e115dc9a41|f7ff022c6ac443f73005db0af0f734e9|517107e598010a1d6113da70afa53bf5a1c5a773|6b09f7bb|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|12242|374|57539|235995442|d116ace19caf106233868febbea84c97|f6ed201b868c080c1225056a8d42540d|1a2b5fa1efd0908589da4f13c54464503c837ae5|052f4f29|1439|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|12437|374|59148|233573870|f48a5e0ad710f4326c01ac32552820b4|61edc4cff8e9ca67211f8353e0024dc9|0e85f31c0ab15547b1fa6ad6a7cb4b99e2a6f917|8a627803|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|12821|374|59440|234668818|fc901b609b8f159b924cc001462cdfd4|2751efc4a5508eb4519a62b5a1a417b8|9ee51e9c3c1f27eed7f4ee778ac67326aa45df91|c5853c7b|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|12913|374|62843|245866926|873289cd6cad5a23a01015e972387295|009fa8cfed017467c40d1a51756c48a3|df727e4bcff9d3e906dfcbb1dd7d068c816faeb1|7fdf2841|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|13050|374|63547|247317588|50261b2f61035e91b3d712f75fa4d275|de71906d27af366eb2da646d75768702|195dc9cf7ba05b14c7cc727f6b01d7abe2883cbb|22353b3e|1438|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|13292|374|64266|245938522|497d25c59908e10a905be6b7673646e2|b3117c278e932a5e4dbb7a3fbddf892f|ef97c120a922697ec2fce4a49b28f029b3a08b6a|5b682615|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|13294|374|64369|246441242|d4fc4df5d64aff0a4d92c0946c41f0ee|cbb1c7a6ed4a72c235b6d4ad4dc0bd3f|19c7ee73cad19c525a7c1ab5ff8094a1c02b9724|fb423c27|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|13507|374|64661|246131828|42a04aa507c05c06104a3d6b8c4c3d3d|236580766c40ebe7a94d4413c808a181|440ba031e173fa006ab5acb5f5be9ff2219a8bdf|72ee5487|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|13508|374|69034|284062216|32cf9f1d7ebe7e2a468086db45c912ce|efcb77f957761087fc5418e09dfd41fd|492d71e200fb84be44ec0970499c3af43267e09d|49e4c738|1438|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|13817|374|69191|284982746|926c23211230e51d20a231ffd8b53dc0|7d13ddaa6c55138f32b98c834e75caba|fa1e49b491333772d2985aa8d946797629406e1f|0d831a08|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|14334|374|77232|282755808|6f0dafb025ddecf43a052be4d4fa9a3f|8a3894746063b940d6b1027da459c29d|36b8acb59294ace73fd6ccc33ec1a0f8379b35a5|044ea07c|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|14412|374|77233|282910130|236687157b6f57c68696b5c93b7fee46|2ab2809ab266f74751e627c1f087f62e|9e2a303d906284235345d3249e2c1d9c5d98ec1e|e0060f5d|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|14574|374|77301|282223582|d2b84df9acc2e10eb758acfff8af9d62|c6bf2e58e8b6bb856276f389d2ee7487|b62a8fb8e5996e31511667566adf6be153f27e24|6d19de13|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|14990|374|79452|283341492|c0711a8d32632419f2f8c40848372392|f28614a6b458f9348e6bfb38b53017a5|c40ca60ee9b51a1716d519cceb777f78762888f4|6e20762f|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|15383|374|79451|282707396|214e8f554aaa1f9376d09d234c798a09|2f5675f7586334b9232689eb3c5a076f|d79305a136fd68e704b4890f6b9cecf2ca435cf9|a91ba3b1|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|15550|374|81155|282417480|692c9202a05e5ac1506ae71f3e3abdeb|0cd7384d44fa7087bad0832536fc718f|8139281d1e9e93831747f727cbaa12d43ca9f94a|5e07ff91|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|15691|374|81153|283900238|1448c710bdaab533e473990ff72a12e6|4570170b808aaa7b9e366201b479f147|b3cede27b11d65ae791eef4a121e97d23c336257|e6140f69|1438|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|15692|374|81154|282150132|6404879a85ab11e311711ddd3da81700|b7cc81135fa1c14f9768a7fbd7ac2ab0|096245c36b5dad29281f124253103d1900600fb7|20451956|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|16455|374|81152|283732162|35b1fe511e7b1ea116e4f1f59d3d7835|ac415aeaa98dedec6ad5aae2c5eff949|21e84074638cc72756e69d909dbf17c6e8e89392|b88973a0|1433|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|17501|374|81151|303681890|4723d1d8fa6a2651ace0b4fc9b336788|8a7444b0f8a6ad8ca1666fff24c3cdd4|9c5a7f8c1572bd306c5ad8ec1e9492653f0d9364|2f1b0a73|1543|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|17594|374|82899|282206370|62f8b8ce092402dfd5c8eb430286bec3|214e27ffd2f5966e25f025248017d3ee|99234cf6e1ab111c1f3cc9a2a7c5bd639a401037|ba795653|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|17781|374|83005|282515578|9b9308d228014216103b820f382248b3|55bb0aa595d4f62f546b8e06e1df86c0|4186b5adfd4bfed05f24a4b6284dfeda420524af|0ed93ef3|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|18047|374|83003|284032958|dbb2fd4e6b803c86ae90dbbcf61acdb4|2e75ab39b82929adb58a6dd3f7954da7|bbf448c74f2ee44b490a8670239e10cf6fef4c74|278f6c10|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|18192|374|83004|283063766|9d8c2fcc7aea481319b03a091c24f381|dfe4e44af7992c2bca6acab40e0a9e08|62315c45e2252d152312510cdbb17acb58865f0b|3ff102d0|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|18762|374|83128|282689208|aa661aa9c71dcbb906692bf3fa3fa92e|c495a494f7f8b6afc0aa2747e204973a|67c09781e27b9fc2fe5745621c17ff36fc4644ce|2474bb6d|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|19042|374|83364|283383792|cbbc405fe8337453e133ca80f25a90c2|2910510e62e7d4c5483bd0738ea38447|2efd3e05a32d19199d782db91f88ebe7a102180c|14962405|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|19055|374|83365|283395244|b44cfe8eea7ff9cd5659f7d1e41a51c5|69d78917aed4f3bc2f8931f5e4c11110|abca14fd1f7655965c1b9a4229e85a83bc768bda|6ffdf682|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|19405|374|83366|283183792|0604dec6105fd4a7e65a0ba3934ea446|1c81acd40017ce09a68245938dc34e7c|cfa6d58d976aba755f69bd413b1462030caa635f|20a92c47|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|19775|374|83367|283638820|1ace11c9322f881881bbfd59351f7537|c838f52241f21097066bcd57638b4188|7b3f750891d65186031dedda1f6b559d6dbada8a|2010b136|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|19914|374|83402|283524878|4c4d32ab6849a3bca06dc86dfb595322|7e7962c797a3b818b28742d1a1589735|6e6355b08458bfa674be23e6ac37194e4ffb19cb|d8e288dc|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|21034|374|83403|282669888|be45fdea04783cf79d210a381967a11c|c7680873cb0435cf5b024cd9d2395e27|f029e3f7aca87c38ab31a45b1b18eb86723ea5af|c57e6d10|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|21188|374|83452|283047410|00b1862d855af8c06eb55a2b16d6028f|3cb3594bc49479b0e9dc0ab286e7a45b|904109c7825cd31cc288ad4dbe30536b28899f1c|b44c21ad|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|21579|374|83451|283147898|548ab3c1eac27c10f4c85b692292ca22|bdb3539c7336620e0f2813eb14461884|8150ad39ccc98ab17d9b90c3e59a46ae5336474c|a38df978|1432|10|very high|640x480|VC-1|(HE-)AAC|english|japanese|1|1|2|avi
979|21946|374|156115|292595468|eca85c12f29c4b792db205d56db61eed|bbe283bd252d684d4399cc0355b48363|d66f437a81509a569b9fa0958e2f40f0b205a5de|9d85c48b|1432|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|1|2|avi
979|22032|374|156108|293290488|ba68f36993a5341b5d46f93b44c77f9e|fa60ce6f9afaeb12552e4b4a54e9d7e4|0b36763fc14e12476b71dc937b1d107ff983ec1f|d1b3cc76|1432|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|1|2|avi
979|22406|374|156112|293248984|470e86a214a16de12c12d3e496eb7052|ea958bf00853b8b0f9add2e7d14d52cd|40c75adcb2a538935dcfed15c325f73c8adffca1|6ae43f98|1432|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|1|2|avi
979|22407|374|161713|288942842|d18fd42daf850735c6bc99658cb98b6e|2a7e0e02a3e666dcf32a555640327e4f|cf29f0db4bd11c8800d9242634e24be7fa2857f6|713e51af|1440|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|2|mkv
979|22408|374|161714|284944770|75255a937d537bcca0fc70c40233ba22|bf46f097d31e5ce6798b530259e1614b|34b9e7e3373b6a5abacd5db2179e744ac21a1e9b|92c48013|1433|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|2|mkv
979|22409|374|161715|289156294|b26118a2df662514abdb3dbca954f410|569f43925fb1eed66c2129d1c25744bc|f44d304690a6c0f63245985da7dbd39cb14a03d2|69e70e48|1433|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|2|mkv
979|22410|374|161717|288726002|92a72c646f1e81657fa840e7402620f6|2ad10dad06fbd20508af67ddb3f9a2b5|806d8b7dcae5dc2dbe0e003cab528d2ab80eee04|91688a31|1433|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|2|mkv
979|22411|374|161718|285053771|8dff29fce0ccfdc056f0c609a2076c45|cb3a417ce4bdab6db97c997b115e426a|acfdeff82c51b03b1a3ab7d338ec4a922afdeb9c|9e4ab6ab|1432|10|very high|640x480|H264/AVC|(HE-)AAC|english|japanese|1|4097|2|mkv
