AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9874|156719|1|Wicked Lord Shingan... Reborn||復活の...邪王真眼|25|09.01.2014 00:00|6.40|18|0|3
9874|157135|2|Dolphin Ring Striker||海豚の...恋人契約[ドルフィンリング・ストライカー]|25|16.01.2014 00:00|5.36|18|0|3
9874|157134|3|Magical Devil Girl in Pursuit||追撃の...魔王魔法少女|25|23.01.2014 00:00|5.95|16|0|3
9874|157133|4|The Election for President of the Student Council (Queen Maker)... of Purity||無垢なる...生徒会長選挙[クイーンメーカー]|25|30.01.2014 00:00|6.85|17|0|3
9874|157802|5|The Illusive... Siesta Labyrinth||幻想の...昼寝迷宮[シエスタ・ラビリンス]|25|06.02.2014 00:00|4.96|17|0|3
9874|157880|6|Traveling to the Island of Tsukushi... of Hesitation||躊躇[ためら]いの...筑紫島周遊[ツクシノシマ・トラベリング]|25|13.02.2014 00:00|8.22|18|0|3
9874|157879|7|Triangle... of Missed Encounters||すれ違いの...心模様[ヴォルケーノ・トライアングル]|25|20.02.2014 00:00|7.15|16|0|3
9874|157878|8|The False... Mori Summer||偽りの...精霊聖母[モリサマー]|25|27.02.2014 00:00|6.23|16|0|3
9874|158222|9|Resort: Last Resort||波打際の...究極奥義[リゾート・ラストリゾート]|25|06.03.2014 00:00|7.78|17|0|3
9874|158221|10|Gauntlet of Rain||真夏の夜の...雨と鞭[Gauntlet of rain]|25|13.03.2014 00:00|7.97|17|0|3
9874|158220|11|Blue Moon Ragnarok||青き月の...最終決戦[ブルームーン・ラグナロク]|25|20.03.2014 00:00|4.53|15|0|3
9874|158219|12|The Superior Contract... of Twilight||黄昏の...上級契約[ハイヤーエンゲージ]|25|27.03.2014 00:00|4.69|18|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9874|156719|7172|1362928|337780077|7f8851eb4b0e249e19f989f6a1100343|4d3bab2e2f5d0530d9f3f2cd80ff67a8|aab45ee9648125ecee55964d6d852882d920acd6|d0644f33|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157135|7172|1366592|337675207|9a13a471884498b6231c50e6064d3eb0|85efff3a8ddae8c98dce1dd7cf178d24|5cdbad0eae3fa1548db205511b286d0de681981e|961914f6|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157134|7172|1370424|336571137|6abff553a25ed3ff2efd69eab7ded0de|86caf7dde782e632a56e14425ea24dc6|d84f8d1cb3b02345ff201865602b850e7d24eb00|56dd79d2|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157133|7172|1374824|337819185|f5f5d4d7fb77157c3cd8653cad7ba79d|60586b7df26b0c2eb46c92abfe2803c4|1d13e478ccf5209ee1233f6794a52375085368c1|dcd986a5|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157802|7172|1377937|337319225|2a0b91fe1dbed5d5cbb4a552196ee2bc|d896d22b680106af288999ba85430bfb|86b7e195bf2609bf927c19021a76cda41d29e226|97e4eab4|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157880|7172|1380711|337625421|af0fe1f0dfb48b7d0b3644b6cae5ea4e|d5254c8e0b415bdb331ba385f9ce5063|ce823e6741fa8523d1d4d66f349bf9a17cadf024|133a43b1|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157879|7172|1384501|337591746|064e31c084345e0a6a644f283d0144e2|7b264b2ec6f93b52bcebb567acb0335f|0248d2974ed5956da4771f9fc7d872b1acf5be52|5e7fab2f|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|157878|7172|1387460|337327468|901d5bf22ad250f435d193456eec1fed|5d553063a6c28cc9eacce4c1599ef30b|09da376bdc848a16ebfbd1f0d46df84e7290999a|17879bb1|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|158222|7172|1389528|337163655|68d9a7633c5559dbbfd6a7c133dded26|e6708c3793f9b32298a8dfd5a4d72292|d49803193a2c46df0ed02c8d3db5c9b0c08bc9be|abaa0df3|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|158221|7172|1391876|337533925|c5cfd795eeeb6fdafe9201d1b0d375a7|c9743210a6b5d0ccaa8016c7339fce83|2951149790f9120c57776b435ed0ccfc8f640b8e|ca331f27|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|158220|7172|1393751|337221780|91eee7a2e02b5da3410f1018330c871d|3709084da46704b7a27754dbb5d01f61|bd935d06722b63232de7daf7da672ca512ba317a|4ceb711e|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9874|158219|7172|1396613|337610982|96b7b1465d449c31e71860151bb8747b|c82c58ffae1e77d1fe7065dc634a412b|9cad9c2f5f7b2a4b1c08607c2ac5ec11042fb411|88d9825d|1417|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|89287|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|200
22|Asia|0|600
486|Calling Your Attacks|0|200
242|Clubs|0|400
17|Comedy|0|500
330|Coming of Age|0|400
542|Cross-dressing|0|300
289|Earth|0|600
15|Fantasy|0|100
239|High School|0|400
23|Japan|0|600
175|Magic|0|200
482|Magic Circles|0|200
274|Novel|0|600
487|Parental Abandonment|0|200
11|Present|0|600
198|Romance|0|500
518|School Excursion|0|200
21|School Life|0|400
278|Shoujo Ai|0|200
277|Shounen Ai|0|200
505|Slow When It Comes to Love|0|500
220|Stereotypes|0|300
481|Summer Festival|0|100
536|Unrequited Love|0|400


