AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
99|1981|1|Weird||WEIRD|25|07.07.1998 00:00|6.39|40|0|3
99|1980|2|Girls||GIRLS|25|14.07.1998 00:00|7.70|29|0|3
99|1979|3|Psyche||PSYCHE|25|21.07.1998 00:00|7.40|21|0|3
99|1978|4|Religion||RELIGION|25|28.07.1998 00:00|7.34|20|0|3
99|1977|5|Distortion||DISTORTION|25|04.08.1998 00:00|8.00|19|0|3
99|1988|6|Kids||KIDS|25|11.08.1998 00:00|8.20|19|0|3
99|1986|7|Society||SOCIETY|25|18.08.1998 00:00|7.86|20|0|3
99|1984|8|Rumors||RUMORS|25|25.08.1998 00:00|8.88|20|0|3
99|1982|9|Protocol||PROTOCOL|25|01.09.1998 00:00|8.86|19|0|3
99|1976|10|Love||LOVE|25|08.09.1998 00:00|8.05|18|0|3
99|1987|11|Infornography||INFORNOGRAPHY|25|15.09.1998 00:00|6.71|19|0|3
99|1985|12|Landscape||LANDSCAPE|25|22.09.1998 00:00|7.89|20|0|3
99|1983|13|Ego||EGO|25|29.09.1998 00:00|8.42|25|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
99|1981|41|3895|239626543|603218dc518b191614c453d6f2ba8516|63e2e44b11b3f7f7a6e2a4848ee6f04c|b784bc6139609bea7a21fd0b1217b0fd49318244|470af016|1434|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1980|41|3893|223818756|e604b034a3c7cc0a944ef40e4d509368|336ee38c3e91b8ab2e0c07fb69bd41aa|aa1ee0508a1ab1de2c99586149183e3537944bf0|2c78a2ae|1434|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1979|41|3892|229620134|28fe663a15edc0b05fbc643391a4dbfd|31c8bb459bef142c578f51f88af01113|f25f4fe06159dffebac8b26a8ccf51e3ec0981b5|2461d8c4|1435|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1978|41|3891|238465972|ee8ac249a8a5b8ddfab0e5b35e92267c|d382e85dd543e00b3498a55baf14cc1e|5f8421545eafbcc8340dfe12c6c405906af95dc0|de2c5b76|1436|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1977|41|3896|246106623|877aa480493f901edbd12bcf2c174372|163b5e0ca4197e110c51a856401dd445|13ee814a08cadf1f6ff387bb62ed2bd46f9cbc36|d2117307|1437|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1988|41|3894|232786627|70fed676fb0250a296ce4d5170abc857|14f2efeeb2ac8f24d3b99c87698f62ea|642375b07978e9d2dbfa099da8bd8cd3dfbc9cad|94c516fd|1435|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1986|41|4677|254113055|decd96e938a5e8f0394e1628f61e6ff4|bc9f8eab549eafe1f1afe22dc82ebc06|b5c6ed2b9fa43211ddfd3e6e3f805a89cfec735e|1803c538|1491|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1984|41|4678|238058196|0bac7b7f6ada90a5854262e4df4dec57|e5973c8826fda8c8c4bcfc74c12fded7|86bc0647278e3c8ed19f3fe9445f74ce16f0a47c|2d35acd3|1436|10|high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1982|41|6174|240335713|76ac0710fa677a3647c48d168a23bdbb|8523f9e1aa188993634937fbb57415f6|52a0e1a0178598a0ed0001cb93874ce9cc7bd5da|7f1ee723|1435|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1976|41|6172|243109050|50bc2a3f097443d1f3c66c35cd5d418c|ee336d8005a36e318bc3ae612c730224|e034bc024dec02f953013c9c4488bd9109af5d13|574fe964|1433|10|very high|640x480|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1987|41|6171|241066168|bca25ad7a939eafa38176f55e3e83f5d|7779c6c5b2621e461f2d4a9bf934e77b|6249b63c4c5d032ee1da4b624dbc5288a488ba96|680d74e6|1437|10|very high|640x464|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1985|41|6170|241997041|ee241aa2e0371e7ff241a77ae87936e5|c3e35b5d02d438c575c29e7789363670|0cd90454c05187cdc9220a30fea3a35d5f2197e3|edd44e83|1434|10|very high|640x464|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
99|1983|41|6173|234947633|1bc74e7e6b926040881b5fceab58f244|0eae9b0b434f38424f78be78bb70f65c|fe7b2adccb0b31cce3c14511bf6bfed775321547|0a00cd9e|1421|10|very high|640x464|DivX5/6|Vorbis (Ogg Vorbis)|english|japanese|1|1|3|ogm
GROUPS
GID|AGID|Name|ShortName|State
41|776|Zhentarim DivX|zx|complete
GENREN
GenID|GenName|isHentai|Weight 
252|Angst|0|500
22|Asia|0|600
253|Cyberpunk|0|600
289|Earth|0|600
291|Fantasy World|0|400
23|Japan|0|600
201|Juujin|0|200
238|Middle School|0|100
275|New|0|600
414|Nopan|0|300
88|Nudity|0|100
233|Plot Continuity|0|600
11|Present|0|600
21|School Life|0|100
8|Sci-Fi|0|600
79|Seinen|0|600
244|Twisted|0|400
84|Violence|0|200
130|Virtual Reality|0|600


