AID|EID|EPNo|Name|Romaji|Kanji|Length|Aired|Rating|Votes|State|myState
9925|156951|1|A Housecat, a Stray God, and a Tail||家猫と野良神と尻尾|25|05.01.2014 00:00|5.82|27|0|3
9925|156990|2|Snow-like||雪のような|25|12.01.2014 00:00|6.20|22|0|3
9925|156989|3|Bidden Calamity||招かれた厄災|25|19.01.2014 00:00|6.52|19|0|3
9925|156988|4|Where Happiness Lies||しあわせの在処[ありか]|25|26.01.2014 00:00|8.09|20|0|3
9925|157527|5|Borderline||境界線|25|02.02.2014 00:00|7.16|18|0|3
9925|157526|6|Scary Person||コワイヒト|25|09.02.2014 00:00|7.20|18|0|3
9925|157525|7|Uncertainty & Destiny||迷い事, 定め事|25|16.02.2014 00:00|6.37|18|0|3
9925|157524|8|Over the Line||一線を越えて|25|23.02.2014 00:00|7.52|18|0|3
9925|158090|9|Name||名前|25|02.03.2014 00:00|8.72|22|0|3
9925|158089|10|Regarded with Hate||忌むべき者|25|09.03.2014 00:00|4.68|17|0|3
9925|158088|11|Abandoned God||棄てられた神|25|16.03.2014 00:00|6.25|17|0|3
FILES
AID|EID|GID|FID|size|ed2k|md5|sha1|crc|Length|Type|Quality|Resoltuion|vCodec|aCodec|sub|dub|isWatched|State|myState|FileType
9925|156951|7172|1360987|667664346|26e3418a507b0891bd3a640d7aa27230|51488b9e35c65ee239225e942ef37025|100e06c4e8adcf2202cdbab5c3609da64d59eabf|85b0f7fb|1471|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|156990|7172|1364695|668099729|660fee7aae6900a8f222257e3ad70b86|099940d9b7ae2b965fc302dabbf387d6|92986f732034a4e545678962c2cf1441f6dbc9cc|02998d23|1472|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|156989|7172|1368805|484763743|e56508390dc9a4798ed23688073f7dda|ed5efea6555e31d762123852e5581d8f|ed18b8c46cb33d9bbd5dd6bd5be04f9a24474331|cdc7e14e|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|156988|7172|1373181|484496396|1082236a7d94c02eecfa0c361f21034c|92f648f3f5c63d3f9f7d3571a5197b18|9ccf5ec06e9dcedbddae07613a561aae101fe9d4|e1e3e55f|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|157527|7172|1376052|484777202|2973630550fd811d04ad4f2657e28ae5|8e16e79dc88eacd2d92030ce9e8a63b2|88984bf6398971dc37b62c8da49eed09feee6fe4|68bdc6b1|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|157526|7172|1379058|668766197|436bab9ae0485acc6c5e2e08f6ffb1a0|a4c9fb50b2d6362700e674f7fde76289|742880b3392b95e95649d8b74ffc08b28f6590b5|552621ac|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|157525|7172|1381475|668726323|d674b838907344f0777209965ec09f3d|fe1c3c391c920e27b8ca648cf29a3b8e|090c0886be8d067dd4fdc4f225e655fb1f5d366e|063960f9|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|157524|7172|1385318|484932920|bc7e9da15e8caa90a2ec195f610c1060|2d42c25a93add210d13cd74d935c450f|759570aab04af026d8323f034bdf5bfeaeb9bd56|10233927|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|158090|7172|1388500|484676370|9343fbcf1f9746d106acaef408a658c9|b0cd5e2af287a4c3123ea3990f98bee0|ce6fc54a5bbab369abdd839b406bdaf95b71efe3|497b8f36|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|158089|7172|1390509|668577208|49865037333d457a37a2a58eafc6bcad|c24bde3a325a17454c0c068a21915773|0cc4955dfeb533c31bec0fd8be401402cbb55296|5582428d|1473|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
9925|158088|7172|1392638|668779845|aa69964844e10e3bc5882660565d7f09|d5fab5139b54a58d44f242d9705e039a|e04f27a7014c431525870f7c0fbfadea440c6d2b|44489b23|1474|10|high|1280x720|H264/AVC|(HE-)AAC|english|japanese|1|0|3|mkv
GROUPS
GID|AGID|Name|ShortName|State
7172|89153|HorribleSubs|HorribleSubs|complete
GENREN
GenID|GenName|isHentai|Weight 
4|Action|0|400
306|Adventure|0|400
252|Angst|0|300
524|Blackmail|0|200
378|Boobs in Your Face|0|100
511|Bullet Time|0|100
486|Calling Your Attacks|0|400
17|Comedy|0|500
183|Contemporary Fantasy|0|600
282|Ecchi|0|200
497|Friendship|0|300
498|Furo Scene|0|200
507|Ghost|0|400
243|Goddess|0|300
154|Horror|0|100
411|Lingerie|0|100
273|Manga|0|600
238|Middle School|0|100
491|New Year`s Day|0|200
88|Nudity|0|200
283|Pantsu|0|100
198|Romance|0|300
21|School Life|0|200
5|Shounen|0|600
374|Skimpy Clothing|0|200
153|Slapstick|0|300
18|Super Power|0|400
173|Swordplay|0|400
235|Tragedy|0|300
244|Twisted|0|200
84|Violence|0|300
285|Violent Retribution for Accidental Infringement|0|100
64|Whip|0|200
383|Wrestling|0|200


